"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"screamed","scream","vykřikla","vykřiknout","pf"," Tefara screamed and gripped her husband ’ s arm."," Tefara vykřikla a pevně se chytla manželovy paže."
"walk","walk","chodit","chodit","impf"," “ He will not merely walk and talk and be a limping caricature of his former self, ” Linday told her."," "" Nebude jen chodit a mluvit jako kulhající karikatura sama sebe, "" odpověděl Linday."
"talk","talk","mluvit","mluvit","impf"," “ He will not merely walk and talk and be a limping caricature of his former self, ” Linday told her."," "" Nebude jen chodit a mluvit jako kulhající karikatura sama sebe, "" odpověděl Linday."
"told","tell","mluvit","mluvit","impf"," “ He will not merely walk and talk and be a limping caricature of his former self, ” Linday told her."," "" Nebude jen chodit a mluvit jako kulhající karikatura sama sebe, "" odpověděl Linday."
"run","run","běhat","běhat","impf"," “ He shall run and leap, swim riffles, ride bears, fight panthers, and do all things to the top of his fool desire."," "" Bude běhat a skákat, plavat v peřejích, jezdit na medvědech, bojovat s pantery a dělat všechno, co mu jen jeho bláznovská touha poručí."
"leap","leap","skákat","skákat","impf"," “ He shall run and leap, swim riffles, ride bears, fight panthers, and do all things to the top of his fool desire."," "" Bude běhat a skákat, plavat v peřejích, jezdit na medvědech, bojovat s pantery a dělat všechno, co mu jen jeho bláznovská touha poručí."
"swim","swim","plavat","plavat","impf"," “ He shall run and leap, swim riffles, ride bears, fight panthers, and do all things to the top of his fool desire."," "" Bude běhat a skákat, plavat v peřejích, jezdit na medvědech, bojovat s pantery a dělat všechno, co mu jen jeho bláznovská touha poručí."
"run","run","jezdit","jezdit","impf"," “ He shall run and leap, swim riffles, ride bears, fight panthers, and do all things to the top of his fool desire."," "" Bude běhat a skákat, plavat v peřejích, jezdit na medvědech, bojovat s pantery a dělat všechno, co mu jen jeho bláznovská touha poručí."
"do","do","dělat","dělat","impf"," “ He shall run and leap, swim riffles, ride bears, fight panthers, and do all things to the top of his fool desire."," "" Bude běhat a skákat, plavat v peřejích, jezdit na medvědech, bojovat s pantery a dělat všechno, co mu jen jeho bláznovská touha poručí."
"warn","warn","varuji","varovat","impf"," And, I warn you, he will fascinate women just as of old."," A také, to tě varuji, bude přitahovat ženy stejně jako dřív."
"heard","hear","slyšel","slyšet","impf"," “ Have you heard, Alec? ” were his first words."," "" Už jsi slyšel, Alecu? "" byla jeho první slova."
"found","find","našel","najít","pf"," “ Mapuhi has found a pearl - such a pearl."," "" Mapuhi našel perlu - úžasnou perlu."
"hold","hold","věřit","věřit","impf"," And he continued to hold her in his arms and believe in her beauty."," A tak ji muž nepouštěl ze svého náručí a nepřestával v její krásu věřit."
"believe","believe","věřit","věřit","impf"," And he continued to hold her in his arms and believe in her beauty."," A tak ji muž nepouštěl ze svého náručí a nepřestával v její krásu věřit."
"talk","talk","mluvil","mluvit","impf"," He never ceased to talk about it, and to lament that he could not behold it. ”"," Stále o ní mluvil a naříkal si, že ji nevidí."
"behold","behold","nevidí","vidět","impf"," He never ceased to talk about it, and to lament that he could not behold it. ”"," Stále o ní mluvil a naříkal si, že ji nevidí."
"told","tell","vyprávěl","vyprávět","impf"," “ One day he told her of five great pictures he wished to paint."," Jednoho dne jí vyprávěl o pěti skvělých obrazech, které by si přál namalovat."
"wished","wish","přál","přát","impf"," “ One day he told her of five great pictures he wished to paint."," Jednoho dne jí vyprávěl o pěti skvělých obrazech, které by si přál namalovat."
"paint","paint","namalovat","namalovat","pf"," “ One day he told her of five great pictures he wished to paint."," Jednoho dne jí vyprávěl o pěti skvělých obrazech, které by si přál namalovat."
"restored","restore","vrátil","vrátit","pf"," If only his sight could be restored to paint them, he could write finis and be content."," Kdyby se mu tak vrátil zrak jen na těch pět obrazů, mohl by napsat finis a být spokojený."
"write","write","napsat","napsat","pf"," If only his sight could be restored to paint them, he could write finis and be content."," Kdyby se mu tak vrátil zrak jen na těch pět obrazů, mohl by napsat finis a být spokojený."
"love","love","miluješ","milovat","impf"," “ How much do you love him? ” he asked."," "" Jak moc ho miluješ? "" zeptal se."
"nodded","nod","Přikývl","přikývnout","pf"," He nodded in token that he was answered."," Přikývl na znamení, že taková odpověď mu stačí."
"begin","begin","začít","začít","pf"," He stopped, casting about for the way to begin."," Odmlčel se a přemýšlel, jak začít."
"remember","remember","Vzpomněl","vzpomenout","pf"," “ I remember reading a story - Herbert Shaw wrote it, I think."," "" Vzpomněl jsem si na jednu povídku - napsal ji, myslím, Herbert Shaw."
"think","think","Vzpomněl","vzpomenout","pf"," “ I remember reading a story - Herbert Shaw wrote it, I think."," "" Vzpomněl jsem si na jednu povídku - napsal ji, myslím, Herbert Shaw."
"wrote","write","napsal","napsat","pf"," “ I remember reading a story - Herbert Shaw wrote it, I think."," "" Vzpomněl jsem si na jednu povídku - napsal ji, myslím, Herbert Shaw."
"think","think","myslím","myslet","impf"," “ I remember reading a story - Herbert Shaw wrote it, I think."," "" Vzpomněl jsem si na jednu povídku - napsal ji, myslím, Herbert Shaw."
"want","want","Chtěl","chtít","impf"," I want to tell you about it."," Chtěl bych ti jí vyprávět."
"tell","tell","vyprávět","vyprávět","impf"," I want to tell you about it."," Chtěl bych ti jí vyprávět."
"sat","sit","seděli","sedět","impf"," The dogs, aroused, sat on their haunches, bleak noses pointed upward, and raised the long wolf howl."," Probuzení psi seděli, a s větrem ošlehanými čenichy zamířenými vzhůru spustili táhlé, vlčí vytí."
"said","say","řekl","říci","pf"," “ It ’ s the Chinook, ” Daw said."," "" Je to chinook, "" řekl Daw."
"said","say","řekl","říci","pf"," “ Mapuhi, ” he said, “ you are a big fool."," "" Mapuhi, "" řekl, "" jsi starý blázen."
"Set","set","Urči","určit","pf"," Set a money price. ”"," Urči si cenu v penězích. """
"want","want","Chci","chtít","impf"," “ I want the house, ” he said."," "" Chci ten dům, "" řekl."
"said","say","řekl","říci","pf"," “ I want the house, ” he said."," "" Chci ten dům, "" řekl."
"interrupted","interrupt","přerušil","přerušit","pf"," “ Yes, yes, ” Raoul interrupted."," "" Ovšem, ovšem, "" přerušil ho Raoul."
"betrayed","betray","prozrazovalo","prozrazovat","impf"," The golden strain of Polynesia betrayed itself in the sun-gilt of his fair skin and cast up golden sheens and lights through the glimmering blue of his eyes."," Sluneční pozlátko na jeho světlé kůži prozrazovalo zlatý polynéský tón, jehož třpyt se zrcadlil v jiskrně modrých očích."
"remembered","remember","vzpomněl","vzpomenout","pf"," Then he remembered the barometer and ran back to the house."," Pak si vzpomněl na barometr a rozběhl se zpátky k domu."
"encountered","encounter","potkal","potkat","pf"," He encountered Captain Lynch on the same errand and together they went in."," Cestou potkal kapitána Lynche, který se vracel ze stejného důvodu, a spolu vstoupili do domu."
"said","say","řekl","říci","pf"," “ Twenty-eight-twenty, ” said the old mariner."," "" Dvacet osm dvacet, "" řekl starý námořník."
"continued","continue","pokračoval","pokračovat","impf"," “ Got a warrant for you, Kid, ” he continued, drawing a bedraggled paper from his breast pocket, “ an ’ I ‘ ope as you ’ ll come along peaceable. ”"," "" Mám na tebe zatykač, Kide, "" pokračoval a z náprsní kapsy vytáhl zmáčený papír, "" doufám, že se mnou půjdeš po dobrém. """
"drawing","draw","vytáhl","vytáhnout","pf"," “ Got a warrant for you, Kid, ” he continued, drawing a bedraggled paper from his breast pocket, “ an ’ I ‘ ope as you ’ ll come along peaceable. ”"," "" Mám na tebe zatykač, Kide, "" pokračoval a z náprsní kapsy vytáhl zmáčený papír, "" doufám, že se mnou půjdeš po dobrém. """
"come","come","půjdeš","jít","impf"," “ Got a warrant for you, Kid, ” he continued, drawing a bedraggled paper from his breast pocket, “ an ’ I ‘ ope as you ’ ll come along peaceable. ”"," "" Mám na tebe zatykač, Kide, "" pokračoval a z náprsní kapsy vytáhl zmáčený papír, "" doufám, že se mnou půjdeš po dobrém. """
"asked","ask","zeptal","zeptat","pf"," “ Where are the dogs? ” his companion asked."," "" Kde jsou moji psi? "" zeptal se jeho druh."
"says","say","povídá","povídat","impf"," ‘ Looks like good hunting, ’ says Rocky, when they struck that section last fall."," "" Vypadá to na dobrej lov, ' povídá Rocky, když loni na podzim narazili na to místo."
"struck","strike","narazili","narazit","pf"," ‘ Looks like good hunting, ’ says Rocky, when they struck that section last fall."," "" Vypadá to na dobrej lov, ' povídá Rocky, když loni na podzim narazili na to místo."
"looking","look","hledají","hledat","impf"," An ’ me all the time thinkin ’ they was looking for gold."," Celou dobu jsem si myslel, že hledají zlato."
"turned","turn","odvrátili","odvrátit","pf"," The Minook men turned away in silence, but soon “ Rumsky Ho ” floated upon the quiet air, followed by “ The Orange and the Black. ”"," Mužové z Minooku se bez jediného slova odvrátili, brzy se však začalo okolním tichem vznášet "" Rumsky Ho "", následované "" The Orange and the Black ""."
"made","make","udělali","udělat","pf"," Room was made in the circle for Montana Kid and the policeman, and they quickly caught the ringing rhythm of the choruses as they drifted on from song to song."," Ve svém kruhu udělali místo také pro Montanu Kida a policistu, kteří rychle pochytili zvučný rytmus refrénů a všichni společně pokračovali od písně k písni."
"looked","look","prohlédl","prohlédnout","pf"," He looked more closely."," Mapuhi si ji prohlédl pozorněji."
"remained","remain","zůstalo","zůstat","pf"," Of the twelve hundred alive the night before but three hundred remained."," Z dvanácti set živých z předešlého večera zůstalo pouhých tři sta."
"made","make","provedli","provést","pf"," The Mormon missionary and a gendarme made the census."," Součet provedli mormonský misionář a četník."
