"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"listened","listen","poslouchala","poslouchat","impf"," As you 're being so honest with me, Mr. K., I can admit to you that I listened to a little of what was going on from behind the door, and that those two policemen told me one or two things as well."," Když se mnou mluvíte tak důvěrně, pane K., mohu se vám přiznat, že jsem trochu poslouchala za dveřmi a že mi také ti dva hlídači leccos pověděli."
"told","tell","pověděli","povědět","pf"," As you 're being so honest with me, Mr. K., I can admit to you that I listened to a little of what was going on from behind the door, and that those two policemen told me one or two things as well."," Když se mnou mluvíte tak důvěrně, pane K., mohu se vám přiznat, že jsem trochu poslouchala za dveřmi a že mi také ti dva hlídači leccos pověděli."
"do","do","jde","jít","impf"," It 's all to do with your happiness, and that 's something that 's quite close to my heart, perhaps more than it should be as I am, after all, only your landlady."," Vždyť jde o vaše štěstí a to mi skutečně leží na srdci, snad víc, než se na mne sluší, vždyť jsem jen bytná."
"expected","expect","čekal","čekat","impf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"expected","expect","čekal","čekat","impf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"expected","expect","čekal","čekat","impf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"believe","believe","uvěřit","uvěřit","pf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"following","follow","nepřišlo","přijít","pf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"arrive","arrive","nepřišlo","přijít","pf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"come","come","nepřišlo","přijít","pf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"appear","appear","nepřišlo","přijít","pf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"expected","expect","předpokládal","předpokládat","impf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"expected","expect","předpokládal","předpokládat","impf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
"expected","expect","předpokládal","předpokládat","impf"," Every day over the following week, K. expected another summons to arrive, he could not believe that his rejection of any more hearings had been taken literally, and when the expected summons really had not come by Saturday evening he took it to mean that he was expected, without being told, to appear at the same place at the same time."," V PŘÍŠTÍM TÝDNU čekal K. na opětné vyrozumění den co den, nemohl uvěřit, že by soud tak doslova přistoupil na jeho prohlášení, že se vzdává výslechů, a když očekávané vyrozumění až do soboty večer opravdu nepřišlo, předpokládal, že je mlčky obeslán do téhož domu na touž dobu."
