"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"said","say","řekl","říci","pf"," The Dormouse took Pinocchio 's wrist between her paws and, after a few minutes, looked up at him sorrowfully and said :"," Svišť zvedl pravou přední tlapku, a když Pinocchiovi změřil tep, s povzdechem mu řekl :"
"earn","earn","Vydělává","vydělávat","impf"," "" Does he earn much? """," "" Vydělává hodně? """
"earns","earn","Vydělává","vydělávat","impf"," "" He earns so much that he never has a penny in his pockets."," "" Vydělává tolik, kolik je třeba, aby nikdy neměl v kapse ani vindru."
"earns","earn","neměl","mít","impf"," "" He earns so much that he never has a penny in his pockets."," "" Vydělává tolik, kolik je třeba, aby nikdy neměl v kapse ani vindru."
"drawn","draw","táhlo","táhnout","impf"," It was drawn by one hundred pairs of white mice, and the Poodle sat on the coachman 's seat and snapped his whip gayly in the air, as if he were a real coachman in a hurry to get to his destination."," Kočár táhlo sto párů bílých myšek a pudlík na kozlíku práskal bičem napravo i nalevo jako drožkář, který má obavu, že jede pozdě."
"sees","see","uvidíme","uvidět","pf"," The story of Pinocchio and the Talking Cricket, in which one sees that bad children do not like to be corrected by those who know more than they do"," Pinocchiovo setkání s mluvícím cvrčkem, kdy uvidíme, jak neposlušní chlapci nemohou vystát napomenutí od někoho, kdo je moudřejší než oni"
"began","begin","začala","začít","pf"," No sooner was it finished than it began to laugh and poke fun at him."," Pusa ještě nebyla ani dodělaná, a už se začala smát a dobírat si ho."
"laugh","laugh","smát","smát","impf"," No sooner was it finished than it began to laugh and poke fun at him."," Pusa ještě nebyla ani dodělaná, a už se začala smát a dobírat si ho."
"Stop","stop","Přestaň","přestat","pf"," "" Stop laughing! "" said Geppetto angrily;"," "" Přestaň se smát! "" řekl Geppetto rozčileně;"
"laughing","laugh","smát","smát","impf"," "" Stop laughing! "" said Geppetto angrily;"," "" Přestaň se smát! "" řekl Geppetto rozčileně;"
"said","say","řekl","říci","pf"," "" Stop laughing! "" said Geppetto angrily;"," "" Přestaň se smát! "" řekl Geppetto rozčileně;"
"spoken","speak","mluvil","mluvit","impf"," but he might as well have spoken to the wall."," ale jako by mluvil do zdi."
"say","say","Říkám","říkat","impf"," "" Stop laughing, I say! "" he roared in a voice of thunder."," "" Říkám ti, přestaň se smát! "" křikl výhrůžně."
"Stop","stop","přestaň","přestat","pf"," "" Stop laughing, I say! "" he roared in a voice of thunder."," "" Říkám ti, přestaň se smát! "" křikl výhrůžně."
"laughing","laugh","smát","smát","impf"," "" Stop laughing, I say! "" he roared in a voice of thunder."," "" Říkám ti, přestaň se smát! "" křikl výhrůžně."
"stopped","stop","přestala","přestat","pf"," The mouth stopped laughing, but it stuck out a long tongue."," Pusa se tedy přestala smát, zato však vyplázla dlouhatánský jazyk."
"laughing","laugh","smát","smát","impf"," The mouth stopped laughing, but it stuck out a long tongue."," Pusa se tedy přestala smát, zato však vyplázla dlouhatánský jazyk."
"went","go","pracoval","pracovat","impf"," Not wishing to start an argument, Geppetto made believe he saw nothing and went on with his work."," Aby se Geppetto zbytečně nerozčiloval, tvářil se, že si toho nevšiml, a pracoval dál."
"came","come","došel","dojít","pf"," After walking a half hour, he came to a small country called the Land of the Busy Bees."," Po půlhodině cesty došel do malé vesničky, která se jmenovala Vesnička pilných včeliček."
"found","find","nenašli","najít","pf"," Even if one were to search with a lantern, not one idle man or one tramp could have been found."," Lenocha nebo povaleče byste tam nenašli, i kdybyste hledali s lucernou."
"search","search","hledali","hledat","impf"," Even if one were to search with a lantern, not one idle man or one tramp could have been found."," Lenocha nebo povaleče byste tam nenašli, i kdybyste hledali s lucernou."
"said","say","řekl","říci","pf"," "" I understand, "" said Pinocchio at once wearily, "" this is no place for me!"," "" Vidím, "" řekl hned ten pecivál Pinocchio, "" že tahle vesnice není nic pro mě!"
"starting","start","zahájíte","zahájit","pf"," Before starting your performance, salute your audience! """," Dřív než zahájíte svůj výstup, pozdravte tento velectěný publikum, pány, dámy a děti! """
"bent","bend","pokrčil","pokrčit","pf"," Pinocchio obediently bent his two knees to the ground and remained kneeling until the Manager, with the crack of the whip, cried sharply :"," Pinocchio hned poslušně pokrčil obě přední kolena a zůstal klečet na zemi, dokud principál nepráskl bičem a nekřikl :"
"remained","remain","zůstal","zůstat","pf"," Pinocchio obediently bent his two knees to the ground and remained kneeling until the Manager, with the crack of the whip, cried sharply :"," Pinocchio hned poslušně pokrčil obě přední kolena a zůstal klečet na zemi, dokud principál nepráskl bičem a nekřikl :"
"cried","cry","nekřikl","křiknout","pf"," Pinocchio obediently bent his two knees to the ground and remained kneeling until the Manager, with the crack of the whip, cried sharply :"," Pinocchio hned poslušně pokrčil obě přední kolena a zůstal klečet na zemi, dokud principál nepráskl bičem a nekřikl :"
"changed","change","přešel","přejít","pf"," and Pinocchio obediently changed his step."," A Pinocchio uposlechl příkazu a přešel v klus."
"listened","listen","nedbá","dbát","impf"," Pinocchio, not having listened to the good advice of the Talking Cricket, falls into the hands of the Assassins"," Pinocchio nedbá na dobré rady mluvícího cvrčka a narazí na loupežníky"
"gives","give","dává","dávat","impf"," Everybody scolds us, everybody gives us advice, everybody warns us."," Každý nás okřikuje, každý nás napomíná, každý nám dává rady."
"weeping","weep","pláče","plakat","impf"," Think how great was his surprise when he saw that the donkey was weeping - weeping just like a boy!"," A představte si, jak se podivil, když si všiml, že jeho oslík pláče ... a plakal úplně jako nějaký kluk!"
"weeping","weep","pláče","plakat","impf"," Think how great was his surprise when he saw that the donkey was weeping - weeping just like a boy!"," A představte si, jak se podivil, když si všiml, že jeho oslík pláče ... a plakal úplně jako nějaký kluk!"
"weeping","weep","plakal","plakat","impf"," Think how great was his surprise when he saw that the donkey was weeping - weeping just like a boy!"," A představte si, jak se podivil, když si všiml, že jeho oslík pláče ... a plakal úplně jako nějaký kluk!"
"weeping","weep","plakal","plakat","impf"," Think how great was his surprise when he saw that the donkey was weeping - weeping just like a boy!"," A představte si, jak se podivil, když si všiml, že jeho oslík pláče ... a plakal úplně jako nějaký kluk!"
"weeps","weep","pláče","plakat","impf"," This donkey weeps. """," Tenhle oslík pláče. """
"Let","let","Nech","nechat","pf"," "" Let him weep."," "" Nech ho plakat."
"weep","weep","plakat","plakat","impf"," "" Let him weep."," "" Nech ho plakat."
"tried","try","Pokoušel","pokoušet","impf"," He tried to swim away from him, to change his path, to escape, but that immense mouth kept coming nearer and nearer."," Pokoušel se jí vyhnout, změnit směr, pokoušel se uniknout, ale ta obrovská rozevřená tlama se rychlostí šípu hnala přímo na něho."
"change","change","změnit","změnit","pf"," He tried to swim away from him, to change his path, to escape, but that immense mouth kept coming nearer and nearer."," Pokoušel se jí vyhnout, změnit směr, pokoušel se uniknout, ale ta obrovská rozevřená tlama se rychlostí šípu hnala přímo na něho."
"tried","try","pokoušel","pokoušet","impf"," He tried to swim away from him, to change his path, to escape, but that immense mouth kept coming nearer and nearer."," Pokoušel se jí vyhnout, změnit směr, pokoušel se uniknout, ale ta obrovská rozevřená tlama se rychlostí šípu hnala přímo na něho."
"escape","escape","uniknout","uniknout","pf"," He tried to swim away from him, to change his path, to escape, but that immense mouth kept coming nearer and nearer."," Pokoušel se jí vyhnout, změnit směr, pokoušel se uniknout, ale ta obrovská rozevřená tlama se rychlostí šípu hnala přímo na něho."
"want","want","chci","chtít","impf"," "" I know that I spent four cents to get you and I want my money back."," "" Vím jen to, že jsem za tebe zaplatil dvacet krejcarů, a chci svoje peníze zpátky."
"Do","do","udělám","udělat","pf"," Do you know what I can do;"," Víš, co udělám?"
"do","do","udělám","udělat","pf"," Do you know what I can do;"," Víš, co udělám?"
"sell","sell","prodám","prodat","pf"," I am going to take you to the market once more and sell you as dry firewood. """," Odvedu tě znovu na trh a prodám tě na váhu jako pěkně vyschlé dřevo na podpal do krbu. """
"Swimming","swim","plaval","plavat","impf"," Swimming away as fast as he could, he cried out, laughing :"," A zatímco si vesele plaval a vzdaloval se od břehu, volal na ubohého kupce :"
"cried","cry","volal","volat","impf"," Swimming away as fast as he could, he cried out, laughing :"," A zatímco si vesele plaval a vzdaloval se od břehu, volal na ubohého kupce :"
"meets","meet","potká","potkat","pf"," He meets a Pigeon, who carries him to the seashore."," Potom potká holuba, a ten ho odnese na mořský břeh."
"stopped","stop","přestal","přestat","pf"," As soon as Pinocchio no longer felt the shameful weight of the dog collar around his neck, he started to run across the fields and meadows, and never stopped till he came to the main road that was to take him to the Fairy 's house."," Sotva Pinocchia přestal na krku tížit ten ukrutný, ponižující obojek, vzal nohy na ramena, utíkal přes pole a ani na minutu se nezastavil, dokud nedoběhl na hlavní silnici, která ho měla dovést zpátky do vílina domku."
"take","take","vzal","vzít","pf"," As soon as Pinocchio no longer felt the shameful weight of the dog collar around his neck, he started to run across the fields and meadows, and never stopped till he came to the main road that was to take him to the Fairy 's house."," Sotva Pinocchia přestal na krku tížit ten ukrutný, ponižující obojek, vzal nohy na ramena, utíkal přes pole a ani na minutu se nezastavil, dokud nedoběhl na hlavní silnici, která ho měla dovést zpátky do vílina domku."
"run","run","utíkal","utíkat","impf"," As soon as Pinocchio no longer felt the shameful weight of the dog collar around his neck, he started to run across the fields and meadows, and never stopped till he came to the main road that was to take him to the Fairy 's house."," Sotva Pinocchia přestal na krku tížit ten ukrutný, ponižující obojek, vzal nohy na ramena, utíkal přes pole a ani na minutu se nezastavil, dokud nedoběhl na hlavní silnici, která ho měla dovést zpátky do vílina domku."
"discovers","discover","odhalí","odhalit","pf"," Pinocchio discovers the thieves and, as a reward for faithfulness, he regains his liberty"," Pinocchio odhalí zloděje a za svou věrnost je propuštěn na svobodu"
