"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"said","say","řekla","říci","pf"," "" You 've had a real time of it, "" Libuska said with feeling."," "" Prožili jste si svoje, "" řekla Libuška uznale."
"write","write","Psát","psát","impf"," To write about Beata was not only thrilling, it was also safe."," Psát o Beátě bylo vzrušující i bezpečné zároveň."
"provide","provide","poskytnout","poskytnout","pf"," That was something that real life could never provide me with."," Něco takového mi skutečný život nikdy nemohl poskytnout."
"reminded","remind","připomínal","připomínat","impf"," All the misfortunes of men derive from one single thing, which is their inability to be at ease alone in their room, I reminded myself bitterly in the words of Pascal."," Veškeré neštěstí mužů pramení z toho, že nedovedou zůstat v klidu své pracovny, připomínal jsem si hořce s Pascalem."
"tossing","toss","vyhodila","vyhodit","pf"," She rummaged among them with evident distaste, tossing out something here and there, but in the end she tipped the whole crate into the fire."," Probírala se tím s očividným odporem, tu a tam něco vyhodila, ale nakonec na oheň vysypala celý obsah bedny."
"open","open","otevřel","otevřít","pf"," Contrary to my promise I did n't open Questions for Young People until I was making notes for this novel."," Otázky mladých lidí jsem v rozporu se svým slibem otevřel teprve během psaní poznámek k tomuto románu."
"provide","provide","Poskytují","poskytovat","impf"," But do they provide a healthy outlook on life and marriage?"," Poskytují však zdravý názor na život a na manželství?"
"see","see","uvidí","uvidět","pf"," Kral said. "" We 'll see what helps her most."," "" To se uvidí, co jí pomůže nejlíp."
"helps","help","pomůže","pomoci","pf"," Kral said. "" We 'll see what helps her most."," "" To se uvidí, co jí pomůže nejlíp."
"meant","mean","chtěl","chtít","impf"," At first I meant to say psychiatrist."," Původně jsem chtěl říct psychiatr."
"say","say","říct","říci","pf"," At first I meant to say psychiatrist."," Původně jsem chtěl říct psychiatr."
"studied","study","Studoval","studovat","impf"," "" You 've studied pedagogy, you 're a writer, you 've got a daughter too ... "" he enumerated with conviction."," "" Studoval jste pedagogiku, jste spisovatel, máte taky dceru ..., "" vypočítával přesvědčeně."
"enumerated","enumerate","vypočítával","vypočítávat","impf"," "" You 've studied pedagogy, you 're a writer, you 've got a daughter too ... "" he enumerated with conviction."," "" Studoval jste pedagogiku, jste spisovatel, máte taky dceru ..., "" vypočítával přesvědčeně."
"write","write","psát","psát","impf"," "" It 's just that, is it feasible at all to write about suicide? """," "" Jenomže : jde to vůbec - psát o sebevraždě? """
"tried","try","vyzkoušela","vyzkoušet","pf"," After three cognacs in the restaurant bar at the top of the Kotva department store, she tried every bed in the furniture department on the floor below, spontaneously but with a certain solemn ceremoniousness : coloured double divans, the traditional white bedroom, modern iron bedsteads with brass knobs, folding sofabeds and even the circular marriage beds covered in American micro-plush."," Po třech koňacích v baru restaurace Kotva je v oddělení nábytku o patro níž naprosto spontánně, ale s jakousi vážnou obřadností vyzkoušela úplně všechny : barevné dvojválendy, tradiční bílé ložnice, moderní kovové postele s mosaznými špruslemi, rozkládací pohovky i kruhová manželská lůžka s potahem americký mikroplyš."
"turned","turn","Obracela","obracet","impf"," She turned over onto her side, her back and her stomach."," Obracela se na bok a na záda a na břicho."
"going","go","chodíme","chodit","impf"," "" Oh, yes, now I remember : Are we still going out together? """," "" Jo, už vím - chodíme spolu ještě? """
"spotted","spot","spatřil","spatřit","pf"," In the corner in front of me I spotted the famous blackboard."," V rohu před sebou jsem spatřil známou školní tabuli :"
"wiped","wipe","smazal","smazat","pf"," Oskar wiped the blackboard abstractedly."," Oskar tabuli náměsíčně smazal."
"said","say","řekla","říci","pf"," "" Viz that novel of yours, "" she said suddenly."," "" Viz ten tvůj román, "" řekla náhle."
"read","read","přečetla","přečíst","pf"," My pleasure at the speed with which she had read it was tempered by a fear aroused by the very expression : that novel of yours."," Radost, že ho tak rychle přečetla, se mísila s obavou, jíž vyvolávalo už jen samotné slovní spojení ten tvůj román."
"aroused","arouse","vyvolávalo","vyvolávat","impf"," My pleasure at the speed with which she had read it was tempered by a fear aroused by the very expression : that novel of yours."," Radost, že ho tak rychle přečetla, se mísila s obavou, jíž vyvolávalo už jen samotné slovní spojení ten tvůj román."
"Go","go","Pokračuj","pokračovat","impf"," "" Go on, "" I said bravely."," "" Pokračuj, "" řekl jsem statečně."
"said","say","řekl","říci","pf"," "" Go on, "" I said bravely."," "" Pokračuj, "" řekl jsem statečně."
"need","need","nepotřebuje","potřebovat","impf"," ( An artist does not need criticism, an artist needs praise."," ( Umělec nepotřebuje kritiku, umělec potřebuje ocenění."
"needs","need","nepotřebuje","potřebovat","impf"," ( An artist does not need criticism, an artist needs praise."," ( Umělec nepotřebuje kritiku, umělec potřebuje ocenění."
"need","need","potřebuje","potřebovat","impf"," ( An artist does not need criticism, an artist needs praise."," ( Umělec nepotřebuje kritiku, umělec potřebuje ocenění."
"needs","need","potřebuje","potřebovat","impf"," ( An artist does not need criticism, an artist needs praise."," ( Umělec nepotřebuje kritiku, umělec potřebuje ocenění."
"needs","need","potřebuje","potřebovat","impf"," When he needs criticism, he 's no artist."," Když potřebuje kritiku, není to umělec."
"experienced","experience","zažil","zažít","pf"," Even in the course of my own fairly nondescript sex life I had, admittedly, like everyone else, occasionally experienced a girl leaning back on her elbows on a bed and pointing her nipples at me - but none of them had ever looked at me with hostility at the same time."," I během svého dosti chudého erotického života jsem sice jako každý párkrát zažil, že na mne dívka vzepřená na posteli na loktech mířila prsními bradavkami - ale ani jedna se přitom netvářila nenávistně."
"pointing","point","mířila","mířit","impf"," Even in the course of my own fairly nondescript sex life I had, admittedly, like everyone else, occasionally experienced a girl leaning back on her elbows on a bed and pointing her nipples at me - but none of them had ever looked at me with hostility at the same time."," I během svého dosti chudého erotického života jsem sice jako každý párkrát zažil, že na mne dívka vzepřená na posteli na loktech mířila prsními bradavkami - ale ani jedna se přitom netvářila nenávistně."
"occupied","occupy","zaměstnalo","zaměstnat","pf"," That unprecedented coupling of nakedness and hostility occupied my thoughts for a good few minutes."," Toto dosud nepoznané propojení nahoty s nenávistí zaměstnalo mou mysl na dlouhé minuty."
"want","want","Chci","chtít","impf"," I want to go to this arbitration."," Chci jet na arbitráž."
"go","go","jet","jet","impf"," I want to go to this arbitration."," Chci jet na arbitráž."
"think","think","Myslím","myslet","impf"," I do n't think I 've ever looked forward so much to spending a day at arbitration."," Myslím, že ještě nikdy jsem se tolik netěšil na obyčejnou arbitráž."
"fulfil","fulfil","splnila","splnit","pf"," The arbitration did indeed fulfil all my expectations :"," Arbitráž pak skutečně splnila to, co jsem si od ní sliboval :"
"created","create","vytvářel","vytvářet","impf"," "" Mozart created clear, playful and often even humorous music, "" the presenter said in a clear and almost playful voice."," "" Mozart vytvářel hudbu jasnou, hravou, často až úsměvnou, "" řekla jasným, bezmála hravým hlasem."
"said","say","řekla","říci","pf"," "" Mozart created clear, playful and often even humorous music, "" the presenter said in a clear and almost playful voice."," "" Mozart vytvářel hudbu jasnou, hravou, často až úsměvnou, "" řekla jasným, bezmála hravým hlasem."
"followed","follow","Následovala","následovat","impf"," There followed an illustration."," Následovala ukázka."
"ejaculated","ejaculate","zvolala","zvolat","pf"," "" Zeleny! "" Chvatalova-Sukova ejaculated sotto voce amidst the music."," "" Zelený! "" zvolala do hudby Chvátalová - Suková tlumeně."
"removed","remove","vyňal","vyjmout","pf"," Zeleny pulled off the headphones and theatrically removed the two batteries before stuffing them up his nostrils."," Zelený stáhl sluchátka z hlavy a teatrálně vyňal z přístroje i obě tužkové baterie, které si následně zastrčil do nosních dírek."
"explain","explain","vysvětlit","vysvětlit","pf"," ) The next moment however - and I 'm still unable to explain it - I was nearly run down by a black Volkswagen Golf convertible."," V příští vteřině - dodnes si to neumím vysvětlit - jsem pak byl ovšem skoro přejet černým kabrioletem Volkswagen Golf;"
"heard","hear","uslyšel","uslyšet","pf"," I instinctively leapt out of the way as soon as I heard the characteristic crunch of tires on gravel."," uskočil jsem instinktivně stranou, až když jsem uslyšel charakteristický zvuk pneumatikami drceného štěrku."
"regarded","regard","pozoroval","pozorovat","impf"," He regarded me pensively."," Zamyšleně mě pozoroval."
"throw","throw","Vyhodí","vyhodit","pf"," Is he going to throw me out? I wondered."," Vyhodí mě? tázal jsem se v duchu."
"looked","look","Pohlédl","pohlédnout","pf"," He looked out the window."," Pohlédl z okna."
"asked","ask","zeptal","zeptat","pf"," "" Did n't you ever have Beata Kralova in Czech class? "" I asked him straight out."," "" Neměl jsi někdy na češtinu Beátu Královou? "" zeptal jsem se ho přímo."
"said","say","řekl","říci","pf"," "" I did, "" he said without lengthy reflection."," "" Měl, "" řekl bez dlouhého vzpomínání."
"said","say","řekl","říci","pf"," "" By no means, "" Jaromir said."," "" Vůbec ne, "" řekl Jaromír."
"offering","offer","nabízel","nabízet","impf"," The white envelope contained a brief letter from Kral, our local millionaire, offering me a lucrative part-time job with easy hours."," V bílé obálce byl krátký dopis od místního milionáře Krále - nabízel mi v něm časově nenáročnou a velmi dobře placenou práci."
