"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"hung","hang","zavěsil","zavěsit","pf"," I did n't hear the rest of the name, because I hung up the receiver."," Zbytek jména jsem neslyšel, protože jsem zavěsil."
"telephoned","telephone","volal","volat","impf"," After that I felt a certain shame for Gatsby - one gentleman to whom I telephoned implied that he had got what he deserved."," Potom jsem se za Gatsbyho jistým způsobem zastyděl - jeden pán, kterému jsem volal, poznamenal, že Gatsby dostal, co mu patřilo."
"got","get","dostal","dostat","pf"," After that I felt a certain shame for Gatsby - one gentleman to whom I telephoned implied that he had got what he deserved."," Potom jsem se za Gatsbyho jistým způsobem zastyděl - jeden pán, kterému jsem volal, poznamenal, že Gatsby dostal, co mu patřilo."
"call","call","volat","volat","impf"," However, that was my fault, for he was one of those who used to sneer most bitterly at Gatsby on the courage of Gatsby 's liquor, and I should have known better than to call him."," Jenomže to byla moje chyba, protože patřil k těm, kteří se nejdřív posilnili Gatsbyho lihovinami a pak se mu co nejjedovatěji pošklebovali, a já mu neměl volat."
"went","go","jel","jet","impf"," The morning of the funeral I went up to New York to see Meyer Wolfshiem;"," Dopoledne v den pohřbu jsem jel do New Yorku za Meyerem Wolfsheimem;"
"drowned","drown","utopili","utopit","pf"," ' They almost drowned me once over in New Jersey. '"," "" V New Jersey mě jednou skoro utopili. """
"cried","cry","vykřikla","vykřiknout","pf"," ' Speak for yourself! ' cried Miss Baedeker violently."," "" Mluvte za sebe! "" vykřikla divoce slečna Baedekerová."
"shakes","shake","třesou","třást","impf"," ' Your hand shakes."," "" Vám se třesou ruce."
"operate","operate","operovat","operovat","impf"," I would n't let you operate on me! '"," Od vás bych se nedala operovat! """
"remember","remember","pamatuji","pamatovat","impf"," Almost the last thing I remember was standing with Daisy and watching the moving-picture director and his Star."," Skoro poslední, nač si pamatuji, bylo, že jsem stál s Daisy a díval se na filmového režiséra a jeho hvězdu."
"watching","watch","díval","dívat","impf"," Almost the last thing I remember was standing with Daisy and watching the moving-picture director and his Star."," Skoro poslední, nač si pamatuji, bylo, že jsem stál s Daisy a díval se na filmového režiséra a jeho hvězdu."
"spent","spend","strávili","strávit","pf"," They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together."," Pro nic za nic strávili rok ve Francii a potom se toulali bez cíle z místa na místo všude, kde lidé hráli pólo a oddávali se vespolek bohatství."
"drifted","drift","toulali","toulat","impf"," They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together."," Pro nic za nic strávili rok ve Francii a potom se toulali bez cíle z místa na místo všude, kde lidé hráli pólo a oddávali se vespolek bohatství."
"played","play","hráli","hrát","impf"," They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together."," Pro nic za nic strávili rok ve Francii a potom se toulali bez cíle z místa na místo všude, kde lidé hráli pólo a oddávali se vespolek bohatství."
"said","say","řekla","říci","pf"," This was a permanent move, said Daisy over the telephone, but I did n't believe it - I had no sight into Daisy 's heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game."," Tentokrát se prý přestěhovali na trvalo, řekla Daisy do telefonu, ale já jí nevěřil - do srdce jsem jí neviděl, ale cítil jsem, že Tom bude přelétat věčně a neurčitě toužit po dramatické vřavě nějakého definitivně dohraného fotbalového zápasu."
"believe","believe","nevěřil","věřit","impf"," This was a permanent move, said Daisy over the telephone, but I did n't believe it - I had no sight into Daisy 's heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game."," Tentokrát se prý přestěhovali na trvalo, řekla Daisy do telefonu, ale já jí nevěřil - do srdce jsem jí neviděl, ale cítil jsem, že Tom bude přelétat věčně a neurčitě toužit po dramatické vřavě nějakého definitivně dohraného fotbalového zápasu."
"felt","feel","cítil","cítit","impf"," This was a permanent move, said Daisy over the telephone, but I did n't believe it - I had no sight into Daisy 's heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game."," Tentokrát se prý přestěhovali na trvalo, řekla Daisy do telefonu, ale já jí nevěřil - do srdce jsem jí neviděl, ale cítil jsem, že Tom bude přelétat věčně a neurčitě toužit po dramatické vřavě nějakého definitivně dohraného fotbalového zápasu."
"thrown","throw","vrhala","vrhat","impf"," That 's my Middle West - not the wheat or the prairies or the lost Swede towns, but the thrilling returning trains of my youth, and the street lamps and sleigh bells in the frosty dark and the shadows of holly wreaths thrown by lighted windows on the snow."," To je můj Střední západ - ne pšenice nebo prérie nebo ztracená švédská městečka, ale vzrušené, vracející se vlaky mého mládí a pouliční lampy a rolničky ve zmrzlé tmě a stíny cesminových věnců, které osvětlená okna vrhala na sníh."
"growing","grow","vyrůstal","vyrůstat","impf"," I am part of that, a little solemn with the feel of those long winters, a little complacent from growing up in the Carraway house in a city where dwellings are still called through decades by a family 's name."," Patřím k tomu všemu, je mi trochu slavnostně při vzpomínce na ty dlouhé zimy, trochu samolibě z toho, že jsem vyrůstal v domě Carrawayů ve městě, kde se obydlí stále ještě po desítiletí nazývají podle jména rodiny, která v nich bydlela."
"called","call","nazývají","nazývat","impf"," I am part of that, a little solemn with the feel of those long winters, a little complacent from growing up in the Carraway house in a city where dwellings are still called through decades by a family 's name."," Patřím k tomu všemu, je mi trochu slavnostně při vzpomínce na ty dlouhé zimy, trochu samolibě z toho, že jsem vyrůstal v domě Carrawayů ve městě, kde se obydlí stále ještě po desítiletí nazývají podle jména rodiny, která v nich bydlela."
"came","come","přijeli","přijet","pf"," From farther out on the Island came the Cheadles and the O. R. P. Schraeders, and the Stonewall Jackson Abrams of Georgia, and the Fishguards and the Ripley Snells."," Ze vzdálenějšiho konce ostrova přijeli Cheadleovi a O. R. P. Schraeder se ženou a Stonewall Jackson Abraham s paní z Georgie a Fishguardovi a Ripley Snell s paní."
"came","come","jezdili","jezdit","impf"," The Dancies came, too, and S. B. Whitebait, who was well over sixty, and Maurice A. Flink, and the Hammerheads, and Beluga the tobacco importer, and Beluga 's girls."," Dancieové jezdili taky a S. B. Whitebait, jemuž bylo dobře přes šedesát, a Maurice A. Flink, a Hammerheadovi a Beluga, který dovážel tabák, a Belugova děvčata."
"kissed","kiss","políbí","políbit","pf"," He knew that when he kissed this girl, and forever wed his unutterable visions to her perishable breath, his mind would never romp again like the mind of God."," Věděl, že když tuto dívku políbí a navždy zasnoubí své nevyslovitelné vidiny s jejím smrtelným dechem, nebude se jeho mysl už nikdy lehce vznášet jako mysl boží."
"waited","wait","čekal","čekat","impf"," So he waited, listening for a moment longer to the tuning-fork that had been struck upon a star."," A tak čekal, a ještě chvíli naslouchal ladičce, která uhodila o hvězdu."
"listening","listen","naslouchal","naslouchat","impf"," So he waited, listening for a moment longer to the tuning-fork that had been struck upon a star."," A tak čekal, a ještě chvíli naslouchal ladičce, která uhodila o hvězdu."
"struck","strike","uhodila","uhodit","pf"," So he waited, listening for a moment longer to the tuning-fork that had been struck upon a star."," A tak čekal, a ještě chvíli naslouchal ladičce, která uhodila o hvězdu."
"kissed","kiss","políbil","políbit","pf"," Then he kissed her."," Potom ji políbil."
"starts","start","začíná","začínat","impf"," ' Life starts all over again when it gets crisp in the fall. '"," "" Život začíná vždycky znova, když na podzim zchřadne. """
"insisted","insist","trvala","trvat","impf"," ' But it 's so hot, ' insisted Daisy, on the verge of tears, ' and everything 's so confused."," "" Ale když je takové horko, "" trvala na svém Daisy a měla slzy na krajíčku, "" a všechno je tak zmatené."
"go","go","Pojeďme","jet","impf"," Let 's all go to town! '"," Pojeďme všichni do města! """
"took","take","vzal","vzít","pf"," A damp streak of hair lay like a dash of blue paint across her cheek, and her hand was wet with glistening drops as I took it to help her from the car."," Mokrý pramének vlasů jí padal přes tvář, jako by ji někdo přetřel modrou barvou, a když jsem ji vzal za ruku, abych jí pomohl z vozu, měla ji mokrou a leskly se na ní kapky."
"help","help","pomohl","pomoci","pf"," A damp streak of hair lay like a dash of blue paint across her cheek, and her hand was wet with glistening drops as I took it to help her from the car."," Mokrý pramének vlasů jí padal přes tvář, jako by ji někdo přetřel modrou barvou, a když jsem ji vzal za ruku, abych jí pomohl z vozu, měla ji mokrou a leskly se na ní kapky."
"glistening","glisten","leskly","lesknout","impf"," A damp streak of hair lay like a dash of blue paint across her cheek, and her hand was wet with glistening drops as I took it to help her from the car."," Mokrý pramének vlasů jí padal přes tvář, jako by ji někdo přetřel modrou barvou, a když jsem ji vzal za ruku, abych jí pomohl z vozu, měla ji mokrou a leskly se na ní kapky."
"come","come","přijít","přijít","pf"," ' Are you in love with me, ' she said low in my ear, ' or why did I have, to come alone? '"," "" Zamiloval ses do mě, "" zašeptala mi do ucha, "" nebo proč jsem měla přijít sama? """
"Tell","tell","Řekni","říci","pf"," Tell your chauffeur to go far away and spend an hour. '"," Řekni šoférovi, aby odjel někam hodně daleko a hodinu tam zůstal. """
"go","go","odjel","odjet","pf"," Tell your chauffeur to go far away and spend an hour. '"," Řekni šoférovi, aby odjel někam hodně daleko a hodinu tam zůstal. """
"Come","come","Přijeďte","přijet","pf"," ' Come back in an hour, Ferdie. '"," "" Přijeďte za hodinu, Ferdie. """
"got","get","dostala","dostat","pf"," The girl who was with him got into the papers, too, because her arm was broken - she was one of the chambermaids in the Santa Barbara Hotel."," Dívka, která byla s ním, se také dostala do novin, protože si zlomila ruku, - byla to jedna pokojská z hotelu v Santa Barbaře."
