"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"Look","look","Podívej","podívat","pf"," Look at a map of the Libyan Desert and you will see names."," Podívej se na mapu Libyjské pouště a uvidíš jména."
"see","see","Podívej","podívat","pf"," Look at a map of the Libyan Desert and you will see names."," Podívej se na mapu Libyjské pouště a uvidíš jména."
"see","see","uvidíš","uvidět","pf"," Look at a map of the Libyan Desert and you will see names."," Podívej se na mapu Libyjské pouště a uvidíš jména."
"flourished","flourish","dařit","dařit","impf"," Four walls of glass with a glass door that let you into where there was a covered well and shelves of dead plants that at one time must have flourished in the heated room."," Čtyři skleněné stěny se skleněnými dveřmi, kudy jste vešli ke kryté studni a policím uschlých květin, kterým se kdysi ve vytápěné místnosti muselo dařit."
"reminded","remind","připomínal","připomínat","impf"," This indoor courtyard reminded her more and more of a book opened to reveal pressed flowers, something to be glanced at during passing, never entered."," Tento vnitřní dvůr jí stále víc a víc připomínal knihu, v níž se při otevření objeví vylisované květiny, něco, na co se podíváme, když kolem jdeme, ale nikdy tam nevstoupíme."
"reveal","reveal","objeví","objevit","pf"," This indoor courtyard reminded her more and more of a book opened to reveal pressed flowers, something to be glanced at during passing, never entered."," Tento vnitřní dvůr jí stále víc a víc připomínal knihu, v níž se při otevření objeví vylisované květiny, něco, na co se podíváme, když kolem jdeme, ale nikdy tam nevstoupíme."
"entered","enter","nevstoupíme","vstoupit","pf"," This indoor courtyard reminded her more and more of a book opened to reveal pressed flowers, something to be glanced at during passing, never entered."," Tento vnitřní dvůr jí stále víc a víc připomínal knihu, v níž se při otevření objeví vylisované květiny, něco, na co se podíváme, když kolem jdeme, ale nikdy tam nevstoupíme."
"got","get","dorazil","dorazit","pf"," But when I got there to pull him out, she was beside him."," Ale když jsem tam dorazil a chtěl ho vytáhnout, byla vedle něho ona."
"pull","pull","vytáhnout","vytáhnout","pf"," But when I got there to pull him out, she was beside him."," Ale když jsem tam dorazil a chtěl ho vytáhnout, byla vedle něho ona."
"trying","try","snažila","snažit","impf"," She was trying to move the lower part of her body, looking straight ahead."," Ona se snažila pohnout dolní částí svého těla a přitom zírala přímo před sebe."
"move","move","pohnout","pohnout","pf"," She was trying to move the lower part of her body, looking straight ahead."," Ona se snažila pohnout dolní částí svého těla a přitom zírala přímo před sebe."
"seem","seem","Nezdála","zdát","impf"," There did n't seem to be a mark on her."," Nezdála se na pohled nijak poraněná."
"pulled","pull","Vytáhl","vytáhnout","pf"," I pulled her out of the plane Clifton had called Rupert and carried her up into the rock caves."," Vytáhl jsem ji ven z letadla, kterému Clifton říkal Rupert, a odnesl jsem ji nahoru do skalních jeskyní."
"called","call","říkal","říkat","impf"," I pulled her out of the plane Clifton had called Rupert and carried her up into the rock caves."," Vytáhl jsem ji ven z letadla, kterému Clifton říkal Rupert, a odnesl jsem ji nahoru do skalních jeskyní."
"singing","sing","zpíval","zpívat","impf"," He was humming the song Hardy had been singing in the jeep on the way to the site-"," Broukal si přitom písničku, kterou si v džípu cestou sem na tohle místo zpíval Hardy."
"changing","change","střídají","střídat","impf"," They 're changing guard at Buckingham Palace-"," U paláce Buckinghamu právě stráže střídají -"
"wiped","wipe","Otřel","otřít","pf"," He wiped the area of fuze head dry and began moulding a clay cup around it."," Otřel dosucha okolí hlavy zapalovače a začal kolem ní z jílu formovat misku."
"began","begin","začal","začít","pf"," He wiped the area of fuze head dry and began moulding a clay cup around it."," Otřel dosucha okolí hlavy zapalovače a začal kolem ní z jílu formovat misku."
"moulding","mould","formovat","formovat","impf"," He wiped the area of fuze head dry and began moulding a clay cup around it."," Otřel dosucha okolí hlavy zapalovače a začal kolem ní z jílu formovat misku."
"poured","pour","nalil","nalít","pf"," Then he unstopped the jar and poured the liquid oxygen into the cup."," Potom odzátkoval láhev a nalil do misky tekutý kyslík."
"remembers","remember","vzpomíná","vzpomínat","impf"," the line Hana remembers on page 288 is by Anne Wilkinson."," Verš, na který si Hana vzpomíná na str. 000, je od Anne Wilkinsonové."
"see","see","vidí","vidět","impf"," How did she see him?"," Jak ho asi vidí ona?"
"imagined","imagine","nepředstavoval","představovat","impf"," He had never imagined himself to be a man with a sense of age and wisdom."," Nikdy si sám sebe nepředstavoval jako člověka moudrého a uvědomujícího si svůj věk."
"grabbing","grab","chytil","chytit","pf"," He crouched down to watch the dog drinking and he rebalanced himself too late, grabbing the table, upsetting the carafe of wine."," Sehnul se, aby se podíval, jak pes pije, a příliš pozdě nabyl rovnováhy, když se chytil stolu a přitom svrhl karafu s vínem."
"followed","follow","následovaly","následovat","impf"," And then in the 1920s there is a sweet postscript history on this pocket of earth, made mostly by privately funded expeditions and followed by modest lectures given at the Geographical Society in London at Kensington Gore."," A potom ve dvacátých letech se objevuje o tomto koutu země milý historický dodatek, který byl převážně dílem soukromě financovaných expedicí a po němž následovaly skromné přednášky pořádané Zeměpisnou společností v Londýně na Kensington Gore."
"got","get","dostal","dostat","pf"," When he got to the outskirts of the settlements, English military jeeps surrounded him and took him away, not listening to his story of the woman injured at Uweinat, just seventy miles away, listening in fact to nothing he said."," Když se dostal na okraj osídlení, obklopily ho anglické vojenské džípy a odvezly ho pryč, nikdo nenaslouchal jeho vyprávění o zraněné ženě v Uwénatu, jenom sto patnáct kilometrů odtud, vlastně nevěnovali pozornost ničemu, co vykládal."
"took","take","dostal","dostat","pf"," When he got to the outskirts of the settlements, English military jeeps surrounded him and took him away, not listening to his story of the woman injured at Uweinat, just seventy miles away, listening in fact to nothing he said."," Když se dostal na okraj osídlení, obklopily ho anglické vojenské džípy a odvezly ho pryč, nikdo nenaslouchal jeho vyprávění o zraněné ženě v Uwénatu, jenom sto patnáct kilometrů odtud, vlastně nevěnovali pozornost ničemu, co vykládal."
"surrounded","surround","obklopily","obklopit","pf"," When he got to the outskirts of the settlements, English military jeeps surrounded him and took him away, not listening to his story of the woman injured at Uweinat, just seventy miles away, listening in fact to nothing he said."," Když se dostal na okraj osídlení, obklopily ho anglické vojenské džípy a odvezly ho pryč, nikdo nenaslouchal jeho vyprávění o zraněné ženě v Uwénatu, jenom sto patnáct kilometrů odtud, vlastně nevěnovali pozornost ničemu, co vykládal."
"listening","listen","nenaslouchal","naslouchat","impf"," When he got to the outskirts of the settlements, English military jeeps surrounded him and took him away, not listening to his story of the woman injured at Uweinat, just seventy miles away, listening in fact to nothing he said."," Když se dostal na okraj osídlení, obklopily ho anglické vojenské džípy a odvezly ho pryč, nikdo nenaslouchal jeho vyprávění o zraněné ženě v Uwénatu, jenom sto patnáct kilometrů odtud, vlastně nevěnovali pozornost ničemu, co vykládal."
"listening","listen","nenaslouchal","naslouchat","impf"," When he got to the outskirts of the settlements, English military jeeps surrounded him and took him away, not listening to his story of the woman injured at Uweinat, just seventy miles away, listening in fact to nothing he said."," Když se dostal na okraj osídlení, obklopily ho anglické vojenské džípy a odvezly ho pryč, nikdo nenaslouchal jeho vyprávění o zraněné ženě v Uwénatu, jenom sto patnáct kilometrů odtud, vlastně nevěnovali pozornost ničemu, co vykládal."
"telling","tell","Říkáte","říkat","impf"," "" Are you telling me the English did not believe you?"," "" Říkáte, že vám Angličani nevěřili?"
"believe","believe","nevěřili","věřit","impf"," "" Are you telling me the English did not believe you?"," "" Říkáte, že vám Angličani nevěřili?"
"listened","listen","neposlouchal","poslouchat","impf"," No one listened to you? """," Nikdo neposlouchal, co jim povídáte? """
"clear","clear","vyklidil","vyklidit","pf"," During the last days before the war he had gone for a last time to the Gilf Kebir to clear out the base camp."," V posledních dnech před válkou se naposledy vydal ke Gilf Kebíru, aby vyklidil základní tábor."
"loved","love","milovali","milovat","impf"," The husband they had both loved until they began to love each other."," Manžel, kterého oba milovali, dokud se nezamilovali oni dva do sebe."
"love","love","milovali","milovat","impf"," The husband they had both loved until they began to love each other."," Manžel, kterého oba milovali, dokud se nezamilovali oni dva do sebe."
