"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"say","say","říkat","říkat","impf"," She chattered on, encouraged by the Order ’ s instruction that members should always say what was on their minds."," Švitořila dál, přesně podle regulí řádu, ve kterých se pravilo, že členové řádu mají říkat to, co jim právě slina na jazyk přinese."
"made","make","dělá","dělat","impf"," The religious life probably made people a little odd."," Pomyslel si jen, že náboženský život dělá z lidí tak trochu podivíny."
"wished","wish","Přál","přát","impf"," He wished Mrs Young would wake up."," Přál si, aby se paní Youngová vzbudila."
"wake","wake","vzbudila","vzbudit","pf"," He wished Mrs Young would wake up."," Přál si, aby se paní Youngová vzbudila."
"sit","sit","sedl","sednout","pf"," If you sit down and think about it sensibly, you come up with some very funny ideas."," Kdyby sis totiž v klidu sedl a uvažoval o tom logicky, došel bys k mnoha velmi podivným závěrům."
"think","think","uvažoval","uvažovat","impf"," If you sit down and think about it sensibly, you come up with some very funny ideas."," Kdyby sis totiž v klidu sedl a uvažoval o tom logicky, došel bys k mnoha velmi podivným závěrům."
"come","come","došel","dojít","pf"," If you sit down and think about it sensibly, you come up with some very funny ideas."," Kdyby sis totiž v klidu sedl a uvažoval o tom logicky, došel bys k mnoha velmi podivným závěrům."
"put","put","dát","dát","pf"," Like : why make people inquisitive, and then put some forbidden fruit where they can see it with a big neon finger flashing on and off saying “ THIS IS IT! ”? ’"," Jako třeba : proč stvořit lidi zvědavé a pak jim někde hodně na očích nechat vyrůst zakázané ovoce a k němu ještě dát neonový nápis TADY JE TO! """
"remember","remember","nevzpomínám","vzpomínat","impf"," ‘ I don ’ t remember any neon. ’"," "" Na žádný neonový nápis si nějak nevzpomínám. """
"collecting","collect","Sbíral","sbírat","impf"," He had been collecting for a long time, and, like all collectors, he specialized."," Sbíral knihy už dlouho a jako každý sběratel se specializoval."
"named","name","pojmenována","pojmenovat","pf"," And he had a complete set of the Infamous Bibles, individually named from errors in typesetting."," A měl kompletní sadu skandálních biblí, z nichž každá byla pojmenována podle konkrétní chyby v textu."
"tell","tell","říci","říci","pf"," What could he tell them?"," Co jim má říci?"
"hear","hear","slyšet","slyšet","impf"," That you could hear the arteries clanging shut all across the city?"," Že jeden mohl slyšet, jak v celém středu města hučí artérie, které nestačily pumpovat krev do vztekem hnaných srdcí?"
"went","go","šlo","jít","impf"," And that then they went back and took it out on their secretaries or traffic wardens or whatever, and they took it out on other people?"," A že těch dvacet tisíc lidí šlo a vybilo si vztek na svých sekretářkách, dopravních strážnících, rodinách a kdoví na kom ještě a ti si ho zase vybili na dalších lidech?"
"gleamed","gleam","lesklo","lesknout","impf"," The front wheel gleamed in the moonlight, as perfectly round as one of the Circles of Hell."," Přední kolo se lesklo v měsíční záři stejně dokonale kulaté jako jeden ze sedmi kruhů pekla."
"stared","stare","zírala","zírat","impf"," She stared at it."," Nevěřícně na ně zírala."
"said","say","řekl","říci","pf"," ‘ Well, since that ’ s all sorted out, ’ said Crowley, ‘ perhaps it ’ d be best if we just all got on our, er."," "" Dobrá, takže když jsme to vyřídili, "" řekl Crowley, "" možná by bylo nejlepší, kdybychom se dali každý svou ... hm."
"does","do","dělá","dělat","impf"," ‘ How does she do it? ’ they would ask each other incredulously."," "" Jak to ta ženská dělá? "" ptali se jeden druhého nedůvěřivě."
"do","do","dělá","dělat","impf"," ‘ How does she do it? ’ they would ask each other incredulously."," "" Jak to ta ženská dělá? "" ptali se jeden druhého nedůvěřivě."
"ask","ask","ptali","ptát","impf"," ‘ How does she do it? ’ they would ask each other incredulously."," "" Jak to ta ženská dělá? "" ptali se jeden druhého nedůvěřivě."
"meet","meet","setkaly","setkat","pf"," And their eyes would meet, and silently say : if she was a car she ’ d be made by Ferrari, she ’ s the kind of woman you ’ d expect to see as the beautiful consort to the corrupt generalissimo of a collapsing Third World country, and she hangs around with guys like us."," Pak se jejich oči setkaly a jejich pohledy říkaly : kdyby byla autem, byla by od Ferrariho, je to typ ženy, kterou si našinec představuje jako překrásnou "" společnici "" zkorumpovaného generalissima bortícího se třetího světa, a ona se přitom zahazuje s mužskými, jako jsme my."
"say","say","říkaly","říkat","impf"," And their eyes would meet, and silently say : if she was a car she ’ d be made by Ferrari, she ’ s the kind of woman you ’ d expect to see as the beautiful consort to the corrupt generalissimo of a collapsing Third World country, and she hangs around with guys like us."," Pak se jejich oči setkaly a jejich pohledy říkaly : kdyby byla autem, byla by od Ferrariho, je to typ ženy, kterou si našinec představuje jako překrásnou "" společnici "" zkorumpovaného generalissima bortícího se třetího světa, a ona se přitom zahazuje s mužskými, jako jsme my."
"tell","tell","poznat","poznat","pf"," They wouldn ’ t have been able to tell that it was a Bentley."," Nedokázali by už poznat, ani že to byl nějaký bentley."
"travelled","travel","jelo","jet","impf"," It travelled in its own ball of flame, like a space capsule making a particularly difficult re-entry."," Auto jelo zahaleno v ohnivé kouli jako kosmický modul, který prodělává neočekávaně těžký návrat atmosférou."
"mumbled","mumble","zamumlal","zamumlat","pf"," ‘ Pardon, ladies, ’ he mumbled."," "" Pardon, mé dámy, "" zamumlal."
"found","find","zjistila","zjistit","pf"," Madame Tracy had found, through years of Drawing Aside the Veil and Exploring the Mysteries, that two minutes was the right length of time to sit in silence, waiting for the Spirit World to make contact."," Madam Tracy zjistila během těch let, kdy Poodhalovala závoj a Zkoumala tajemno, že dvě minuty ticha, během nichž zúčastnění tiše a nehybně sedí a čekají na kontakt se spirituálním světem, je optimální doba pro zdárný začátek seance."
"sit","sit","sedí","sedět","impf"," Madame Tracy had found, through years of Drawing Aside the Veil and Exploring the Mysteries, that two minutes was the right length of time to sit in silence, waiting for the Spirit World to make contact."," Madam Tracy zjistila během těch let, kdy Poodhalovala závoj a Zkoumala tajemno, že dvě minuty ticha, během nichž zúčastnění tiše a nehybně sedí a čekají na kontakt se spirituálním světem, je optimální doba pro zdárný začátek seance."
"waiting","wait","čekají","čekat","impf"," Madame Tracy had found, through years of Drawing Aside the Veil and Exploring the Mysteries, that two minutes was the right length of time to sit in silence, waiting for the Spirit World to make contact."," Madam Tracy zjistila během těch let, kdy Poodhalovala závoj a Zkoumala tajemno, že dvě minuty ticha, během nichž zúčastnění tiše a nehybně sedí a čekají na kontakt se spirituálním světem, je optimální doba pro zdárný začátek seance."
"seen","see","viděl","vidět","impf"," He ’ d seen The Devil Rides Out fifteen times, sixteen times if you included the time he ’ d been thrown out of the cinema for shouting his unflattering opinions of amateur witchfinder Christopher Lee."," Film Ďábel vyjíždí viděl patnáctkrát, vlastně šestnáctkrát, budeme - li počítat i ono představení, kdy ho vyhodili z kina, protože vykřikoval pohrdavé připomínky na trapně amatérského lovce čarodějnic Christophera Leeho."
"thrown","throw","vyhodili","vyhodit","pf"," He ’ d seen The Devil Rides Out fifteen times, sixteen times if you included the time he ’ d been thrown out of the cinema for shouting his unflattering opinions of amateur witchfinder Christopher Lee."," Film Ďábel vyjíždí viděl patnáctkrát, vlastně šestnáctkrát, budeme - li počítat i ono představení, kdy ho vyhodili z kina, protože vykřikoval pohrdavé připomínky na trapně amatérského lovce čarodějnic Christophera Leeho."
"shouting","shout","vykřikoval","vykřikovat","impf"," He ’ d seen The Devil Rides Out fifteen times, sixteen times if you included the time he ’ d been thrown out of the cinema for shouting his unflattering opinions of amateur witchfinder Christopher Lee."," Film Ďábel vyjíždí viděl patnáctkrát, vlastně šestnáctkrát, budeme - li počítat i ono představení, kdy ho vyhodili z kina, protože vykřikoval pohrdavé připomínky na trapně amatérského lovce čarodějnic Christophera Leeho."
"shouted","shout","vykřikl","vykřiknout","pf"," ‘ I ’ ll have ye, ye evil bastard! ’ he shouted, advancing like a moth-eaten avenging angel."," "" Ale já tě dostanu, ty mizernej bastarde! "" vykřikl a postupoval kupředu jako moly ohlodaný anděl pomsty."
"advancing","advance","postupoval","postupovat","impf"," ‘ I ’ ll have ye, ye evil bastard! ’ he shouted, advancing like a moth-eaten avenging angel."," "" Ale já tě dostanu, ty mizernej bastarde! "" vykřikl a postupoval kupředu jako moly ohlodaný anděl pomsty."
"come","come","udělat","udělat","pf"," His time had come."," Musela s tím něco udělat."
"find","find","zjistil","zjistit","pf"," The struggling legal clerk who had accepted delivery had been surprised to find, tied to the top of the box with twine, a letter addressed to himself."," Chudičký úředník, který převzal zásilku, byl neobyčejně překvapený, když zjistil, že k balíčku je kouskem provázku připevněn dopis s jeho jménem a adresou."
"contained","contain","obsahoval","obsahovat","impf"," It had contained certain instructions and five interesting facts about the history of the next ten years which, if put to good use by a keen young man, would ensure enough finance to pursue a very successful legal career."," Dopis obsahoval jisté pokyny a popis pěti velmi zajímavých historických událostí, které se měly odehrát v nejbližších deseti letech a které, pokud by je využil mladý schopný člověk, by vynesly dost finančních prostředků na to, aby mu zajistily velmi úspěšnou a legální kariéru."
