"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"sat","sit","usedl","usednout","pf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"began","begin","začaly","začít","pf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"thought","think","přemýšlel","přemýšlet","impf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"sat","sit","sedě","sedět","impf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"made","make","činilo","činit","impf"," There was no tune and no words, but the thumping made him happy."," Nebylo tu melodie ani slov, ale bubnováni činilo jej šťastným."
"coming","come","Nepřijdu","přijít","pf"," I 'm not coming over. """," Nepřijdu tam. """
"said","say","řekli","říci","pf"," The bullocks and the camel said, half aloud :"," Voli a velbloud řekli si polohlasem :"
"went","go","pokračovali","pokračovat","impf"," And the bullocks went on :"," A voli pokračovali :"
"heard","hear","slyšel","slyšet","impf"," "" We are sorry that you heard, but it is true."," "" Mrzí nás, že jsi slyšel, ale je to pravda."
"fire","fire","střílejí","střílet","impf"," Two Tails, why are you afraid of the guns when they fire? """," Dvouohonáči, proč se bojíš děl, když střílejí? """
"think","think","pomyslil","pomyslit","pf"," Rikki-tikki knew he was a young mongoose, and it made him all the more pleased to think that he had managed to escape a blow from behind."," Riki - Tiki věděl, že je mladým mungem, a těšilo ho tedy tím více, pomyslil - li, že se mu podařilo odolati útoku ze zadu."
"managed","manage","podařilo","podařit","pf"," Rikki-tikki knew he was a young mongoose, and it made him all the more pleased to think that he had managed to escape a blow from behind."," Riki - Tiki věděl, že je mladým mungem, a těšilo ho tedy tím více, pomyslil - li, že se mu podařilo odolati útoku ze zadu."
"came","come","přiběhl","přiběhnout","pf"," It gave him confidence in himself, and when Teddy came running down the path, Rikki-tikki was ready to be petted."," Dodalo mu to sebedůvěry, a když k němu přiběhl Teddy po stezičce, byl Riki - Tiki zcela ochoten k mazlení."
"said","say","řekl","říci","pf"," But just as Teddy was stooping, something flinched a little in the dust, and a tiny voice said :"," Avšak právě, když byl Teddy sehnut, zavrtělo sebou něco v prachu a jemný hlásek řekl :"
"Sitting","sit","sedě","sedět","impf"," Sitting at the doorways of a day of long ago, Gave to each his portion, food and toil and fate,"," kdysi dávno, u bran sedě, světů pán, ještě mlád, na krmi i na osudu každému dal díl,"
"come","come","půjdu","jít","impf"," Son, I 'm proud of you, and what 's more, I 'll come with you to your island - if there is such a place. """," Synu, jsem na tebe hrdý, a - půjdu s tebou na tvůj ostrov, je - li někde jaký. """
"Hear","hear","Slyšíte","slyšet","impf"," "" Hear you, fat pigs of the sea!"," "" Slyšíte, tlustí vepři mořští?"
"comes","come","jde","jít","impf"," Who comes with me to the Sea Cow 's tunnel?"," Kdo jde se mnou ke sluji Mořských Krav?"
"teach","teach","učit","učit","impf"," Answer, or I shall teach you again, "" roared Kotick."," Odpovězte, nebo vás začnu učit znovu, "" řval Kotík."
"roared","roar","řval","řvát","impf"," Answer, or I shall teach you again, "" roared Kotick."," Odpovězte, nebo vás začnu učit znovu, "" řval Kotík."
"come","come","Půjdeme","jít","impf"," "" We will come, "" said thousands of tired voices."," "" Půjdeme, "" pravilo tisíc znavených hlasů."
"said","say","pravilo","pravit","pf"," "" We will come, "" said thousands of tired voices."," "" Půjdeme, "" pravilo tisíc znavených hlasů."
"suppose","suppose","myslíte","myslet","impf"," "" Do you suppose I 'm looked after by a black bullock-driver? """," "" Což myslíte, že se o mne stará nějaký černý honec volů? """
"said","say","řekli","říci","pf"," Ugh! "" said the bullocks."," Úf! "" řekli voli."
"jammed","jam","uvázli","uváznout","pf"," They plunged forward in the mud, and managed somehow to run their yoke on the pole of an ammunition-wagon, where it jammed."," Vrhli se ku předu blátem a nějak narazili na voj vozu se střelivem, kde uvázli za jho."
"said","say","řekl","říci","pf"," "" Now you have done it, "" said Billy calmly."," "" No, teď jste to dodělali! "" řekl Billy klidně."
"hung","hang","pověšeni","pověsit","pf"," You 're hung up till daylight."," Jste pěkně pověšeni až do bílého dne."
"dance","dance","tančiti","tančit","impf"," how to dance on the top of the waves when the lightning was racing all over the sky, and wave his flipper politely to the Stumpy-tailed Albatross and the Man-of-war Hawk as they went down the wind;"," učila jej tančiti na hřebenech vln, když blesky křižovaly po celém nebi a kynouti ploutví zdvořile krátkoocasému albatrosovi a sokolu bojovnému, když letěli po větru."
"obey","obey","posloucháme","poslouchat","impf"," "" for there we obey only our own wills. """," "" neboť tam posloucháme každý jen svou vlastní vůli. """
"said","say","odpověděl","odpovědět","pf"," "" And for that reason, "" said the native officer, twirling his mustache, "" your Amir whom you do not obey must come here and take orders from our Viceroy. """," "" A z toho důvodu, "" odpověděl domorodý důstojník, kroutě si kníry. "" váš emir, jehož neposloucháte, musí přijíti sem a přijímati rozkazy od našeho místokrále. """
"twirling","twirl","kroutě","kroutit","impf"," "" And for that reason, "" said the native officer, twirling his mustache, "" your Amir whom you do not obey must come here and take orders from our Viceroy. """," "" A z toho důvodu, "" odpověděl domorodý důstojník, kroutě si kníry. "" váš emir, jehož neposloucháte, musí přijíti sem a přijímati rozkazy od našeho místokrále. """
"obey","obey","neposloucháte","poslouchat","impf"," "" And for that reason, "" said the native officer, twirling his mustache, "" your Amir whom you do not obey must come here and take orders from our Viceroy. """," "" A z toho důvodu, "" odpověděl domorodý důstojník, kroutě si kníry. "" váš emir, jehož neposloucháte, musí přijíti sem a přijímati rozkazy od našeho místokrále. """
"come","come","přijíti","přijít","pf"," "" And for that reason, "" said the native officer, twirling his mustache, "" your Amir whom you do not obey must come here and take orders from our Viceroy. """," "" A z toho důvodu, "" odpověděl domorodý důstojník, kroutě si kníry. "" váš emir, jehož neposloucháte, musí přijíti sem a přijímati rozkazy od našeho místokrále. """
"take","take","přijímati","přijímat","impf"," "" And for that reason, "" said the native officer, twirling his mustache, "" your Amir whom you do not obey must come here and take orders from our Viceroy. """," "" A z toho důvodu, "" odpověděl domorodý důstojník, kroutě si kníry. "" váš emir, jehož neposloucháte, musí přijíti sem a přijímati rozkazy od našeho místokrále. """
"played","play","hrál","hrát","impf"," for he had been born under Kala Nag 's shadow, had played with the end of his trunk before he could walk, had taken him down to water as soon as he could walk, and Kala Nag would no more have dreamed of disobeying his shrill little orders than he would have dreamed of killing him on that day when Big Toomai carried the little brown baby under Kala Nag 's tusks, and told him to salute his master that was to be."," Narodil se v stínu Kala Nagově, hrál si s koncem jeho chobotu, nežli se naučil běhat, a jakmile se tomu naučil, vodil jej k vodě, a Kala Nagovi nenapadlo ani ve snu, býti neposlušným pronikavého jeho rozkazování, tak jako mu nenapadlo ublížit mu v onen den, kdy Velký Tumé přinesl malé hnědé děťátko pod jeho kly a řekl mu, aby pozdravil svého budoucího pána."
"walk","walk","vodil","vodit","impf"," for he had been born under Kala Nag 's shadow, had played with the end of his trunk before he could walk, had taken him down to water as soon as he could walk, and Kala Nag would no more have dreamed of disobeying his shrill little orders than he would have dreamed of killing him on that day when Big Toomai carried the little brown baby under Kala Nag 's tusks, and told him to salute his master that was to be."," Narodil se v stínu Kala Nagově, hrál si s koncem jeho chobotu, nežli se naučil běhat, a jakmile se tomu naučil, vodil jej k vodě, a Kala Nagovi nenapadlo ani ve snu, býti neposlušným pronikavého jeho rozkazování, tak jako mu nenapadlo ublížit mu v onen den, kdy Velký Tumé přinesl malé hnědé děťátko pod jeho kly a řekl mu, aby pozdravil svého budoucího pána."
