"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"wish","wish","přeju","přát","impf"," "" You know, "" said Arthur, "" it 's at times like this, when I 'm trapped in a Vogon airlock with a man from Betelgeuse, and about to die of asphyxication in deep space that I really wish I 'd listened to what my mother told me when I was young. """," "" Víš, "" svěřoval se Arthur, "" v takovýchhle chvílích, jako třeba když jsem uvězněný ve vogonské přechodové komoře s chlapem z Betelgeuze a čeká mě smrt zadušením v hlubinách kosmu, si vždycky přeju, abych byl poslouchal, co mi maminka říkala, když jsem byl malý. """
"listened","listen","poslouchal","poslouchat","impf"," "" You know, "" said Arthur, "" it 's at times like this, when I 'm trapped in a Vogon airlock with a man from Betelgeuse, and about to die of asphyxication in deep space that I really wish I 'd listened to what my mother told me when I was young. """," "" Víš, "" svěřoval se Arthur, "" v takovýchhle chvílích, jako třeba když jsem uvězněný ve vogonské přechodové komoře s chlapem z Betelgeuze a čeká mě smrt zadušením v hlubinách kosmu, si vždycky přeju, abych byl poslouchal, co mi maminka říkala, když jsem byl malý. """
"said","say","říkala","říkat","impf"," "" You know, "" said Arthur, "" it 's at times like this, when I 'm trapped in a Vogon airlock with a man from Betelgeuse, and about to die of asphyxication in deep space that I really wish I 'd listened to what my mother told me when I was young. """," "" Víš, "" svěřoval se Arthur, "" v takovýchhle chvílích, jako třeba když jsem uvězněný ve vogonské přechodové komoře s chlapem z Betelgeuze a čeká mě smrt zadušením v hlubinách kosmu, si vždycky přeju, abych byl poslouchal, co mi maminka říkala, když jsem byl malý. """
"told","tell","říkala","říkat","impf"," "" You know, "" said Arthur, "" it 's at times like this, when I 'm trapped in a Vogon airlock with a man from Betelgeuse, and about to die of asphyxication in deep space that I really wish I 'd listened to what my mother told me when I was young. """," "" Víš, "" svěřoval se Arthur, "" v takovýchhle chvílích, jako třeba když jsem uvězněný ve vogonské přechodové komoře s chlapem z Betelgeuze a čeká mě smrt zadušením v hlubinách kosmu, si vždycky přeju, abych byl poslouchal, co mi maminka říkala, když jsem byl malý. """
"watched","watch","pozoroval","pozorovat","impf"," He threw himself backwards into a huge leathery bat-shaped seat and watched them."," Zprudka se opřel o opěradlo obrovitého koženého sedadla ve tvaru netopýra a pozoroval je."
"did","do","předvedl","předvést","pf"," He did the smile again."," Znovu předvedl úsměv."
"taking","take","vzít","vzít","pf"," And if it comes to a choice between spending yet another ten million years finding that out, and on the other hand just taking the money and running, then I for one could do with the exercise, "" said Frankie."," Takže když je potom na vybranou - buď strávit dalších deset miliónů let zjišťováním, jestli to tak skutečně je, anebo vyinkasovat peníze a vzít nohy na ramena, tak potom, aspoň pokud jde o mě, rozhodně bych dal přednost zdravému pohybu, "" pronesl Fanouš."
"do","do","vzít","vzít","pf"," And if it comes to a choice between spending yet another ten million years finding that out, and on the other hand just taking the money and running, then I for one could do with the exercise, "" said Frankie."," Takže když je potom na vybranou - buď strávit dalších deset miliónů let zjišťováním, jestli to tak skutečně je, anebo vyinkasovat peníze a vzít nohy na ramena, tak potom, aspoň pokud jde o mě, rozhodně bych dal přednost zdravému pohybu, "" pronesl Fanouš."
"comes","come","jde","jít","impf"," And if it comes to a choice between spending yet another ten million years finding that out, and on the other hand just taking the money and running, then I for one could do with the exercise, "" said Frankie."," Takže když je potom na vybranou - buď strávit dalších deset miliónů let zjišťováním, jestli to tak skutečně je, anebo vyinkasovat peníze a vzít nohy na ramena, tak potom, aspoň pokud jde o mě, rozhodně bych dal přednost zdravému pohybu, "" pronesl Fanouš."
"do","do","jde","jít","impf"," And if it comes to a choice between spending yet another ten million years finding that out, and on the other hand just taking the money and running, then I for one could do with the exercise, "" said Frankie."," Takže když je potom na vybranou - buď strávit dalších deset miliónů let zjišťováním, jestli to tak skutečně je, anebo vyinkasovat peníze a vzít nohy na ramena, tak potom, aspoň pokud jde o mě, rozhodně bych dal přednost zdravému pohybu, "" pronesl Fanouš."
"said","say","pronesl","pronést","pf"," And if it comes to a choice between spending yet another ten million years finding that out, and on the other hand just taking the money and running, then I for one could do with the exercise, "" said Frankie."," Takže když je potom na vybranou - buď strávit dalších deset miliónů let zjišťováním, jestli to tak skutečně je, anebo vyinkasovat peníze a vzít nohy na ramena, tak potom, aspoň pokud jde o mě, rozhodně bych dal přednost zdravému pohybu, "" pronesl Fanouš."
"get","get","dostanete","dostat","pf"," "" What do you get if you multiply six by seven? """," "" Co dostanete, když vynásobíte šest sedmi? """
"sound","sound","zní","znít","impf"," "" Aha, now that does sound promising! """," "" To zní docela slibně! """
"guess","guess","hádat","hádat","impf"," "" Why? I can only guess."," "" Proč můžu zatím jen hádat."
"burnt","burn","vypálil","vypálit","pf"," "" Because they left their initials burnt into the cauterized synapses."," "" Protože vypálil své iniciály do zničených synapsí."
"cauterized","cauterize","vypálil","vypálit","pf"," "" Because they left their initials burnt into the cauterized synapses."," "" Protože vypálil své iniciály do zničených synapsí."
"see","see","viděl","vidět","impf"," They left them there for me to see. """," Schválně, abych je viděl. """
"stared","stare","zíral","zírat","impf"," Ford stared at him in horror and felt his skin begin to crawl."," Ford s hrůzou zíral na Zafoda a mráz mu běhal po zádech."
"Thank","thank","Děkujeme","děkovat","impf"," "" Thank you Slartibartfast, "" said Benji firmly."," "" Děkujeme ti, Slartibartfaste, "" řekl Béda pevně."
"said","say","řekl","říci","pf"," "" Thank you Slartibartfast, "" said Benji firmly."," "" Děkujeme ti, Slartibartfaste, "" řekl Béda pevně."
"turned","turn","otočil","otočit","pf"," With a brief nod to the rest of the company he turned and walked sadly out of the room."," Pokývl ostatním přítomným, otočil se a smutně odkráčel z místnosti."
"thought","think","Myslel","myslet","impf"," "" I thought, "" he said, "" that if the world was going to end we were meant to lie down or put a paper bag over our head or something. """," "" Myslel jsem, že až bude konec světa, máme si lehnout na zem nebo si dát papírovej pytlík na hlavu nebo tak něco. """
"meant","mean","Myslel","myslet","impf"," "" I thought, "" he said, "" that if the world was going to end we were meant to lie down or put a paper bag over our head or something. """," "" Myslel jsem, že až bude konec světa, máme si lehnout na zem nebo si dát papírovej pytlík na hlavu nebo tak něco. """
"thought","think","máme","mít","impf"," "" I thought, "" he said, "" that if the world was going to end we were meant to lie down or put a paper bag over our head or something. """," "" Myslel jsem, že až bude konec světa, máme si lehnout na zem nebo si dát papírovej pytlík na hlavu nebo tak něco. """
"put","put","dát","dát","pf"," "" I thought, "" he said, "" that if the world was going to end we were meant to lie down or put a paper bag over our head or something. """," "" Myslel jsem, že až bude konec světa, máme si lehnout na zem nebo si dát papírovej pytlík na hlavu nebo tak něco. """
"told","tell","říkali","říkat","impf"," "" That 's what they told us in the army, "" said the man, and his eyes began the long trek back down to his whisky."," "" Aspoň nám to říkali na vojně, "" dodal muž a jeho oči se vydaly na dlouhou zpáteční pouť k panáku whisky."
"said","say","říkali","říkat","impf"," "" That 's what they told us in the army, "" said the man, and his eyes began the long trek back down to his whisky."," "" Aspoň nám to říkali na vojně, "" dodal muž a jeho oči se vydaly na dlouhou zpáteční pouť k panáku whisky."
"stick","stick","strčíte","strčit","pf"," The practical upshot of all this is that if you stick a Babel fish in your ear you can instantly understand anything said to you in any form of language."," Praktický důsledek toho všeho je, že když si strčíte babylónskou rybku do ucha, okamžitě rozumíte čemukoliv, ať je to řečeno jakoukoli formou jazyka."
"understand","understand","rozumíte","rozumět","impf"," The practical upshot of all this is that if you stick a Babel fish in your ear you can instantly understand anything said to you in any form of language."," Praktický důsledek toho všeho je, že když si strčíte babylónskou rybku do ucha, okamžitě rozumíte čemukoliv, ať je to řečeno jakoukoli formou jazyka."
"said","say","řečeno","říci","pf"," The practical upshot of all this is that if you stick a Babel fish in your ear you can instantly understand anything said to you in any form of language."," Praktický důsledek toho všeho je, že když si strčíte babylónskou rybku do ucha, okamžitě rozumíte čemukoliv, ať je to řečeno jakoukoli formou jazyka."
"running","run","řídili","řídit","impf"," We have, as you know, been more or less running your planet for the last ten million years in order to find this wretched thing called the Ultimate Question. """," Posledních deset miliónů let jsme, jak ses už jistě doslechl, plusmínus řídili vaši planetu, jen abychom nalezli tu zatracenou Základní otázku. """
"doing","do","dělali","dělat","impf"," "" No, "" said Arthur, "" I mean why have you been doing it? """," "" Ale já se ptal proč jste to všechno dělali? """
"landed","land","přistála","přistát","pf"," "" Hostile ship has landed on planet."," "" Na planetě přistála nepřátelská loď."
"calculate","calculate","spočítat","spočítat","pf"," "" And are you not, "" said Fook leaning anxiously forward, "" a greater analyst than the Googleplex Star Thinker in the Seventh Galaxy of Light and Ingenuity which can calculate the trajectory of every single dust particle throughout a five-week Dangrabad Beta sand blizzard? """," "" A což nejsi lepší analyzátor, "" naléhal zase Fuk, "" než Guglplexská hvězdná myslivna ze Sedmé galaxie světla a geniality, která dokáže spočítat dráhu každé jednotlivé částečky prachu v průběhu pětitýdenní písečné bouře na Dangrabádu Beta? """
