"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"hear","hear","slyšíte","slyšet","impf"," I could hardly get here ... can ’ t you hear the row out in the street ...? ”"," Nemohl jsem se sem vůbec dostat ... slyšíte ten kravál z ulice ...? """
"ordered","order","přikázal","přikázat","pf"," Somebody had ordered them to climb to the top, but he could not remember what he looked like."," Někdo přikázal, že musí být nahoře, ale na jeho tvář si už nevzpomínal."
"remember","remember","nevzpomínal","vzpomínat","impf"," Somebody had ordered them to climb to the top, but he could not remember what he looked like."," Někdo přikázal, že musí být nahoře, ale na jeho tvář si už nevzpomínal."
"showed","show","Ukázala","ukázat","pf"," She showed him her hands with the palms bleeding from scratches, and sobbed ceaselessly."," Ukázala mu ruce s krvavými škrábanci vprostřed dlaní a usedavě plakala."
"comforted","comfort","Utěšoval","utěšovat","impf"," He comforted her and tried to persuade her to go on."," Utěšoval ji, přemlouval k další cestě."
"hear","hear","neslyšel","slyšet","impf"," But he could not hear his own voice."," Ale neslyšel se."
"dragged","drag","Vlekl","vléci","impf"," He dragged her along, pulling her over the sharp stones until his lungs were bursting with the inhuman effort he had to make."," Vlekl ji, táhl za sebou po hrotitých kamenech a plíce mu praskaly nelidským vypětím."
"pulling","pull","Vlekl","vléci","impf"," He dragged her along, pulling her over the sharp stones until his lungs were bursting with the inhuman effort he had to make."," Vlekl ji, táhl za sebou po hrotitých kamenech a plíce mu praskaly nelidským vypětím."
"dragged","drag","táhl","táhnout","impf"," He dragged her along, pulling her over the sharp stones until his lungs were bursting with the inhuman effort he had to make."," Vlekl ji, táhl za sebou po hrotitých kamenech a plíce mu praskaly nelidským vypětím."
"pulling","pull","táhl","táhnout","impf"," He dragged her along, pulling her over the sharp stones until his lungs were bursting with the inhuman effort he had to make."," Vlekl ji, táhl za sebou po hrotitých kamenech a plíce mu praskaly nelidským vypětím."
"bursting","burst","praskaly","praskat","impf"," He dragged her along, pulling her over the sharp stones until his lungs were bursting with the inhuman effort he had to make."," Vlekl ji, táhl za sebou po hrotitých kamenech a plíce mu praskaly nelidským vypětím."
"waved","wave","zamávala","zamávat","pf"," Then she waved her hand towards the sky."," A zamávala rukou na oblohu :"
"see","see","Vidíš","vidět","impf"," Look - did you see how it twinkled at me?"," Vidíš - všiml sis, teď zamrkala."
"thought","think","pomyslel","pomyslet","pf"," What a chatterbox she is, he thought to himself."," Povídavá ženská, pomyslel si v duchu."
"see","see","Vidí","vidět","impf"," She could see ... the darkness of the passage was retreating, disappearing, and there ... she could not believe her eyes ... there ... can you see it?"," Vidí ... tma průjezdu ustupuje, končí a tam ... nevěří svým očím ... tam ... vidíš?"
"see","see","Vidí","vidět","impf"," She could see ... the darkness of the passage was retreating, disappearing, and there ... she could not believe her eyes ... there ... can you see it?"," Vidí ... tma průjezdu ustupuje, končí a tam ... nevěří svým očím ... tam ... vidíš?"
"retreating","retreat","ustupuje","ustupovat","impf"," She could see ... the darkness of the passage was retreating, disappearing, and there ... she could not believe her eyes ... there ... can you see it?"," Vidí ... tma průjezdu ustupuje, končí a tam ... nevěří svým očím ... tam ... vidíš?"
"believe","believe","nevěří","věřit","impf"," She could see ... the darkness of the passage was retreating, disappearing, and there ... she could not believe her eyes ... there ... can you see it?"," Vidí ... tma průjezdu ustupuje, končí a tam ... nevěří svým očím ... tam ... vidíš?"
"see","see","vidíš","vidět","impf"," She could see ... the darkness of the passage was retreating, disappearing, and there ... she could not believe her eyes ... there ... can you see it?"," Vidí ... tma průjezdu ustupuje, končí a tam ... nevěří svým očím ... tam ... vidíš?"
"see","see","vidíš","vidět","impf"," She could see ... the darkness of the passage was retreating, disappearing, and there ... she could not believe her eyes ... there ... can you see it?"," Vidí ... tma průjezdu ustupuje, končí a tam ... nevěří svým očím ... tam ... vidíš?"
"fly","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"fly","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"flying","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"fly","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"fly","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"flying","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"fly","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"fly","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"flying","fly","letí","letět","impf"," There was something white gleaming behind the bushes ... it was their own garden, yes, of course it was - their garden ... a starched white coat ... she would run towards it and fly, fly through the clear air, wonderfully light and weightless, flying towards that white smell of she would call out to him, disinfectant ..."," Cosi tam probělává mezi keři ... ale vždyť je to zahrada, jejich zahrada, ano, nemýlí se ... ten bílý, naškrobený plášť ... rozběhne se za ním a letí ... letí svěžím vzduchem tak nádherně, nezemsky lehká, letí do té bílé vůně desinfekce ..."
"moves","move","pohne","pohnout","pf"," She can ’ t go on living for ever with nothing more than the feverish expectation of the moment when the door-knob slowly moves and he comes in, a light-hearted smile on his lips and in his eyes an uneasiness that belies his calm."," Přece nelze žít jen a jen horečným čekáním na okamžik, kdy se opatrně pohne klika a přijde on, na tváři lehkomyslný úsměv a v očích neklid, který ho usvědčuje z přetvářky."
