"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"sat","sit","seděla","sedět","impf"," Once, when he was a boy, there was a total eclipse of the sun in the Midwest, and a girl in one of the poky towns across the river from St. Jude had sat outside and, in defiance of myriad warnings, studied the dwindling crescent of the sun until her retinas combusted."," Když byl ještě docela malý kluk, nastalo jednou na Středozápadě zatmění Slunce a jakási holčička v jednom z nudných městeček rozlezlých na druhém břehu seděla venku a navzdory záplavám varování sledovala zmenšující se srpek slunce tak dlouho, až jí sluneční světlo v obou očích spálilo sítnici."
"hurt","hurt","nebolelo","bolet","impf"," "" It did n't hurt at all, "" the blinded girl had told the St. Judc Chronicle."," "" Vůbec to nebolelo, "" řekla slepá dívka listu Chronicle, který vycházel ve Svatém Judovi."
"told","tell","řekla","říci","pf"," "" It did n't hurt at all, "" the blinded girl had told the St. Judc Chronicle."," "" Vůbec to nebolelo, "" řekla slepá dívka listu Chronicle, který vycházel ve Svatém Judovi."
"felt","feel","necítila","cítit","impf"," "" It felt like nothing. """," "" Vůbec nic jsem necítila. """
"gazing","gaze","zíral","zírat","impf"," "" Well! "" Alfred said again, gazing at him in wonder."," "" No ne! "" zvolal Alfred ještě jednou a nadšeně zíral na syna."
"leave","leave","odjet","odjet","pf"," "" Gary has to leave at eleven, "" Enid said, "" but we can all have breakfast together."," "" Gary musí odjet v jedenáct, "" ozvala se Enid, "" ale máme dost času, abychom si společně mohli dát snídani."
"wanted","want","přála","přát","impf"," Oh, this is just what I wanted, "" she said, hurrying to the kitchen."," Ach bože, přesně takhle jsem si to přála, "" vydechla a odběhla do kuchyně."
"think","think","myslíš","myslet","impf"," "" You really think you 're going to go to Philadelphia? "" Gary said."," "" Ty si vážně myslíš, že vyrazíte do Filadelfie? "" dorážel Gary dál na matku."
"think","think","Myslíš","myslet","impf"," "" You think Corecktall 's going to fix all this? """," "" Myslíš si, že to Korektal celé vyřeší? """
"said","say","odpověděla","odpovědět","pf"," "" No, Gary, I do n't, "" Enid said."," "" Ne, Gary, to si nemyslím, "" odpověděla Enid."
"hear","hear","neslyšel","slyšet","impf"," Gary did n't seem to hear her answer."," Gary působil dojmem, že její odpověď vůbec neslyšel."
"do","do","udělej","udělat","pf"," "" Dad, here, do me a favor, "" he said."," "" Tati, udělej mi laskavost, "" obrátil se na otce."
"Put","put","Polož","položit","pf"," "" Put your right hand on your left shoulder. """," "" Polož si pravou ruku na levé rameno. """
"squeezed","squeeze","sevřela","sevřít","pf"," Robin made a fist around Denise 's index finger and squeezed it hard, in spasms."," Robin sevřela pěst kolem Denisina ukazováčku a pevně, křečovitě prst sevřela."
"squeezed","squeeze","sevřela","sevřít","pf"," Robin made a fist around Denise 's index finger and squeezed it hard, in spasms."," Robin sevřela pěst kolem Denisina ukazováčku a pevně, křečovitě prst sevřela."
"doing","do","provádíš","provádět","impf"," Are you aware of what you 're doing to my finger?"," Uvědomuješ si, co právě teď provádíš s mým prstem?"
"denounced","denounce","odsoudili","odsoudit","pf"," Critics of the mayor alternately denounced the "" sellout "" and complained that W -- was donating its slow and crash-prone Version 4.0 Desktops to the schools and its nearly useless Version 3.2 technology to the Community Computing Centers."," Starostovi kritikové rázem odsoudili takový "" výprodej "" a napadli W - - - -, že dodala do škol pomalou a beznadějně nespolehlivou verzi Desktopů 4. 0 a do Obecních počítačových center téměř nepoužitelnou technologii 3. 2."
"encountered","encounter","narazí","narazit","pf"," You encountered a misery near the end of the day and it took a while to gauge its full extent."," Když člověk narazí na nějakou mizérii až téměř na sklonku dne, chvíli mu trvá, než se s tím patřičně vyrovná."
"took","take","trvá","trvat","impf"," You encountered a misery near the end of the day and it took a while to gauge its full extent."," Když člověk narazí na nějakou mizérii až téměř na sklonku dne, chvíli mu trvá, než se s tím patřičně vyrovná."
"raised","raise","zvedl","zvednout","pf"," Chip had crossed his arms defensively and raised one hand to pull on the wrought-iron rivet in his ear."," Chip složil v obranném gestu paže na prsou a pak zvedl jednu ruku k uchu, aby se zatahal za náušnicí vyrobenou z roztepaného nýtu."
"left","leave","nechala","nechat","pf"," She inventoried oils and cheeses and flours and spices, drew up meticulous order sheets, left twenty voice-mail messages in a wry and articulate and civilized voice, did her e-mail chores, fried herself a kidney on the Garland, chased it with a single shot of grappa, and called a cab at midnight."," Sepisovala oleje, sýry, mouky a koření, pak sestavila pečlivě promyšlené jídelní lístky, nechala porůznu dvacet vzkazů nahraných na záznamník mírně ironickým, jasným a civilizovaným hlasem, vyřídila veškerou e - mailovou poštu, osmahla si ledvinky s bobkovým listem, zapila je jedním pořádným lokem grappy a o půlnoci si zavolala taxík."
"called","call","zavolala","zavolat","pf"," She inventoried oils and cheeses and flours and spices, drew up meticulous order sheets, left twenty voice-mail messages in a wry and articulate and civilized voice, did her e-mail chores, fried herself a kidney on the Garland, chased it with a single shot of grappa, and called a cab at midnight."," Sepisovala oleje, sýry, mouky a koření, pak sestavila pečlivě promyšlené jídelní lístky, nechala porůznu dvacet vzkazů nahraných na záznamník mírně ironickým, jasným a civilizovaným hlasem, vyřídila veškerou e - mailovou poštu, osmahla si ledvinky s bobkovým listem, zapila je jedním pořádným lokem grappy a o půlnoci si zavolala taxík."
"showed","show","ukázala","ukázat","pf"," Robin showed up in the kitchen unannounced the next morning."," Následujícího rána se v kuchyni bez ohlášení ukázala Robin."
"wearing","wear","Měla","mít","impf"," She was wearing a big white shirt that appeared to have been Brian 's."," Měla na sobě velkou bílou košili, která působila dojmem, že patří Brianovi."
"said","say","odpověděl","odpovědět","pf"," "" Forty-six at present, "" Per Nygren said."," "" V tuhle chvíli čtyřicet šest, "" odpověděl Per."
"say","say","řeknu","říci","pf"," And I say if he wants to sit in that chair and sleep his life away, that 's just fine."," A jedno ti řeknu - jestli v tom křesle hodlá prospat zbytek života, mně to vadit nebude."
"losing","lose","ztrácí","ztrácet","impf"," But first let 's yank that chair out of a three-floor house that 's falling apart and losing value."," Ale nejdřív pojďme křeslo vytáhnout z toho dvoupatrového domu, který se rozpadá a ztrácí na ceně."
"Do","do","Udělej","udělat","pf"," Do me a favor and call Dr. Pierce. """," Udělej mi něco kvůli - zajdi za doktorem Piercem. """
"Admit","admit","Přiznej","přiznat","pf"," "" Admit that you 're lying, and I 'll talk about anything you want."," "" Přiznej, že jsi lhala, a já se s tebou budu bavit úplně o všem."
"lying","lie","lhala","lhát","impf"," "" Admit that you 're lying, and I 'll talk about anything you want."," "" Přiznej, že jsi lhala, a já se s tebou budu bavit úplně o všem."
"admit","admit","nepřiznáš","přiznat","pf"," But nothing 's going to change until you admit that. """," Ale dokud to nepřiznáš, budeme na tom pořád stejně. """
"sat","sit","posadil","posadit","pf"," Dr. Hibbard nodded and sat up straight, rolled open a deep drawer in the console behind him, and withdrew a handful of rattling plastic-and-foil packages."," Doktor Hibbard pokýval hlavou, posadil se zpříma, vytáhl hlubokou zásuvku ve skříni za sebou a vzal z ní hrst chrastících umělohmotných plochých balíčků."
"withdrew","withdraw","vytáhl","vytáhnout","pf"," Dr. Hibbard nodded and sat up straight, rolled open a deep drawer in the console behind him, and withdrew a handful of rattling plastic-and-foil packages."," Doktor Hibbard pokýval hlavou, posadil se zpříma, vytáhl hlubokou zásuvku ve skříni za sebou a vzal z ní hrst chrastících umělohmotných plochých balíčků."
"withdrew","withdraw","vzal","vzít","pf"," Dr. Hibbard nodded and sat up straight, rolled open a deep drawer in the console behind him, and withdrew a handful of rattling plastic-and-foil packages."," Doktor Hibbard pokýval hlavou, posadil se zpříma, vytáhl hlubokou zásuvku ve skříni za sebou a vzal z ní hrst chrastících umělohmotných plochých balíčků."
"set","set","položil","položit","pf"," He counted off eight of them and set them on his desk in front of Enid."," Odpočítal jich osm a položil je na stůl před Enid."
"help","help","pomůžou","pomoci","pf"," "" This is an excellent new medication that will help you enormously, "" Hibbard recited in a monotone."," "" Tohle jsou vynikající nové léky, které vám zcela jistě významně pomůžou, "" odrecitoval Hibbard monotónním hlasem."
"winked","wink","mrkl","mrknout","pf"," He winked at her."," A mrkl na Enid."
"proposing","propose","Navrhuju","navrhovat","impf"," "" I 'm proposing that we go to St. Jude, "" he said."," "" Navrhuju, abychom se na Vánoce vydali do Svatého Judy, "" prohlásil Gary trpělivě."
"said","say","prohlásil","prohlásit","pf"," "" I 'm proposing that we go to St. Jude, "" he said."," "" Navrhuju, abychom se na Vánoce vydali do Svatého Judy, "" prohlásil Gary trpělivě."
"like","like","nechceš","chtít","impf"," "" If you wo n't talk about it like an adult, I 'll make my own decision. """," "" Pokud se o tom nechceš bavit jako dospělý člověk, vezmu to do svých rukou a rozhodnu to sám. """
"see","see","uvidíme","uvidět","pf"," But see if you can get Aaron and Caleb on the plane with you."," Ale uvidíme, jestli se ti podaří dostat do letadla Aarona a Caleba."
"get","get","dostat","dostat","pf"," But see if you can get Aaron and Caleb on the plane with you."," Ale uvidíme, jestli se ti podaří dostat do letadla Aarona a Caleba."
