"draw","draw","nenakreslí","nakreslit","pf"," All right - on House-Tree-Person, look for someone who did n't draw the female figure first."," V testu lidské postavy hledejte toho, který nenakreslí jako první postavu svého rodokmenu ženu."
"said","say","řekla","říci","pf"," "" I 'd wait if I were you, "" Starling said."," "" Být vámi, počkala bych, "" řekla Starlingová."
"said","say","řekla","říci","pf"," "" Thanks, you wo n't be sorry, "" Jonetta Johnson said."," "" Díky, nebudete litovat, "" řekla Jonetta Johnsonová."
"endorsed","endorse","souhlasil","souhlasit","impf"," "" Alan Bloom endorsed that? """," "" Alan Bloom s tímhle souhlasil? """
"tried","try","snažil","snažit","impf"," There 's another way Buffalo Bill 's likely to stand out in your records - he probably tried to conceal a record of criminal violence, or falsified other background material."," Ještě je jiná možnost, jak může Buffalo Bill figurovat ve vašich záznamech - pravděpodobně se snažil zatajit zápis v trestním rejstříku pro násilnické trestné činy nebo nějak falšovat doklady o svém rodinném zázemí."
"Show","show","Ukažte","ukázat","pf"," Show me the ones you turned away, Doctor. """," Ukažte mi záznamy o těch, které jste zamítli, doktore. """
"fired","fire","Vypálila","vypálit","pf"," She 'd fired four."," Vypálila čtyřikrát."
"fired","fire","vystřelil","vystřelit","pf"," He 'd fired once."," On vystřelil jednou."
"found","find","Našla","najít","pf"," She found the two good cartridges she 'd dumped."," Našla ještě dvě dobré patrony, které by mohla použít."
"Put","put","dát","dát","pf"," Put them where?"," Kam si je má zatím dát?"
"did","do","udělal","udělat","pf"," You know what he did to Will Graham. """," Víte, co udělal Willu Grahamovi. """
"read","read","Četla","číst","impf"," "" I read about it when it happened. """," "" Četla jsem o tom, když se to stalo. """
"die","die","neumřel","umřít","pf"," It 's a wonder Will did n't die."," Je div, že Will neumřel."
"Remember","remember","Vzpomínáte","vzpomínat","impf"," Remember the Red Dragon?"," Vzpomínáte si na toho Červeného draka?"
"drew","draw","maloval","malovat","impf"," Will 's face looks like damn Picasso drew him, thanks to Lecter."," Willův obličej teď kvůli Lecterovi vypadá, jako by po něm maloval Picasso."
"tore","tear","roztrhal","roztrhat","pf"," He tore a nurse up in the asylum."," V ústavu roztrhal jednu sestřičku."
"hoped","hope","Doufala","doufat","impf"," She hoped that he believed he could safely let her go."," Doufala, že ten člověk uvěří, že ji může klidně pustit na svobodu."
"believed","believe","uvěří","uvěřit","pf"," She hoped that he believed he could safely let her go."," Doufala, že ten člověk uvěří, že ji může klidně pustit na svobodu."
"working","work","pracoval","pracovat","impf"," Her mind was working, working, and at last it worked too well."," Její mozek pracoval na plné obrátky, nakonec se prokázalo, že velmi přesně."
"working","work","pracoval","pracovat","impf"," Her mind was working, working, and at last it worked too well."," Její mozek pracoval na plné obrátky, nakonec se prokázalo, že velmi přesně."
"worked","work","pracoval","pracovat","impf"," Her mind was working, working, and at last it worked too well."," Její mozek pracoval na plné obrátky, nakonec se prokázalo, že velmi přesně."
"did","do","udělal","udělat","pf"," What did he do to her?"," Co s ní udělal?"
"do","do","udělal","udělat","pf"," What did he do to her?"," Co s ní udělal?"
"tell","tell","povězte","povědět","pf"," "" No, tell me. """," "" Ne, povězte mi to. """
"think","think","Myslíte","myslet","impf"," "" Do you think it 's because I like to look at you and think about eating you up - about how you would taste? """," "" Myslíte si, že je to proto, že je na vás hezký pohled a že přemýšlím, jak vás sním - jak byste mi asi chutnala? """
"think","think","Myslíte","myslet","impf"," "" Do you think it 's because I like to look at you and think about eating you up - about how you would taste? """," "" Myslíte si, že je to proto, že je na vás hezký pohled a že přemýšlím, jak vás sním - jak byste mi asi chutnala? """
"think","think","přemýšlím","přemýšlet","impf"," "" Do you think it 's because I like to look at you and think about eating you up - about how you would taste? """," "" Myslíte si, že je to proto, že je na vás hezký pohled a že přemýšlím, jak vás sním - jak byste mi asi chutnala? """
"think","think","přemýšlím","přemýšlet","impf"," "" Do you think it 's because I like to look at you and think about eating you up - about how you would taste? """," "" Myslíte si, že je to proto, že je na vás hezký pohled a že přemýšlím, jak vás sním - jak byste mi asi chutnala? """
"eating","eat","sním","sníst","pf"," "" Do you think it 's because I like to look at you and think about eating you up - about how you would taste? """," "" Myslíte si, že je to proto, že je na vás hezký pohled a že přemýšlím, jak vás sním - jak byste mi asi chutnala? """
"like","like","chutnala","chutnat","impf"," "" Do you think it 's because I like to look at you and think about eating you up - about how you would taste? """," "" Myslíte si, že je to proto, že je na vás hezký pohled a že přemýšlím, jak vás sním - jak byste mi asi chutnala? """
"taste","taste","chutnala","chutnat","impf"," "" Do you think it 's because I like to look at you and think about eating you up - about how you would taste? """," "" Myslíte si, že je to proto, že je na vás hezký pohled a že přemýšlím, jak vás sním - jak byste mi asi chutnala? """
"come","come","nepřijde","přijít","pf"," But he wo n't come to see me."," On ale za mnou nepřijde."
"see","see","nepřijde","přijít","pf"," But he wo n't come to see me."," On ale za mnou nepřijde."
"remembered","remember","vzpomněla","vzpomenout","pf"," Starling remembered the black-bordered countdown on the front pages of the trash papers."," Starlingová si vzpomněla, jak některé nelítostné plátky vytiskly na titulní stránce černý rámeček s oznámením o celém případu a smrti dívky."
"waiting","wait","čeká","čekat","impf"," "" So Catherine Baker Martin 's waiting in BilYs green room, Starling, and we have maybe a week :"," "" Takže Kateřina teď čeká v Billově salonu a my na to máme možná týden."
"sell","sell","prodávají","prodávat","impf"," "" Entomologists must have periodicals, professional journals, people that sell equipment, "" Starling said."," "" Entomologové musí odebírat odborné časopisy, stýkají se s lidmi, kteří jim prodávají potřebná zařízení, "" řekla Starlingová."
"said","say","řekla","říci","pf"," "" Entomologists must have periodicals, professional journals, people that sell equipment, "" Starling said."," "" Entomologové musí odebírat odborné časopisy, stýkají se s lidmi, kteří jim prodávají potřebná zařízení, "" řekla Starlingová."
"come","come","chodí","chodit","impf"," "" Sure, and most of the publications come here. """," "" Jistě, takové publikace chodí i sem. """
"said","say","řekl","říci","pf"," "" Let me make you a bundle, "" Roden said."," "" Poslouchejte, mám pro vás návrh, "" řekl Roden."
"give","give","vydávají","vydávat","impf"," "" A couple of people here subscribe privately to the smaller newsletters - keep ‘ em locked up and make you give them a quarter just to look at the stupid things."," "" Pár lidí tady si tyhle odborné časopisy předplácí, aby z nich mohli čerpat buď pro své noviny nebo články - prameny tají a pak to vydávají za svoje dílo, vždycky tak tři čtvrtiny vynechají."
"forgotten","forget","zapomněla","zapomenout","pf"," Starling had forgotten it for a moment while she thought about her own best interests."," Na chvíli na ni zapomněla, když uvažovala, co by bylo nejlepší pro ni samotnou."
"thought","think","uvažovala","uvažovat","impf"," Starling had forgotten it for a moment while she thought about her own best interests."," Na chvíli na ni zapomněla, když uvažovala, co by bylo nejlepší pro ni samotnou."
"haunted","haunt","strašila","strašit","impf"," It was Kimberly that haunted her now."," Teď ji strašila Kimberly."
"satisfy","satisfy","uspokojit","uspokojit","pf"," Sometimes you see a tendency to surgical addiction - cosmetically, transsexuals are hard to satisfy - but that 's about all."," Občas se najde odvaha k chirurgickému zákroku - kosmetickému - transvestity lze jinak těžko uspokojit, ale to je asi tak všechno."
"said","say","řekl","říci","pf"," "" Klaus had the bug in his throat, "" Crawford said."," "" Klaus měl taky v krku kuklu, "" řekl Crawford."
"reading","read","četl","číst","impf"," Burroughs was reading from his clipboard into the telephone."," Burroughs četl něco ze záznamníku do telefonu."
"took","take","vzal","vzít","pf"," Crawford took the receiver from him."," Crawford si od něj vzal sluchátko."
"wait","wait","nečekejte","čekat","impf"," "" Bobby, do n't wait for the Interpol split."," "" Bobby, nečekejte na nikoho z Interpolu."
"agreed","agree","souhlasila","souhlasit","impf"," My mother 's cousin agreed to let me go."," Sestřenice mé matky nakonec souhlasila s tím, že od nich odejdu."
"go","go","odejdu","odejít","pf"," My mother 's cousin agreed to let me go."," Sestřenice mé matky nakonec souhlasila s tím, že od nich odejdu."
"went","go","Šla","jít","impf"," "" She went too."," "" Šla se mnou."
"going","go","šlape","šlapat","impf"," You had to watch where she was going, though."," Muselo se ale dávat pozor, kam šlape."
"do","do","uděláš","udělat","pf"," "" Whatcha gonna do for meeee? """," "" Tak co pro mě uděláš? """
"kissed","kiss","políbil","políbit","pf"," He picked up the little champagne-colored poodle and kissed her plump back."," Zvedl malého bílého pudla do náruče a políbil ho na jeho macatý zadeček."
"heard","hear","zaslechla","zaslechnout","pf"," She 'd heard it once before, at the hospital when her father died."," Už ho jednou zaslechla v nemocnici, když jí umíral otec."
"died","die","umíral","umírat","impf"," She 'd heard it once before, at the hospital when her father died."," Už ho jednou zaslechla v nemocnici, když jí umíral otec."
"found","find","našla","najít","pf"," Feeling her way along, going toward the sounds of Catherine, she found the stairwell and climbed the stairs in the dark."," Hmatem hledala cestu a kráčela za zvukem Kateřinina hlasu, našla schodiště a vyšla ve tmě nahoru."
"found","find","Objevila","objevit","pf"," With it she found the fuse box beside the stairs, jumped when the lights came on."," Objevila skříň s pojistkami vedle schodiště, a až nadskočila leknutím, když rozsvítila."
"lies","lie","leží","ležet","impf"," One is his own; in the other lies his wife, Bella."," Jedno lůžko je jeho, na druhém leží jeho žena Bella."
"hear","hear","slyší","slyšet","impf"," Crawford can hear her breathing through her mouth."," Crawford slyší Bellu, jak dýchá ústy."
"stir","stir","pohnula","pohnout","pf"," It has been two days since she last could stir or speak to him."," Už tomu budou dva dny, co se naposledy pohnula nebo promluvila."
