"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"killed","kill","zabit","zabít","pf"," Herrena had n't quite worked out what the Luggage was, but she was bright enough to know that it would n't let Twoflower be killed."," Zatím sice nepochopila, co je Zvazadlo zač, ale byla dost chytrá na to, aby si uvědomila, že truhla nedovolí, aby byl Dvoukvítek zabit."
"revealed","reveal","zjeveno","zjevit","pf"," ‘ It has been revealed to us. ’"," "" To nám bylo zjeveno. """
"think","think","Myslím","myslet","impf"," ‘ I think we ought to be getting along, ’ said Lackjaw nervously."," "" Myslím, že bychom měli jít dál, "" ozval se Bezbrada nervózně."
"think","think","měli","mít","impf"," ‘ I think we ought to be getting along, ’ said Lackjaw nervously."," "" Myslím, že bychom měli jít dál, "" ozval se Bezbrada nervózně."
"began","begin","začal","začít","pf"," ‘ It 's all right — ’ he began."," "" No tak, už je to v pořádku - "" začal ji utěšovat."
"spoil","spoil","pokazí","pokazit","pf"," ‘ Why do people always go and spoil things? ’"," "" Proč se vždycky objeví nějaký pitomec a všechno pokazí? """
"understand","understand","nerozumím","rozumět","impf"," ‘ Um, I do n't think you quite understand, ’ he said."," "" Obávám se, že vám nějak nerozumím, "" obrátil se k dívce."
"saved","save","zachránili","zachránit","pf"," ‘ I mean, we just saved you from absolutely certain death. ’"," "" Vždyť jsme vás právě zachránili ze spárů jisté smrti! """
"continued","continue","pokračoval","pokračovat","impf"," ‘ The other Orders are searching all the lands between here and the Hub, ’ he continued, counting the points on his fingers, ‘ because it seems unreasonable that a man can fly into a cloud and not come out ... ’"," "" Ostatní Řády prohledávají všechny země mezi Ankh - Morporkem a Středem, "" pokračoval, "" a na prstech vypočítával jeden bod za druhým, "" protože se zdá na první pohled nesmyslné, aby někdo vletěl do mraků a už se neukázal ... """
"seems","seem","zdá","zdát","impf"," ‘ The other Orders are searching all the lands between here and the Hub, ’ he continued, counting the points on his fingers, ‘ because it seems unreasonable that a man can fly into a cloud and not come out ... ’"," "" Ostatní Řády prohledávají všechny země mezi Ankh - Morporkem a Středem, "" pokračoval, "" a na prstech vypočítával jeden bod za druhým, "" protože se zdá na první pohled nesmyslné, aby někdo vletěl do mraků a už se neukázal ... """
"look","look","nedíval","dívat","impf"," Twoflower did n't just look at the world through rose-tinted spectacles, Rincewind knew – he looked at it through a rose-tinted brain, too, and heard it through rose-tinted ears."," Dvoukvítek se nedíval na svět jen růžovými brýlemi, ale co bylo mnohem horší, on ho vnímal růžovým mozkem a poslouchal růžovýma ušima."
"looked","look","nedíval","dívat","impf"," Twoflower did n't just look at the world through rose-tinted spectacles, Rincewind knew – he looked at it through a rose-tinted brain, too, and heard it through rose-tinted ears."," Dvoukvítek se nedíval na svět jen růžovými brýlemi, ale co bylo mnohem horší, on ho vnímal růžovým mozkem a poslouchal růžovýma ušima."
"heard","hear","poslouchal","poslouchat","impf"," Twoflower did n't just look at the world through rose-tinted spectacles, Rincewind knew – he looked at it through a rose-tinted brain, too, and heard it through rose-tinted ears."," Dvoukvítek se nedíval na svět jen růžovými brýlemi, ale co bylo mnohem horší, on ho vnímal růžovým mozkem a poslouchal růžovýma ušima."
"talking","talk","mluvil","mluvit","impf"," But Rincewind was talking to himself."," Ale to už Mrakoplaš mluvil do prázdna."
"think","think","Myslím","myslet","impf"," ‘ I think it 's worried about something, ’ said Cohen."," "" Myslím, že má nějaké starosti, "" pokračoval Cohen."
"think","think","má","mít","impf"," ‘ I think it 's worried about something, ’ said Cohen."," "" Myslím, že má nějaké starosti, "" pokračoval Cohen."
"expect","expect","Myslím","myslet","impf"," ‘ I expect it just wants us to go off somewhere and leave it alone. ’"," "" Myslím, že by ta truhla byla nejradši, kdybychom se sebrali a nechali ji tady samotnou. """
"leave","leave","nechali","nechat","pf"," ‘ I expect it just wants us to go off somewhere and leave it alone. ’"," "" Myslím, že by ta truhla byla nejradši, kdybychom se sebrali a nechali ji tady samotnou. """
"added","add","dodal","dodat","pf"," ‘ I think it 's very puzzled, ’ Cohen added."," "" Vypadá hrozně zmateně, "" dodal Cohen."
"struck","strike","napadlo","napadnout","pf"," It struck Lackjaw that the roles were unfairly reversing."," Bezbradu napadlo, že se jejich role začínají podezřele obracet."
"reversing","reverse","obracet","obracet","impf"," It struck Lackjaw that the roles were unfairly reversing."," Bezbradu napadlo, že se jejich role začínají podezřele obracet."
"find","find","najít","najít","pf"," If you felt like a smoke and could n't find a pipe, a book was your man every time."," A když jste si chtěli zakouřit a nemohli jste najít dýmku, kniha byla po ruce vždycky."
"wrote","write","píšou","psát","impf"," Cohen realized people wrote things in books."," Cohen věděl, že lidé píšou do knih různé věci."
"changed","change","nezměnil","změnit","pf"," Rincewind 's voice hardly changed."," Mrakoplašův hlas se skoro nezměnil."
"said","say","odpověděl","odpovědět","pf"," ‘ Fine, fine, ’ he said slowly."," "" Aha, tak dobře, "" odpověděl pomalu."
"began","begin","Začalo","začít","pf"," It began to snow."," Začalo sněžit."
"snow","snow","sněžit","sněžit","impf"," It began to snow."," Začalo sněžit."
"move","move","nehýbal","hýbat","impf"," He did n't move."," Mrakoplaš se stále nehýbal."
"feared","fear","bojí","bát","impf"," He would point out that no-one feared death itself, just pain and separation and oblivion, and that it was quite unreasonable to take against someone just because he had empty eye-sockets and a quiet pride in his work."," Byl by rád dokázal, že jeho, Smrtě, se vlastně bojí málokdo, protože lidé mají strach především z bolesti, odloučení a zapomnění, a že je tedy nesmyslné mít odpor k někomu jen proto, že má prázdné oční důlky a snaží se svou práci dělat poctivě."
"take","take","dělat","dělat","impf"," He would point out that no-one feared death itself, just pain and separation and oblivion, and that it was quite unreasonable to take against someone just because he had empty eye-sockets and a quiet pride in his work."," Byl by rád dokázal, že jeho, Smrtě, se vlastně bojí málokdo, protože lidé mají strach především z bolesti, odloučení a zapomnění, a že je tedy nesmyslné mít odpor k někomu jen proto, že má prázdné oční důlky a snaží se svou práci dělat poctivě."
"used","use","používá","používat","impf"," He still used a scythe, he 'd point out, while the Deaths of other worlds had long ago invested in combine harvesters."," Kdyby ho chtěl někdo poslouchat, byl by zdůraznil i tu skutečnost, že on stále ještě používá kosu, přestože Smrťové na jiných planetách si už dávno pořídili kombajny."
"carrying","carry","měl","mít","impf"," the druids that had n't fled the circle, generally the younger and more muscular ones, had congregated around the old man in order to discuss the whole subject of sacrilege as it pertained to stone circles, but judging by the cackling and sounds of gristle he was carrying the debate."," Zřejmě s ním chtěli probrat celou otázku obětního obřadu, který se měl v kamenném kruhu odehrát, ale podle výkřiků a praskotu kostí stařík udržoval debatu v proudu."
"watching","watch","pozoroval","pozorovat","impf"," Twoflower was watching the fight with interest."," Dvoukvítek pozoroval boj s upřímným zájmem."
"grabbed","grab","chytil","chytit","pf"," Rincewind grabbed him by the shoulder."," Mrakoplaš ho chytil za rameno."
"help","help","pomoct","pomoci","pf"," ‘ Should n't we help? ’"," "" Nemohli bychom mu nějak pomoct? """
"frightened","frighten","nepolekal","polekat","pf"," The star is just about the only thing I 've ever seen him not frightened of."," Naopak, ta hvězda je jedna z mála věcí, které se za celou tu dobu, co jsme spolu, nepolekal."
"worried","worry","nebojí","bát","impf"," If he 's not worried, then take it from me, there 's nothing to worry about. ’"," Jestli se Mrakoplaš nebojí, dej na má slova, pak se opravdu není čeho bát. """
"worry","worry","nebojí","bát","impf"," If he 's not worried, then take it from me, there 's nothing to worry about. ’"," Jestli se Mrakoplaš nebojí, dej na má slova, pak se opravdu není čeho bát. """
"worried","worry","bát","bát","impf"," If he 's not worried, then take it from me, there 's nothing to worry about. ’"," Jestli se Mrakoplaš nebojí, dej na má slova, pak se opravdu není čeho bát. """
"worry","worry","bát","bát","impf"," If he 's not worried, then take it from me, there 's nothing to worry about. ’"," Jestli se Mrakoplaš nebojí, dej na má slova, pak se opravdu není čeho bát. """
"said","say","říct","říci","pf"," ‘ It 's not going to rain? ’ said Bethan."," "" Takže chceš říct, že nebude pršet? """
"rain","rain","pršet","pršet","impf"," ‘ It 's not going to rain? ’ said Bethan."," "" Takže chceš říct, že nebude pršet? """
"speaking","speak","řečeno","říci","pf"," Metaphorically speaking. ’"," Metaforicky řečeno ... """
"pointed","point","ukázala","ukázat","pf"," Bethan elbowed him in the stomach and pointed."," Bethan ho strčila loktem do břicha a ukázala prstem."
"grabbed","grab","chytil","chytit","pf"," Rincewind grabbed her around the waist, snatched Twoflower by the collar, and jumped backwards."," Mrakoplaš ji chytil kolem pasu, Dvoukvítka za límec a uskočil dozadu."
"snatched","snatch","chytil","chytit","pf"," Rincewind grabbed her around the waist, snatched Twoflower by the collar, and jumped backwards."," Mrakoplaš ji chytil kolem pasu, Dvoukvítka za límec a uskočil dozadu."
"said","say","vyslovil","vyslovit","pf"," No-one knew what would happen if one of the Eight Great Spells was said by itself, but the general agreement was that the best place from which to watch the effects would be the next universe."," Nikdo nevěděl, co by se stalo, kdyby někdo vyslovil jen jedno z osmi Velkých zaklínadel, ale většina zasvěcených se shodovala v tom, že nejlepší místo, odkud by se to dalo pozorovat, by byla vedlejší galaxie."
"watch","watch","pozorovat","pozorovat","impf"," No-one knew what would happen if one of the Eight Great Spells was said by itself, but the general agreement was that the best place from which to watch the effects would be the next universe."," Nikdo nevěděl, co by se stalo, kdyby někdo vyslovil jen jedno z osmi Velkých zaklínadel, ale většina zasvěcených se shodovala v tom, že nejlepší místo, odkud by se to dalo pozorovat, by byla vedlejší galaxie."
"lying","lie","ležel","ležet","impf"," It was a weird thought to have, lying on a heap of pine needles after just falling off the edge of the world, but Rincewind had a feeling that the Spell wanted to keep him alive."," Byla to dost podivná myšlenka na člověka, který sice ležel na hromadě jehličí a přitom právě spadl z Okraje světa, ale Mrakoplaše z ničeho nic napadlo, že ho Zaklínadlo chtělo udržet za každou cenu naživu."
"falling","fall","spadl","spadnout","pf"," It was a weird thought to have, lying on a heap of pine needles after just falling off the edge of the world, but Rincewind had a feeling that the Spell wanted to keep him alive."," Byla to dost podivná myšlenka na člověka, který sice ležel na hromadě jehličí a přitom právě spadl z Okraje světa, ale Mrakoplaše z ničeho nic napadlo, že ho Zaklínadlo chtělo udržet za každou cenu naživu."
