"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"result","result","vyústí","vyústit","pf"," Thus, unless some very special trick existed, randomly twisting two polynucleotide chains around one another should result in a mess."," Pokud se neobjeví nějaký velmi speciální trik, náhodné vzájemné ovinutí dvou polynukleotidových řetězců nutně vyústí v chaos."
"held","hold","drží","držet","impf"," There was also the vexing problem of how the intertwined chains might be held together by hydrogen bonds between the bases."," Dále zde byl znepokojivý problém, jak vzájemně ovinuté řetězce drží pohromadě na základě vodíkových vazeb mezi bázemi."
"arranged","arrange","dohodli","dohodnout","pf"," So it was arranged that as soon as we had a set of atomic coordinates, we would have Todd come over."," Nakonec jsme se dohodli, že jakmile budeme mít sadu atomových souřadnic, požádáme Todda, aby je prohlédl."
"finished","finish","dokončili","dokončit","pf"," The final refinements of the coordinates were finished the following evening."," Zpřesnění souřadnic jsme dokončili příští večer."
"wished","wish","chtěli","chtít","impf"," But this did not bother us, for we only wished to establish that at least one specific two-chain complementary helix was stereochemically possible."," To nás ale neznepokojovalo, protože jsme se chtěli jen přesvědčit, že alespoň jedna specifická dvouřetězcová komplementární šroubovice bude stereochemicky možná."
"torn","tear","roztrháno","roztrhat","pf"," My scheme was torn to shreds by the following noon."," Moje schéma bylo roztrháno na cucky už příští poledne."
"chosen","choose","zvolil","zvolit","pf"," Against me was the awkward chemical fact that I had chosen the wrong tautomeric forms of guanine and thymine."," Způsobil to ten trapný chemický fakt, že jsem nesprávně zvolil tautomerní formy guaninu a cytosinu."
"send","send","poslat","poslat","pf"," Nevertheless, he would accede to my request that he send it to the Proceedings of the National Academy."," Nicméně jej chce, jak jsem ho žádal, poslat do Proceedings of the National Academy."
"allowed","allow","dovoleno","dovolit","pf"," After I was allowed to appreciate the oars on his walls, I was expelled with a prescription for a large bottle of white fluid to be taken after meals."," Když mi bylo dovoleno ocenit vesla, zdobící její stěny, byl jsem propuštěn s předpisem na velkou láhev bílé tekutiny, kterou jsem měl brát po jídle."
"appreciate","appreciate","ocenit","ocenit","pf"," After I was allowed to appreciate the oars on his walls, I was expelled with a prescription for a large bottle of white fluid to be taken after meals."," Když mi bylo dovoleno ocenit vesla, zdobící její stěny, byl jsem propuštěn s předpisem na velkou láhev bílé tekutiny, kterou jsem měl brát po jídle."
"taken","take","brát","brát","impf"," After I was allowed to appreciate the oars on his walls, I was expelled with a prescription for a large bottle of white fluid to be taken after meals."," Když mi bylo dovoleno ocenit vesla, zdobící její stěny, byl jsem propuštěn s předpisem na velkou láhev bílé tekutiny, kterou jsem měl brát po jídle."
"kept","keep","udržovalo","udržovat","impf"," This kept me going for almost two weeks, when, with the bottle empty, I returned to the surgery with the fear that I had an ulcer."," To mě udržovalo v přijatelném stavu asi dva týdny a pak jsem se s prázdnou lahví na chirurgii vrátil s obavou, že mám žaludeční vřed."
"returned","return","vrátil","vrátit","pf"," This kept me going for almost two weeks, when, with the bottle empty, I returned to the surgery with the fear that I had an ulcer."," To mě udržovalo v přijatelném stavu asi dva týdny a pak jsem se s prázdnou lahví na chirurgii vrátil s obavou, že mám žaludeční vřed."
"kept","keep","mám","mít","impf"," This kept me going for almost two weeks, when, with the bottle empty, I returned to the surgery with the fear that I had an ulcer."," To mě udržovalo v přijatelném stavu asi dva týdny a pak jsem se s prázdnou lahví na chirurgii vrátil s obavou, že mám žaludeční vřed."
"did","do","nevyvolaly","vyvolat","pf"," The news that an alien 's dyspeptic pains were persisting did not, however, evoke any sympathetic words, and again I retreated into Trinity Street with a prescription for more white stuff."," Mé stížnosti na přetrvávající protivné dyspeptické bolesti nevyvolaly ani slovo účasti a znovu jsem se vracel z Trinity Street s předpisem na další láhev bílého léku."
"evoke","evoke","nevyvolaly","vyvolat","pf"," The news that an alien 's dyspeptic pains were persisting did not, however, evoke any sympathetic words, and again I retreated into Trinity Street with a prescription for more white stuff."," Mé stížnosti na přetrvávající protivné dyspeptické bolesti nevyvolaly ani slovo účasti a znovu jsem se vracel z Trinity Street s předpisem na další láhev bílého léku."
"wanted","want","nechtěl","chtít","impf"," Moreover, by this time neither of us really wanted to look at our model."," Navíc se nikdo z nás nechtěl v té době už na model dívat."
"look","look","dívat","dívat","impf"," Moreover, by this time neither of us really wanted to look at our model."," Navíc se nikdo z nás nechtěl v té době už na model dívat."
"gave","give","nedávaly","dávat","impf"," All its glamour had vanished, and the crudely improvised phosphorus atoms gave no hint that they would ever neatly fit into something of value."," Všechen jeho půvab vybledl a hrubě improvizované atomy fosforu nedávaly záruku, že se kdy budou do něčeho cenného hodit."
"get","get","chytit","chytit","pf"," Then when Maurice mentioned that, if they moved with haste, the bus might enable them to get the 3:40 train to Liverpool Street Station, we quickly said goodbye."," Když pak Maurice poznamenal, že pospíši - li si na autobus, mohou chytit vlak v 15. 40 do londýnské Liverpool Street Station, rychle jsme se rozloučili."
"filtered","filter","pronikl","proniknout","pf"," Rosy 's triumph all too soon filtered up the stairs to Bragg."," Triumf Rosy rychle pronikl nahoru k Braggovi."
"indicating","indicate","naznačoval","naznačovat","impf"," The discussion then quickly stopped with the expressions on the listeners ' faces indicating either that they had nothing to add or that, if they did wish to say something, it would be bad form since they had said it before."," Diskuse byla brzy u konce a výraz tváří posluchačů naznačoval, že buď nemají co dodat, nebo že by pouze opakovali to, co již řekli dříve."
"add","add","dodat","dodat","pf"," The discussion then quickly stopped with the expressions on the listeners ' faces indicating either that they had nothing to add or that, if they did wish to say something, it would be bad form since they had said it before."," Diskuse byla brzy u konce a výraz tváří posluchačů naznačoval, že buď nemají co dodat, nebo že by pouze opakovali to, co již řekli dříve."
"say","say","řekli","říci","pf"," The discussion then quickly stopped with the expressions on the listeners ' faces indicating either that they had nothing to add or that, if they did wish to say something, it would be bad form since they had said it before."," Diskuse byla brzy u konce a výraz tváří posluchačů naznačoval, že buď nemají co dodat, nebo že by pouze opakovali to, co již řekli dříve."
"said","say","řekli","říci","pf"," The discussion then quickly stopped with the expressions on the listeners ' faces indicating either that they had nothing to add or that, if they did wish to say something, it would be bad form since they had said it before."," Diskuse byla brzy u konce a výraz tváří posluchačů naznačoval, že buď nemají co dodat, nebo že by pouze opakovali to, co již řekli dříve."
"utter","utter","vyslovit","vyslovit","pf"," Maybe their reluctance to utter anything romantically optimistic, or even to mention models, was due to fear of a sharp retort from Rosy."," Možná že jejich nechuť vyslovit něco romanticky optimistického nebo zmínit se o modelech vyplývala z obavy, že jim Rosy ostře odpoví."
"mention","mention","zmínit","zmínit","pf"," Maybe their reluctance to utter anything romantically optimistic, or even to mention models, was due to fear of a sharp retort from Rosy."," Možná že jejich nechuť vyslovit něco romanticky optimistického nebo zmínit se o modelech vyplývala z obavy, že jim Rosy ostře odpoví."
"showed","show","vykazují","vykazovat","impf"," In 1946 Joshua, then only twenty, burst upon the biological world by announcing that bacteria mated and showed genetic recombination."," V roce 1946 Joshua, tehdy dvacetiletý, omráčil biologický svět zprávou, že bakterie kopulují a vykazují genetické rekombinace."
"work","work","pracovat","pracovat","impf"," Since then he had carried out such a prodigious number of pretty experiments that virtually no one except Cavalli dared to work in the same field."," Od té doby provedl tak podivuhodné množství krásných pokusů, že se s výjimkou Sforzy nikdo neodvážil pracovat na stejném poli."
