"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"judging","judge","Soudíte","soudit","impf"," Are you judging by my suit?"," Soudíte snad lidi podle obleku?"
"do","do","nedělejte","dělat","impf"," Never do that, my good man."," To nikdy nedělejte, vážený kustode."
"began","begin","začaly","začít","pf"," Two years ago odd things began happening in that apartment - people started to vanish from it without trace."," Před dvěma lety se začaly ve zdejším bytě dít nepochopitelné věci : beze stopy odtud mizeli obyvatelé."
"started","start","začaly","začít","pf"," Two years ago odd things began happening in that apartment - people started to vanish from it without trace."," Před dvěma lety se začaly ve zdejším bytě dít nepochopitelné věci : beze stopy odtud mizeli obyvatelé."
"vanish","vanish","mizeli","mizet","impf"," Two years ago odd things began happening in that apartment - people started to vanish from it without trace."," Před dvěma lety se začaly ve zdejším bytě dít nepochopitelné věci : beze stopy odtud mizeli obyvatelé."
"hung","hang","zavěsil","zavěsit","pf"," And with that the scoundrel hung up."," A zavěsil, lotr!"
"pulled","pull","vytáhl","vytáhnout","pf"," Locking himself in the lavatory, he pulled the package out of his briefcase and found that it contained four hundred roubles."," Zavřel se na špehýrku na záchodě, vytáhl z aktovky balíček, který mu tlumočník vnutil, a zjistil, že v něm je čtyři sta rublů."
"found","find","zjistil","zjistit","pf"," Locking himself in the lavatory, he pulled the package out of his briefcase and found that it contained four hundred roubles."," Zavřel se na špehýrku na záchodě, vytáhl z aktovky balíček, který mu tlumočník vnutil, a zjistil, že v něm je čtyři sta rublů."
"wrapped","wrap","Zabalil","zabalit","pf"," He wrapped it up in a sheet of old newspaper and pushed it into the ventilation shaft."," Zabalil je do novinového papíru a ukryl ve světlíku."
"release","release","propustím","propustit","pf"," ' Now here 's someone I shall be especially glad to release, ' said Woland, looking at Nikolai Ivanovich with repulsion."," "" Toho propustím se zvláštním potěšením, "" řekl mág a s odporem si ho prohlížel, "" opravdu, jenom tu překážel. """
"said","say","řekl","říci","pf"," ' Now here 's someone I shall be especially glad to release, ' said Woland, looking at Nikolai Ivanovich with repulsion."," "" Toho propustím se zvláštním potěšením, "" řekl mág a s odporem si ho prohlížel, "" opravdu, jenom tu překážel. """
"asked","ask","zeptal","zeptat","pf"," ' What for? ' asked the cat sternly."," "" A nač je potřebujete? "" zeptal se přísně kocour."
"left","leave","Odešel","odejít","pf"," He left and never again saw Varenukha, who had acquired universal love and popularity for his incredible charm and politeness, remarkable even for a theatre manager."," Odešel a už se nikdy nesetkal s Varenuchou, který si získal velkou oblibu pro svou výjimečnou zdvořilost a ochotu, vzácnou dokonce i mezi administrátory divadel."
"acquired","acquire","získal","získat","pf"," He left and never again saw Varenukha, who had acquired universal love and popularity for his incredible charm and politeness, remarkable even for a theatre manager."," Odešel a už se nikdy nesetkal s Varenuchou, který si získal velkou oblibu pro svou výjimečnou zdvořilost a ochotu, vzácnou dokonce i mezi administrátory divadel."
"rang","ring","volal","volat","impf"," At whatever hour they rang the Variety, through the receiver would always come his soft, sad :"," Ať kdokoli volal v kteroukoli dobu do Varieté, ozval se ve sluchátku mírný, posmutnělý hlas :"
"asked","ask","Prosím","prosit","impf"," ' Hello, ' and if the caller asked for Varenukha to be brought to the telephone the same voice hastened to reply :"," "" Prosím, "" a když se prosebník dožadoval Varenuchy, prohlásil hlas spěšně :"
"announced","announce","oznámil","oznámit","pf"," As the little red light above the treasurer 's head started flashing to show that the interval was beginning, an usher came in and announced that the foreign magician had arrived."," V okamžiku, kdy mu nad hlavou zablikalo červené světlo hlásající začátek přestávky, vešel posílkář a oznámil, že přijel cizí umělec."
"came","come","přijel","přijet","pf"," As the little red light above the treasurer 's head started flashing to show that the interval was beginning, an usher came in and announced that the foreign magician had arrived."," V okamžiku, kdy mu nad hlavou zablikalo červené světlo hlásající začátek přestávky, vešel posílkář a oznámil, že přijel cizí umělec."
"arrived","arrive","přijel","přijet","pf"," As the little red light above the treasurer 's head started flashing to show that the interval was beginning, an usher came in and announced that the foreign magician had arrived."," V okamžiku, kdy mu nad hlavou zablikalo červené světlo hlásající začátek přestávky, vešel posílkář a oznámil, že přijel cizí umělec."
"ended","end","skončil","skončit","pf"," It was of course an abominable, disgusting, thrilling, revolting scandal which only ended when a lorry drove away from the gates of Griboyedov carrying the unfortunate Ivan Nikolayich, the policeman, the barman and Ryukhin."," Zkrátka a dobře, byl to nemožný, odporný, pohoršlivý skandál, který skončil teprve v okamžiku, kdy náklaďák odvážel ze vrat Gribojedovova domu nešťastného Ivana, milicionáře, Pantěleje a Sviňkova."
"entered","enter","vešel","vejít","pf"," At half past one in the morning a man with a pointed beard and wearing a white overall entered the reception hall of a famous psychiatric clinic recently completed in the suburbs of Moscow."," Když do čekárny vyhlášené psychiatrické kliniky, dostavěné nedávno na břehu řeky poblíž Moskvy, vešel muž v bílém plášti, se špičatou bradkou, bylo půl druhé v noci."
"believe","believe","věřte","věřit","impf"," ' But please - as a farewell request - at least say you believe in the devil!"," "" Ale na rozloučenou vás prosím, věřte alespoň, že ďábel existuje!"
"ask","ask","nežádám","žádat","impf"," I wo n't ask anything more of you."," O víc vás nežádám."
"opened","open","otevřely","otevřít","pf"," Laughing aloud with delight, she was standing in front of the mirror admiring her magical beauty when the door opened and in walked Nikolai Ivanovich."," Zatímco se kochala svým obrazem v zrcadle, celá bez sebe radostí, otevřely se dveře a dovnitř vklouzl Nikolaj Ivanovič."
"excited","excite","rozčilen","rozčílit","pf"," He was highly excited and was holding Margarita Nikolayevna 's slip, his briefcase and his hat."," Byl zjevně rozčilen a v ruce třímal Markétinu košili, svůj vlastní klobouk a aktovku."
"Following","follow","sledoval","sledovat","impf"," Following the thread of events backwards from end to beginning, they could now pinpoint the source of the whole episode."," Pozorně sledoval nit událostí a snažil se dobrat začátku."
"pushed","push","nestrčili","strčit","pf"," Neither Ivan, of course, nor the man in the check suit had pushed the unfortunate chairman of massolit under the tramcar;"," Samozřejmě ani Ivan, ani kostkovaný nestrčili nešťastného předsedu MASOLITu pod tramvaj."
"look","look","dívat","dívat","impf"," ' No, I ca n't look, I ca n't look! ' cried Anna Richardovna and ran back into her office, followed, like a bullet, by the accountant."," "" Ne, nemůžu se na to dívat, prostě nemůžu! "" zvolala Anna Richardovna, odběhla do své kanceláře a účetní Lastočkin za ní."
"look","look","dívat","dívat","impf"," ' No, I ca n't look, I ca n't look! ' cried Anna Richardovna and ran back into her office, followed, like a bullet, by the accountant."," "" Ne, nemůžu se na to dívat, prostě nemůžu! "" zvolala Anna Richardovna, odběhla do své kanceláře a účetní Lastočkin za ní."
"cried","cry","zvolala","zvolat","pf"," ' No, I ca n't look, I ca n't look! ' cried Anna Richardovna and ran back into her office, followed, like a bullet, by the accountant."," "" Ne, nemůžu se na to dívat, prostě nemůžu! "" zvolala Anna Richardovna, odběhla do své kanceláře a účetní Lastočkin za ní."
"imagine","imagine","Představte","představit","pf"," ' Just imagine - I was sitting here, ' began Anna Richardovna trembling with horror and clutching Vassily Stepanovich 's sleeve, ' when in came a cat."," "" Představte si, sedím tady u stolu, "" vykládala, držela ho za rukáv a přitom se třásla rozčilením, "" a najednou vám vběhne dovnitř kocour."
"sitting","sit","sedím","sedět","impf"," ' Just imagine - I was sitting here, ' began Anna Richardovna trembling with horror and clutching Vassily Stepanovich 's sleeve, ' when in came a cat."," "" Představte si, sedím tady u stolu, "" vykládala, držela ho za rukáv a přitom se třásla rozčilením, "" a najednou vám vběhne dovnitř kocour."
"asked","ask","otázal","otázat","pf"," The colour flowed back into Pilate 's yellowed cheeks and he asked in Latin :"," Vladařovy popelavé tváře získaly zase barvu a Pilát se otázal latinsky :"
"wanted","want","chtěl","chtít","impf"," ' How did you know that I wanted to call my dog? '"," "" Jak jsi poznal, že jsem chtěl zavolat psa? """
"call","call","zavolat","zavolat","pf"," ' How did you know that I wanted to call my dog? '"," "" Jak jsi poznal, že jsem chtěl zavolat psa? """
"lifted","lift","zvedl","zvednout","pf"," ' My nerves are in a terrible state, ' he thought as he lifted the telephone."," "" Ty nervy! "" posteskl si a zvedl sluchátko."
"ring","ring","nevolej","volat","impf"," ' Do n't ring up, Rimsky, or you 'll regret it ... '"," "" Nikam nevolej, Rimský, nebo to s tebou špatně skončí ... """
"Feeling","feel","cítil","cítit","impf"," Feeling gooseflesh spreading over his skin, the treasurer replaced the receiver and glanced round to the window behind his back."," Ředitel cítil, jak mu naskakuje husí kůže, zavěsil a bezděčně se ohlédl k oknu za svými zády."
"go","go","Půjdu","jít","impf"," I must go and lie down, sleep is the only cure. '"," Půjdu, lehnu si a pokusím se usnout, abych na to zapomněl. """
"opened","open","otevřel","otevřít","pf"," The cat jumped down from the chair, stood up on its hind legs, put its forelegs akimbo, opened its mouth and said :"," Macek se pohnul, seskočil ze židle, stoupl si na zadní, otevřel tlamu a prohlásil, tlapy opřené v bok :"
"said","say","prohlásil","prohlásit","pf"," The cat jumped down from the chair, stood up on its hind legs, put its forelegs akimbo, opened its mouth and said :"," Macek se pohnul, seskočil ze židle, stoupl si na zadní, otevřel tlamu a prohlásil, tlapy opřené v bok :"
"sent","send","poslal","poslat","pf"," ' I sent the telegram."," "" To já jsem poslal telegram."
"saved","save","zachránila","zachránit","pf"," Latunsky must have been born under a lucky star, because the coincidence saved him from an encounter with Margarita, newly turned witch that Friday."," Jen šťastná hvězda zachránila Latunského před setkáním s Markétkou, která se toho pátku proměnila v divoženku."
