"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"contained","contain","obsahoval","obsahovat","impf"," The list contained numerous omissions and ambiguities which presumably the future would rectify."," Seznam členů obsahoval mnoho opomenutí a nejasností, jež pravděpodobně napraví budoucnost."
"rectify","rectify","napraví","napravit","pf"," The list contained numerous omissions and ambiguities which presumably the future would rectify."," Seznam členů obsahoval mnoho opomenutí a nejasností, jež pravděpodobně napraví budoucnost."
"prove","prove","potvrdily","potvrdit","pf"," No less than three times during his distinguished career, satellites specially launched to prove one of his pet theories had done precisely the opposite."," Družice, vypuštěné jenom a jenom proto, aby dokázaly některou z jeho nejhýčkanějších teorií, neméně než třikrát v průběhu jeho vynikající vědecké kariéry potvrdily právě tu opačnou."
"keep","keep","nenechal","nechat","pf"," The important thing is not to get bored, to be ready to react at a moment 's notice, to keep all the instruments aligned and recording, no matter how long it takes."," Je důležité, aby se nenechal znudit, aby byl připraven okamžitě reagovat a udržel všechny přístroje a záznamová zařízení v bezvadném chodu bez ohledu na to, jak dlouho to všechno potrvá ..."
"keep","keep","udržel","udržet","pf"," The important thing is not to get bored, to be ready to react at a moment 's notice, to keep all the instruments aligned and recording, no matter how long it takes."," Je důležité, aby se nenechal znudit, aby byl připraven okamžitě reagovat a udržel všechny přístroje a záznamová zařízení v bezvadném chodu bez ohledu na to, jak dlouho to všechno potrvá ..."
"takes","take","potrvá","trvat","impf"," The important thing is not to get bored, to be ready to react at a moment 's notice, to keep all the instruments aligned and recording, no matter how long it takes."," Je důležité, aby se nenechal znudit, aby byl připraven okamžitě reagovat a udržel všechny přístroje a záznamová zařízení v bezvadném chodu bez ohledu na to, jak dlouho to všechno potrvá ..."
"touched","touch","nedotkl","dotknout","pf"," But he had touched no controls, and if there had been any real movement, he would have sensed it at once."," Jenže řízení se ani nedotkl, a i kdyby se začali skutečně nějak pohybovat, přece by to okamžitě pocítil."
"sensed","sense","pocítil","pocítit","pf"," But he had touched no controls, and if there had been any real movement, he would have sensed it at once."," Jenže řízení se ani nedotkl, a i kdyby se začali skutečně nějak pohybovat, přece by to okamžitě pocítil."
"shoot","shoot","vystřelí","vystřelit","pf"," And if there are any hostiles on the other side, they 'll shoot that first. '"," A pokud jsou tam na druhé straně nějací nepřátelé, vystřelí nejprve na něj. """
"take","take","nevzít","vzít","pf"," And yet - why take any chances, when it was just as easy to avoid them?"," A přece - proč nevzít v úvahu i jiné možnosti, když se mohl před nimi tak snadno pojistit?"
"expect","expect","neočekával","očekávat","impf"," Nor did he expect there to be;"," Ani neočekával, že by nějaké byly;"
"stripped","strip","Stáhl","stáhnout","pf"," He stripped off all his clothes, grasped the smooth metal rods, and started to wriggle into the framework."," Stáhl ze sebe všechno šatstvo, chytil se hladkých kovových tyček a začal se soukat do konstrukce."
"grasped","grasp","chytil","chytit","pf"," He stripped off all his clothes, grasped the smooth metal rods, and started to wriggle into the framework."," Stáhl ze sebe všechno šatstvo, chytil se hladkých kovových tyček a začal se soukat do konstrukce."
"started","start","začal","začít","pf"," He stripped off all his clothes, grasped the smooth metal rods, and started to wriggle into the framework."," Stáhl ze sebe všechno šatstvo, chytil se hladkých kovových tyček a začal se soukat do konstrukce."
"felt","feel","cítil","cítit","impf"," It was a tight fit; he felt like a prisoner escaping through the bars of his cell."," Byla velice těsná, cítil se jako vězeň prchající mezi mřížemi své cely."
"swimming","swim","plaval","plavat","impf"," Movement was as effortless as swimming along the seabed - more so, in fact, for there was no backward drag of water."," Pohyboval se tak lehce, jako by plaval v moři - navíc nemusel překonávat odpor vody, který by ho brzdil."
"hurry","hurry","spěchal","spěchat","impf"," It was so easy that there was a temptation to go too fast, but Mercer was much too experienced to hurry in a situation as novel as this."," Bylo to tak snadné, že ho to svádělo k příliš rychlému postupu, jenže Mercer byl příliš zkušený, než aby v tak neobvyklé situaci spěchal."
"hear","hear","slyšel","slyšet","impf"," In his earphones, he could hear the regular breathing of his two companions."," Ve sluchátkách slyšel pravidelné oddechování svých dvou druhů."
"needed","need","Nepotřeboval","potřebovat","impf"," He needed no other proof that they were in good shape, and wasted no time in conversation."," Nepotřeboval žádný další důkaz, že jsou ve formě, a nemarnil čas konverzováním."
"slide","slide","klouzat","klouzat","impf"," Commander Mercer straddled it, carefully gauged the braking power he could exert with his hands, and let himself slide."," Velitel se na ni obkročmo vyhoupl, opatrně přezkoušel, jestli má v rukou dost síly, aby se ubrzdil, a začal klouzat dolů."
"descended","descend","klesal","klesat","impf"," Very sedately, slowly picking up speed, he descended into the darkness, moving in the pool of light from his helmet-lamp."," Velmi klidně, pozvolna nabíral rychlost a klesal do tmy v kaluži světla z reflektoru na své přílbě."
"called","call","zavolal","zavolat","pf"," He had gone about fifty metres when he called the others to join him."," Když urazil okolo padesáti metrů, zavolal ostatní, aby ho následovali."
"admit","admit","nepřipustil","připustit","pf"," None would admit it, but they all felt like boys again sliding down the banisters."," Žádný z nich by to nepřipustil, ale všichni se cítili zase jako kluci, klouzající se po zábradlí na schodech."
"felt","feel","cítili","cítit","impf"," None would admit it, but they all felt like boys again sliding down the banisters."," Žádný z nich by to nepřipustil, ale všichni se cítili zase jako kluci, klouzající se po zábradlí na schodech."
"try","try","Vyzkoušíme","vyzkoušet","pf"," Let 's try her out. '"," Vyzkoušíme si ji. """
"saw","see","spatřila","spatřit","pf"," At 09.46 GMT on the morning of 11 September, in the exceptionally beautiful summer of the year 2077, most of the inhabitants of Europe saw a dazzling fireball appear in the eastern sky."," Ráno v 9. 46 světového času 11. září výjimečně nádherného léta roku 2077 spatřila většina obyvatel Evropy, jak se na východní obloze objevila oslnivě zářící ohnivá koule."
"appear","appear","objevila","objevit","pf"," At 09.46 GMT on the morning of 11 September, in the exceptionally beautiful summer of the year 2077, most of the inhabitants of Europe saw a dazzling fireball appear in the eastern sky."," Ráno v 9. 46 světového času 11. září výjimečně nádherného léta roku 2077 spatřila většina obyvatel Evropy, jak se na východní obloze objevila oslnivě zářící ohnivá koule."
"moved","move","pohybovala","pohybovat","impf"," Within seconds it was brighter than the sun, and as it moved across the heavens - at first in utter silence - it left behind it a churning column of dust and smoke."," V několika sekundách se stala jasnější než sluce a jak se pohybovala napříč nebem - nejprve za naprostého ticha - zanechávala za sebou vířící sloup prachu a kouře."
"began","begin","začala","začít","pf"," Somewhere above Austria it began to disintegrate, producing a series of concussions so violent that more than a million people had their hearing permanently damaged."," Kdesi nad Rakouskem se začala rozpadat a vyvolala celou řadu tak silných tlakových vln, že více než jednomu miliónu lidí zůstal natrvalo poškozený sluch."
"producing","produce","vyvolala","vyvolat","pf"," Somewhere above Austria it began to disintegrate, producing a series of concussions so violent that more than a million people had their hearing permanently damaged."," Kdesi nad Rakouskem se začala rozpadat a vyvolala celou řadu tak silných tlakových vln, že více než jednomu miliónu lidí zůstal natrvalo poškozený sluch."
"see","see","viděl","vidět","impf"," and now he could see the main antenna, holding steady on the invisible star of Mercury."," a teď už viděl hlavní anténu, udržující směr přesně k neviditelné hvězdičce Merkura."
"seen","see","viděl","vidět","impf"," The various complex structures that could be seen hanging from the dome overhead were perhaps no more disconcerting than the pendent candelabra in some great concert-ball on Earth."," Různorodá soustava staveb, kterou viděl viset v kupoli nad svou hlavou snad ani člověka nevyváděla z míry víc, než podobný ohromný rozvětvený svícen v některé z velkých koncertních síní na Zemi."
"hanging","hang","viset","viset","impf"," The various complex structures that could be seen hanging from the dome overhead were perhaps no more disconcerting than the pendent candelabra in some great concert-ball on Earth."," Různorodá soustava staveb, kterou viděl viset v kupoli nad svou hlavou snad ani člověka nevyváděla z míry víc, než podobný ohromný rozvětvený svícen v některé z velkých koncertních síní na Zemi."
"used","use","používají","používat","impf"," But if these buildings are used for the storage of heavy materials, it would make sense. '"," Ovšem jestli se ty budovy používají jako skladiště nějakých těžkých součástek, pak by to dostalo smysl. """
