"call","call","říká","říkat","impf"," At the moment she 's in my apartment in the neighborhood they call Little Berlin."," Je momentálně v mém bytě ve čtvrti, které se tu říká Malý Berlín."
"ran","run","jezdily","jezdit","impf"," The trains still ran, albeit with delays, despite the air raids."," Vlaky, třebaže zpožděné, pořád jezdily, jako by nebylo náletů."
"crossed","cross","prošla","projít","pf"," She crossed the entrance hall on tiptoes and silently opened the bedroom door."," Po špičkách prošla předsíní a nehlučně otevřela do ložnice."
"opened","open","otevřela","otevřít","pf"," She crossed the entrance hall on tiptoes and silently opened the bedroom door."," Po špičkách prošla předsíní a nehlučně otevřela do ložnice."
"lay","lie","ležel","ležet","impf"," Robert lay naked on the bed, breathing deeply."," Robert ležel nahý v posteli a hluboce oddychoval."
"breathing","breathe","oddychoval","oddychovat","impf"," Robert lay naked on the bed, breathing deeply."," Robert ležel nahý v posteli a hluboce oddychoval."
"forced","force","Donutila","donutit","pf"," Grete forced him to arrange for her to go as well, singing in a group with the depressing name Freudenkiste - Box o ' Joy."," Donutila ho zařídit, aby s ním mohla jezdit jako zpěvačka se souborem, nesoucím pokleslý název Freudenkiste."
"arrange","arrange","zařídit","zařídit","pf"," Grete forced him to arrange for her to go as well, singing in a group with the depressing name Freudenkiste - Box o ' Joy."," Donutila ho zařídit, aby s ním mohla jezdit jako zpěvačka se souborem, nesoucím pokleslý název Freudenkiste."
"go","go","jezdit","jezdit","impf"," Grete forced him to arrange for her to go as well, singing in a group with the depressing name Freudenkiste - Box o ' Joy."," Donutila ho zařídit, aby s ním mohla jezdit jako zpěvačka se souborem, nesoucím pokleslý název Freudenkiste."
"bored","bore","nudilo","nudit","impf"," they bored the soldiers."," vojáky nudilo."
"leave","leave","odejít","odejít","pf"," The next day he managed to leave work while it was still light."," Nazítří stačil odejít z práce ještě za světla."
"chose","choose","Zvolil","zvolit","pf"," He chose a longer route through the city park to air the unheated building 's mildewy stench out of his clothes and noticed the celebrations."," Zvolil delší cestu přes městský park, aby vlahý vzduch vyvětral pach plísně z nevytápěné budovy, a shledal, že se tam objevily atrakce."
"noticed","notice","objevily","objevit","pf"," He chose a longer route through the city park to air the unheated building 's mildewy stench out of his clothes and noticed the celebrations."," Zvolil delší cestu přes městský park, aby vlahý vzduch vyvětral pach plísně z nevytápěné budovy, a shledal, že se tam objevily atrakce."
"pretending","pretend","předstíralo","předstírat","impf"," A couple of pathetic booths were bravely pretending, in this sixth wartime winter, to be a Lenten fair."," Pár ubohých bud předstíralo v páté válečné zimě masopustní veselí."
"passed","pass","Míjel","míjet","impf"," He passed a shooting range, where a youth in a long coat hit five paper roses and the owner grudgingly gave him a prize."," Míjel střelnici, když mladík v dlouhém kabátě srazil všech pět papírových růží a majitel mu otráveně vydával výhru."
"gave","give","vydával","vydávat","impf"," He passed a shooting range, where a youth in a long coat hit five paper roses and the owner grudgingly gave him a prize."," Míjel střelnici, když mladík v dlouhém kabátě srazil všech pět papírových růží a majitel mu otráveně vydával výhru."
"stared","stare","zíral","zírat","impf"," He stopped and stared."," Zastavil se a zíral."
"joined","join","vstoupil","vstoupit","pf"," Your lack of party activity indicates that you joined to keep your job, one you thought would be honorable in any society."," Vaše nulová aktivita ve straně napovídá, že jste do ní kdysi vstoupil, abyste mohl zůstat u svého oboru, považovaného za počestný v každé společnosti."
"believe","believe","věřit","věřit","impf"," And your behavior leads me to believe that your highest goal is the survival of our people, whether or not they achieve what they aspired to."," A vaše chování mě nutí věřit, že neznáte vyšší cíl, nežli přežití našeho národa, i kdyby snad nedosáhl, k čemu se vzepjal."
"achieve","achieve","nedosáhl","dosáhnout","pf"," And your behavior leads me to believe that your highest goal is the survival of our people, whether or not they achieve what they aspired to."," A vaše chování mě nutí věřit, že neznáte vyšší cíl, nežli přežití našeho národa, i kdyby snad nedosáhl, k čemu se vzepjal."
"betray","betray","zradíte","zradit","pf"," Anyway, if I had the slightest suspicion that you 'd betray my confidence, I 'd finish you off, Buback, once and for all."," Ostatně, pokud bych měl pojmout sebemenší podezření, že mou důvěru zradíte, zatrhl bych vám to včas a navždy, Bubacku!"
"made","make","Potvrdil","potvrdit","pf"," He made his point by banging both fists down, shaking the solidly built desk."," Potvrdil to úderem obou pěstí, při němž se mohutný stůl zachvěl."
"do","do","dělat","dělat","impf"," Now he knew what to do."," Už zas mu bylo jasné, co dělat."
"bought","buy","koupil","koupit","pf"," He bought a ticket to Prague from the sleepy cashier."," U ospalého pokladního si koupil jízdenku do Prahy."
"waiting","wait","nečekali","čekat","impf"," If they were n't waiting for him here, they 'd hardly be waiting there."," Když na něho nečekali tady, budou sotva čekat tam."
"waiting","wait","nečekali","čekat","impf"," If they were n't waiting for him here, they 'd hardly be waiting there."," Když na něho nečekali tady, budou sotva čekat tam."
"waiting","wait","čekat","čekat","impf"," If they were n't waiting for him here, they 'd hardly be waiting there."," Když na něho nečekali tady, budou sotva čekat tam."
"waiting","wait","čekat","čekat","impf"," If they were n't waiting for him here, they 'd hardly be waiting there."," Když na něho nečekali tady, budou sotva čekat tam."
"needed","need","potřeboval","potřebovat","impf"," At the documents division of the Plzeň police they gave Buback everything he needed in a few minutes."," N a oddělení kennkart plzeňské policie obsloužili Bubacka za pár minut vším, co potřeboval."
"nod","nod","kývl","kývnout","pf"," He willed Marek to nod."," Jenom přimět Marka, aby kývl."
"try","try","zkuste","zkusit","pf"," - Fine, try it."," - Tak to zkuste."
"hear","hear","slyšíte","slyšet","impf"," But on Monday the cellar 'd better be empty and clean as a whistle - it 's up to you, you hear?"," Ale v pondělí ráno ať je sklep prázdný a čistý jak stodola přede žněmi, na vaši odpovědnost, slyšíte?"
"crossed","cross","přejel","přejet","pf"," The confused driver crossed the intersection as ordered and turned down the ramp to the river 's edge."," Rozpačitý řidič přejel na povel křižovatku a zabočil na klesající rampu navigace."
"asked","ask","zeptal","zeptat","pf"," - Where are you taking me, sir? the caretaker asked fearfully."," - Kam mě to, pánové, vezete? zeptal se domovník úzkostně."
"reassured","reassure","ujistil","ujistit","pf"," - Just a bit further, the stoker reassured him."," - Jen tady kousek, ujistil ho topič."
"left","leave","nenechal","nechat","pf"," He shoved the pistol into the front pocket of his pants, but it was uncomfortable there, so finally he moved it and the knife to his briefcase ( a miracle he had n't left it there in the confusion )."," Pistoli nacpal napřed do kapsy kalhot, ale mačkala mu pohlaví, takže ji konečně přendal i s nožem do aktovky k řemenům, zázrak, že ji tam v tom zmatku nenechal."
"did","do","vezme","vzít","pf"," If they did not bring him the murderer 's head, he 'd take one of theirs, and Morava had no doubt which of the three of them would be least missed and would thus suit them best as a general warning."," Když mu nedodají hlavu vraha, vezme si jednu z jejich, a on nepochyboval, která ze tří přítomných se bude nejmíň postrádat a nejvíc hodit pro všeobecnou výstrahu."
"take","take","vezme","vzít","pf"," If they did not bring him the murderer 's head, he 'd take one of theirs, and Morava had no doubt which of the three of them would be least missed and would thus suit them best as a general warning."," Když mu nedodají hlavu vraha, vezme si jednu z jejich, a on nepochyboval, která ze tří přítomných se bude nejmíň postrádat a nejvíc hodit pro všeobecnou výstrahu."
"missed","miss","postrádat","postrádat","impf"," If they did not bring him the murderer 's head, he 'd take one of theirs, and Morava had no doubt which of the three of them would be least missed and would thus suit them best as a general warning."," Když mu nedodají hlavu vraha, vezme si jednu z jejich, a on nepochyboval, která ze tří přítomných se bude nejmíň postrádat a nejvíc hodit pro všeobecnou výstrahu."
"offered","offer","poskytl","poskytnout","pf"," Thus far no one had ever offered him the chance."," Dosud však nepotkal nikde nikoho, kdo by mu k tomu poskytl příležitost."
"realized","realize","pochopil","pochopit","pf"," And he realized that Grete was opening every corner of herself to him."," A pochopil, že i ona se mu otevírá beze zbytku."
"opening","open","otevírá","otevírat","impf"," And he realized that Grete was opening every corner of herself to him."," A pochopil, že i ona se mu otevírá beze zbytku."
"laugh","laugh","zasmát","zasmát","pf"," The answer he received was so simple he had to laugh."," Vysvětlení, které se dostavilo vzápětí, bylo tak prosté, že se musel zasmát."
"shout","shout","vykřikují","vykřikovat","impf"," A couple of people think up a recipe for a happy future and shout it so loud and long that all the lost souls take up the cause."," Pár lidí vymyslí recept na šťastnou budoucnost a vykřikují ho dost vytrvale, aby se k nim přidali všichni zoufalci."
"follow","follow","Následují","následovat","impf"," The careerists follow."," Následují kariéristé."
"counted","count","počítal","počítat","impf"," Asked how many people were down below, he counted nervously in passable German until he arrived at six men, ten women, and eight children."," Dotázán, kolik je dole lidí, počítal nervózně v obstojné němčině, až dospěl k šesti mužům, deseti ženám a osmi dětem."
"mean","mean","myslíš","myslet","impf"," - I do n't know what you mean ..."," - Nevím, co myslíš ..."
