"dance","dance","tančí","tančit","impf"," One tries to dance, lurching unbalanced, with a white marble statue;"," Jeden člověk tančí se sochou z bílého mramoru."
"raise","raise","vyzvedli","vyzvednout","pf"," And so I want the hawk to come down and peck some living part of me, or the soldiers to raise me up now, place an old tin helmet on my head, sponge some water into my mouth and stick a bayonet in my side ..."," Přál bych si třeba, aby dravec sletěl dolů a uklovl ze mě kus živého masa, nebo aby mě teď vojáci vyzvedli, nasadili mi na hlavu plechovou přilbu, vyždímali mi hubkou trochu vody do úst a vrazili mi do boku bajonet ..."
"stick","stick","vrazili","vrazit","pf"," And so I want the hawk to come down and peck some living part of me, or the soldiers to raise me up now, place an old tin helmet on my head, sponge some water into my mouth and stick a bayonet in my side ..."," Přál bych si třeba, aby dravec sletěl dolů a uklovl ze mě kus živého masa, nebo aby mě teď vojáci vyzvedli, nasadili mi na hlavu plechovou přilbu, vyždímali mi hubkou trochu vody do úst a vrazili mi do boku bajonet ..."
"walk","walk","kráčím","kráčet","impf"," I place her carefully on the bookcase shelf beside the arm of the statue then walk on, through the devastation."," opatrně ji stavím na polici knihovny vedle paže sochy a kráčím dál dílem zkázy."
"started","start","nezačaly","začít","pf"," The cold weather means the lieutenant ’ s trophies have not yet started to smell."," Díky chladnému počasí velitelčiny trofeje ještě nezačaly zavánět."
"leave","leave","Nechávám","nechávat","impf"," I leave them and the furry flag to their fixed contemplation of all things pendulous and pending and walk along the serried summit of the castle."," Nechávám je i osrstěnou standartu, ať si mluví do větru o věcech mezi nebem a zemí, a přecházím po stísněném zámeckém vrcholu."
"fly","fly","létat","létat","impf"," From these brave battlements with a chosen bird of prey I used to fly my spirit free."," Odtud z hrdého cimbuří jsem kdysi vypouštěl ušlechtilé dravce a s nimi nechával volně létat svého ducha."
"surveying","survey","pozoruje","pozorovat","impf"," Upon a high crest of moor, the lieutenant stands statuesque, field-glasses raised, surveying the plains, river, road and distant castle, seeking out her prey."," Velitelka stojí jako socha na vršku planiny, dalekohledem pozoruje roviny, řeku, silnici i vzdálený zámek a pátrá po kořisti."
"seeking","seek","pátrá","pátrat","impf"," Upon a high crest of moor, the lieutenant stands statuesque, field-glasses raised, surveying the plains, river, road and distant castle, seeking out her prey."," Velitelka stojí jako socha na vršku planiny, dalekohledem pozoruje roviny, řeku, silnici i vzdálený zámek a pátrá po kořisti."
"says","say","řekne","říci","pf"," ‘ There, ’ she says."," "" Tamhle, "" řekne."
"hands","hand","Podá","podat","pf"," She hands the binoculars to you."," Podá ti dalekohled."
"see","see","Vidíte","vidět","impf"," ‘ Can you see the castle?"," "" Vidíte zámek?"
"wear","wear","Máš","mít","impf"," You wear a hunting jacket, dark culottes, a practical hat and boots;"," Máš na sobě loveckou kamizolu, tmavou kalhotovou sukni, praktickou pokrývku hlavy i obuv;"
"go","go","odjet","odjet","pf"," Father made the point that we should all go;"," Otec prohlásil, že bychom měli odjet všichni;"
"screamed","scream","křičela","křičet","impf"," Mother screamed he would leave alone."," matka křičela, ať si jede sám."
"gazed","gaze","Díval","dívat","impf"," I gazed at the lashing drops sprinkling all around, at the slick, swollen curve of the ditch ’ s flank, bordered by a soaking skirt of heavy, drooping grass, at the darkly towering trees standing imperiously over me, at the thin, gauzy veils of rain still sweeping and drifting through the moistened forest, at the little silky rivulets of water running down over glistening, limb-like roots protruding from the earthy bank and flowing across the surface of the path like some rough, chill sweat of the land."," Díval jsem se, jak se všude kolem rozstřikují bičující kapky, hleděl jsem na kluzkou nabobtnalou křivku břehu příkopu, obroubenou lemem nasáklých, ztěžklých a svěšených travin, na temné stromy majestátně strmící nade mnou, na tenké průsvitné závoje deště nepřetržitě se ženoucí a vanoucí skrz zmáčený les, na drobné hedvábné stružky, jak stékají po lesklých kořenech vyčnívajících z rozbahněného břehu jako údy a řinou se přes cestu jako náhle vytrysknuvší pot země."
"gazed","gaze","hleděl","hledět","impf"," I gazed at the lashing drops sprinkling all around, at the slick, swollen curve of the ditch ’ s flank, bordered by a soaking skirt of heavy, drooping grass, at the darkly towering trees standing imperiously over me, at the thin, gauzy veils of rain still sweeping and drifting through the moistened forest, at the little silky rivulets of water running down over glistening, limb-like roots protruding from the earthy bank and flowing across the surface of the path like some rough, chill sweat of the land."," Díval jsem se, jak se všude kolem rozstřikují bičující kapky, hleděl jsem na kluzkou nabobtnalou křivku břehu příkopu, obroubenou lemem nasáklých, ztěžklých a svěšených travin, na temné stromy majestátně strmící nade mnou, na tenké průsvitné závoje deště nepřetržitě se ženoucí a vanoucí skrz zmáčený les, na drobné hedvábné stružky, jak stékají po lesklých kořenech vyčnívajících z rozbahněného břehu jako údy a řinou se přes cestu jako náhle vytrysknuvší pot země."
"hidden","hide","schováván","schovávat","impf"," the other – a mauvely fragrant tissue, hotly crumpled in Mother ’ s hand – had been hidden by Father, discovered by Mother, re-hidden by her and then revealed, minutes ago, in response."," druhý list - navoněné fialkové psaníčko, jež roznícené tiskla matčina ruka - byl nejdřív schováván otcem, poté nalezen matkou, která ho znovu ukryla a na oplátku před pár minutami vyjevila."
"hidden","hide","ukryla","ukrýt","pf"," the other – a mauvely fragrant tissue, hotly crumpled in Mother ’ s hand – had been hidden by Father, discovered by Mother, re-hidden by her and then revealed, minutes ago, in response."," druhý list - navoněné fialkové psaníčko, jež roznícené tiskla matčina ruka - byl nejdřív schováván otcem, poté nalezen matkou, která ho znovu ukryla a na oplátku před pár minutami vyjevila."
"think","think","myslím","myslet","impf"," To this day I think I was almost getting away with it until Father appeared squatting in front of me, his expression dark, his eyes stony."," Dodnes si myslím, že by mi to bylo prošlo, kdyby se ale neobjevil otec, nedřepl si ke mně a nezahleděl se na mě s potemnělým výrazem a kamenným pohledem."
"appeared","appear","neobjevil","objevit","pf"," To this day I think I was almost getting away with it until Father appeared squatting in front of me, his expression dark, his eyes stony."," Dodnes si myslím, že by mi to bylo prošlo, kdyby se ale neobjevil otec, nedřepl si ke mně a nezahleděl se na mě s potemnělým výrazem a kamenným pohledem."
"repeat","repeat","zopakovat","zopakovat","pf"," He had me repeat my story."," Nechal mě tu povídačku zopakovat."
"hesitating","hesitate","Váhal","váhat","impf"," I did so, hesitating, no longer quite so sure of myself."," Váhal jsem a už jsem nebyl tak sebejistý."
"said","say","Říkal","říkat","impf"," Had I said I ’ d climbed out via the bank?"," Říkal jsem, že jsem vylezl na břeh?"
"climbed","climb","vylezl","vylézt","pf"," Had I said I ’ d climbed out via the bank?"," Říkal jsem, že jsem vylezl na břeh?"
"meant","mean","chtěl","chtít","impf"," I meant the bridge."," Totiž, chtěl jsem říct na most."
"trying","try","snažím","snažit","impf"," Still clad in my sheet, I stand, trying not to shiver, on the battlements with the lieutenant and a group of her men."," Stojím s velitelkou a skupinou jejích mužů na cimbuří, stále oděn jen v prostěradle, a snažím se neklepat."
"says","say","říká","říkat","impf"," ‘ No sign, ’ she says."," "" Nikde nic, "" říká."
"moved","move","Pohnula","pohnout","pf"," She moved, making me move with her while the nurse tried to pry my fingers from her hip;"," Pohnula se a já musel s ní, zatímco se mi chůva snažila odloupat prsty z matčina boku."
"move","move","Pohnula","pohnout","pf"," She moved, making me move with her while the nurse tried to pry my fingers from her hip;"," Pohnula se a já musel s ní, zatímco se mi chůva snažila odloupat prsty z matčina boku."
"tried","try","snažila","snažit","impf"," She moved, making me move with her while the nurse tried to pry my fingers from her hip;"," Pohnula se a já musel s ní, zatímco se mi chůva snažila odloupat prsty z matčina boku."
"kicked","kick","kopal","kopat","impf"," I wailed, kicked at the nurse."," Vřískal jsem a kopal do chůvy."
"lost","lose","ztratil","ztratit","pf"," the birds we shot and I lost, all dead and wet, bedraggled, cold and slowly turning in our sustaining ring of water."," Ptáci, které jsme ulovili a já je pak ztratil, mrtví a mokří, ucouraní a studení, pomalu krouží v našem obranném prstenci vody."
"feel","feel","Cítím","cítit","impf"," I feel you nod to her."," Cítím, jak přikyvuješ."
"Thank","thank","Děkuju","děkovat","impf"," ‘ Thank you, Morgan, ’ the lieutenant says, and sounds well satisfied."," "" Děkuju vám, Morgan, "" říká podporučice velmi spokojeným hlasem."
"says","say","říká","říkat","impf"," ‘ Thank you, Morgan, ’ the lieutenant says, and sounds well satisfied."," "" Děkuju vám, Morgan, "" říká podporučice velmi spokojeným hlasem."
"shaking","shake","třesou","třást","impf"," my arms are shaking so hard I am certain they must buckle and give with the very next exertion."," ruce se mi třesou tak, až jsem si jistý, že s každým příštím vypětím musejí podlehnout a povolit."
"give","give","povolit","povolit","pf"," my arms are shaking so hard I am certain they must buckle and give with the very next exertion."," ruce se mi třesou tak, až jsem si jistý, že s každým příštím vypětím musejí podlehnout a povolit."
"Deciding","decide","Rozhodnu","rozhodnout","pf"," Deciding to rest, I push up with my shoulders and almost cry out when my head drops back, unsupported, and hits off horizontal stone."," Rozhodnu se odpočinout si, přitáhnu se rameny a málem vykřiknu, když se hlavou praštím o vodorovný kámen."
