"looked","look","pohlédli","pohlédnout","pf"," The two men looked at each other with a scare."," Oba na sebe vystrašeně pohlédli."
"smoke","smoke","kouří","kouřit","impf"," I had long since prepared my tincture; I purchased at once, from a firm of wholesale chemists, a large quantity of a particular salt, which I knew, from my experiments, to be the last ingredient required; and, late one accursed night, I compounded the elements, watched them boil and smoke together in the glass, and when the ebullition had subsided, with a strong glow of courage, drank off the potion."," Už dávno jsem si připravil potřebný roztok - nakoupil jsem v jednom drogistickém velkoskladu značné množství určité chemikálie, o níž jsem se při svých pokusech přesvědčil, že je poslední nutnou přísadou, a jednoho proklatého večera jsem v pozdních hodinách ty součástky smíchal ve skleněném poháru, pozoroval jsem, jak přitom vrou a jak se z nich kouří, a když vření ustalo, s odvážným zápalem jsem tu kapalinu vypil."
"subsided","subside","ustalo","ustat","pf"," I had long since prepared my tincture; I purchased at once, from a firm of wholesale chemists, a large quantity of a particular salt, which I knew, from my experiments, to be the last ingredient required; and, late one accursed night, I compounded the elements, watched them boil and smoke together in the glass, and when the ebullition had subsided, with a strong glow of courage, drank off the potion."," Už dávno jsem si připravil potřebný roztok - nakoupil jsem v jednom drogistickém velkoskladu značné množství určité chemikálie, o níž jsem se při svých pokusech přesvědčil, že je poslední nutnou přísadou, a jednoho proklatého večera jsem v pozdních hodinách ty součástky smíchal ve skleněném poháru, pozoroval jsem, jak přitom vrou a jak se z nich kouří, a když vření ustalo, s odvážným zápalem jsem tu kapalinu vypil."
"drank","drink","vypil","vypít","pf"," I had long since prepared my tincture; I purchased at once, from a firm of wholesale chemists, a large quantity of a particular salt, which I knew, from my experiments, to be the last ingredient required; and, late one accursed night, I compounded the elements, watched them boil and smoke together in the glass, and when the ebullition had subsided, with a strong glow of courage, drank off the potion."," Už dávno jsem si připravil potřebný roztok - nakoupil jsem v jednom drogistickém velkoskladu značné množství určité chemikálie, o níž jsem se při svých pokusech přesvědčil, že je poslední nutnou přísadou, a jednoho proklatého večera jsem v pozdních hodinách ty součástky smíchal ve skleněném poháru, pozoroval jsem, jak přitom vrou a jak se z nich kouří, a když vření ustalo, s odvážným zápalem jsem tu kapalinu vypil."
"consider","consider","pokládal","pokládat","impf"," And above all, since Guest, being a great student and critic of handwriting, would consider the step natural and obliging?"," Vždyť Guest horlivě studuje a dovede posuzovat rukopis, a tak by to snad pokládal za samozřejmost a velkou pozornost."
"remained","remain","zbylo","zbýt","pf"," Then I remembered that of my original character, one part remained to me :"," Pak jsem se upamatoval, že mi přece jen zbylo něco z mé původní osobnosti : mohl jsem psát svým rukopisem."
"arranged","arrange","upravil","upravit","pf"," Thereupon, I arranged my clothes as best I could, and summoning a passing hansom, drove to an hotel in Portland Street, the name of which I chanced to remember."," Poté jsem na sobě co nejlépe upravil oblek, zavolal jsem drožku, která náhodou jela kolem, a dal jsem se zavézt do jednoho hotelu v Portlandské ulici, na jehož název jsem si náhodou vzpomněl."
"summoning","summon","zavolal","zavolat","pf"," Thereupon, I arranged my clothes as best I could, and summoning a passing hansom, drove to an hotel in Portland Street, the name of which I chanced to remember."," Poté jsem na sobě co nejlépe upravil oblek, zavolal jsem drožku, která náhodou jela kolem, a dal jsem se zavézt do jednoho hotelu v Portlandské ulici, na jehož název jsem si náhodou vzpomněl."
"drove","drive","jela","jet","impf"," Thereupon, I arranged my clothes as best I could, and summoning a passing hansom, drove to an hotel in Portland Street, the name of which I chanced to remember."," Poté jsem na sobě co nejlépe upravil oblek, zavolal jsem drožku, která náhodou jela kolem, a dal jsem se zavézt do jednoho hotelu v Portlandské ulici, na jehož název jsem si náhodou vzpomněl."
"remember","remember","vzpomněl","vzpomenout","pf"," Thereupon, I arranged my clothes as best I could, and summoning a passing hansom, drove to an hotel in Portland Street, the name of which I chanced to remember."," Poté jsem na sobě co nejlépe upravil oblek, zavolal jsem drožku, která náhodou jela kolem, a dal jsem se zavézt do jednoho hotelu v Portlandské ulici, na jehož název jsem si náhodou vzpomněl."
"wakened","waken","neprobudil","probudit","pf"," It was in vain I looked about me; in vain I saw the decent furniture and tall proportions of my room in the square; in vain that I recognized the pattern of the bed curtains and the design of the mahogany frame; something still kept insisting that I was not where I was, that I had not wakened where I seemed to be, but in the little room in Soho where I was accustomed to sleep in the body of Edward Hyde."," Marně jsem se rozhlížel kolem sebe, marně jsem se ubezpečoval, že jsem ve své ložnici v domě na náměstí s vysokým stropem a slušným nábytkem, marně jsem poznával vzorek na závěsech kolem postele a vyřezávané ozdoby na mahagonu - pořád mi něco říkalo, že nejsem tam, kde jsem, že jsem se neprobudil tam, kde se mi zdá, že jsem, ale v pokojíku v Soho, kde jsem někdy spával v podobě Edwarda Hyda."
"seemed","seem","zdá","zdát","impf"," It was in vain I looked about me; in vain I saw the decent furniture and tall proportions of my room in the square; in vain that I recognized the pattern of the bed curtains and the design of the mahogany frame; something still kept insisting that I was not where I was, that I had not wakened where I seemed to be, but in the little room in Soho where I was accustomed to sleep in the body of Edward Hyde."," Marně jsem se rozhlížel kolem sebe, marně jsem se ubezpečoval, že jsem ve své ložnici v domě na náměstí s vysokým stropem a slušným nábytkem, marně jsem poznával vzorek na závěsech kolem postele a vyřezávané ozdoby na mahagonu - pořád mi něco říkalo, že nejsem tam, kde jsem, že jsem se neprobudil tam, kde se mi zdá, že jsem, ale v pokojíku v Soho, kde jsem někdy spával v podobě Edwarda Hyda."
"told","tell","Říkal","říkat","impf"," If each, I told myself, could but be housed in separate identities, life would be relieved of all that was unbearable; the unjust might go his way, delivered from the aspirations and remorse of his more upright twin; and the just could walk steadfastly and securely on his upward path, doing the good things in which he found his pleasure, and no longer exposed to disgrace and penitence by the hands of this extraneous evil."," Říkal jsem si : kdyby se každý z nich mohl vtělit v jiného jedince, zbavil by se život nesnesitelné trýzně - ten hříšný by si mohl jít svou cestou, osvobozený od ctižádostivých snů a výčitek svědomí svého ctnostnějšího dvojníka, a spravedlivý by mohl vytrvale a spolehlivě kráčet svou strmou stezkou, konat dobré skutky, v nichž nachází zalíbení, a nebyl by už vystaven hanbě a pokání za cizí hříchy."
"relieved","relieve","zbavil","zbavit","pf"," If each, I told myself, could but be housed in separate identities, life would be relieved of all that was unbearable; the unjust might go his way, delivered from the aspirations and remorse of his more upright twin; and the just could walk steadfastly and securely on his upward path, doing the good things in which he found his pleasure, and no longer exposed to disgrace and penitence by the hands of this extraneous evil."," Říkal jsem si : kdyby se každý z nich mohl vtělit v jiného jedince, zbavil by se život nesnesitelné trýzně - ten hříšný by si mohl jít svou cestou, osvobozený od ctižádostivých snů a výčitek svědomí svého ctnostnějšího dvojníka, a spravedlivý by mohl vytrvale a spolehlivě kráčet svou strmou stezkou, konat dobré skutky, v nichž nachází zalíbení, a nebyl by už vystaven hanbě a pokání za cizí hříchy."
"delivered","deliver","zbavil","zbavit","pf"," If each, I told myself, could but be housed in separate identities, life would be relieved of all that was unbearable; the unjust might go his way, delivered from the aspirations and remorse of his more upright twin; and the just could walk steadfastly and securely on his upward path, doing the good things in which he found his pleasure, and no longer exposed to disgrace and penitence by the hands of this extraneous evil."," Říkal jsem si : kdyby se každý z nich mohl vtělit v jiného jedince, zbavil by se život nesnesitelné trýzně - ten hříšný by si mohl jít svou cestou, osvobozený od ctižádostivých snů a výčitek svědomí svého ctnostnějšího dvojníka, a spravedlivý by mohl vytrvale a spolehlivě kráčet svou strmou stezkou, konat dobré skutky, v nichž nachází zalíbení, a nebyl by už vystaven hanbě a pokání za cizí hříchy."
"go","go","jít","jít","impf"," If each, I told myself, could but be housed in separate identities, life would be relieved of all that was unbearable; the unjust might go his way, delivered from the aspirations and remorse of his more upright twin; and the just could walk steadfastly and securely on his upward path, doing the good things in which he found his pleasure, and no longer exposed to disgrace and penitence by the hands of this extraneous evil."," Říkal jsem si : kdyby se každý z nich mohl vtělit v jiného jedince, zbavil by se život nesnesitelné trýzně - ten hříšný by si mohl jít svou cestou, osvobozený od ctižádostivých snů a výčitek svědomí svého ctnostnějšího dvojníka, a spravedlivý by mohl vytrvale a spolehlivě kráčet svou strmou stezkou, konat dobré skutky, v nichž nachází zalíbení, a nebyl by už vystaven hanbě a pokání za cizí hříchy."
