"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"shouting","shout","křičel","křičet","impf"," While she marched around the pool naked with a large group of other women, Tomas stood over them in a basket hanging from the pool 's arched roof, shouting at them, making them sing and do knee-bends."," Pochodovala kolem bazénu nahá se spoustou jiných nahých žen, Tomáš byl nahoře v koši zavěšeném pod klenbou plovárny, křičel na ně, nutil je zpívat a dělat dřepy."
"making","make","nutil","nutit","impf"," While she marched around the pool naked with a large group of other women, Tomas stood over them in a basket hanging from the pool 's arched roof, shouting at them, making them sing and do knee-bends."," Pochodovala kolem bazénu nahá se spoustou jiných nahých žen, Tomáš byl nahoře v koši zavěšeném pod klenbou plovárny, křičel na ně, nutil je zpívat a dělat dřepy."
"sing","sing","zpívat","zpívat","impf"," While she marched around the pool naked with a large group of other women, Tomas stood over them in a basket hanging from the pool 's arched roof, shouting at them, making them sing and do knee-bends."," Pochodovala kolem bazénu nahá se spoustou jiných nahých žen, Tomáš byl nahoře v koši zavěšeném pod klenbou plovárny, křičel na ně, nutil je zpívat a dělat dřepy."
"making","make","dělat","dělat","impf"," While she marched around the pool naked with a large group of other women, Tomas stood over them in a basket hanging from the pool 's arched roof, shouting at them, making them sing and do knee-bends."," Pochodovala kolem bazénu nahá se spoustou jiných nahých žen, Tomáš byl nahoře v koši zavěšeném pod klenbou plovárny, křičel na ně, nutil je zpívat a dělat dřepy."
"do","do","dělat","dělat","impf"," While she marched around the pool naked with a large group of other women, Tomas stood over them in a basket hanging from the pool 's arched roof, shouting at them, making them sing and do knee-bends."," Pochodovala kolem bazénu nahá se spoustou jiných nahých žen, Tomáš byl nahoře v koši zavěšeném pod klenbou plovárny, křičel na ně, nutil je zpívat a dělat dřepy."
"did","do","provedla","provést","pf"," The moment one of them did a faulty knee-bend, he would shoot her."," Když některá provedla cvik špatně, zastřelil ji."
"shoot","shoot","zastřelil","zastřelit","pf"," The moment one of them did a faulty knee-bend, he would shoot her."," Když některá provedla cvik špatně, zastřelil ji."
"return","return","vrátit","vrátit","pf"," Let me return to this dream."," Chci se k tomu snu ještě vrátit :"
"begin","begin","nezačala","začít","pf"," Its horror did not begin with Tomas 's first pistol shot;"," Jeho hrůza nezačala ve chvíli, kdy Tomáš vypálil první ránu."
"left","leave","Odjela","odjet","pf"," She had left because she lacked the strength to live abroad."," Odjela proto, že nemá sil žít v cizině."
"think","think","Myslila","myslit","impf"," She had been silly enough to think that going abroad would change her."," Myslila si bláhově, že cizina ji změní."
"change","change","změní","změnit","pf"," She had been silly enough to think that going abroad would change her."," Myslila si bláhově, že cizina ji změní."
"dying","die","umírali","umírat","impf"," Cambodia was racked by famine, and people were dying for want of medical care."," V Kambodži byl hladomor a lidé tam umírali bez lékařské péče."
"requested","request","žádala","žádat","impf"," An international medical committee had repeatedly requested permission to enter the country, but the Vietnamese had turned them down."," Mezinárodní organizace lékařů žádala už mnohokrát, aby jí byl do země povolen vstup, ale Vietnamci to odmítali."
"went","go","mířil","mířit","impf"," Once, when she went too far and took a close-up of an officer pointing his revolver at a group of people, she was arrested and kept overnight at Russian military headquarters."," Jednou, když si počínala příliš drze a fotografovala zblízka důstojníka, který mířil revolverem na lidi, zatkli ji a nechali přes noc na ruském velitelství."
"took","take","mířil","mířit","impf"," Once, when she went too far and took a close-up of an officer pointing his revolver at a group of people, she was arrested and kept overnight at Russian military headquarters."," Jednou, když si počínala příliš drze a fotografovala zblízka důstojníka, který mířil revolverem na lidi, zatkli ji a nechali přes noc na ruském velitelství."
"pointing","point","mířil","mířit","impf"," Once, when she went too far and took a close-up of an officer pointing his revolver at a group of people, she was arrested and kept overnight at Russian military headquarters."," Jednou, když si počínala příliš drze a fotografovala zblízka důstojníka, který mířil revolverem na lidi, zatkli ji a nechali přes noc na ruském velitelství."
"arrested","arrest","zatkli","zatknout","pf"," Once, when she went too far and took a close-up of an officer pointing his revolver at a group of people, she was arrested and kept overnight at Russian military headquarters."," Jednou, když si počínala příliš drze a fotografovala zblízka důstojníka, který mířil revolverem na lidi, zatkli ji a nechali přes noc na ruském velitelství."
"kept","keep","nechali","nechat","pf"," Once, when she went too far and took a close-up of an officer pointing his revolver at a group of people, she was arrested and kept overnight at Russian military headquarters."," Jednou, když si počínala příliš drze a fotografovala zblízka důstojníka, který mířil revolverem na lidi, zatkli ji a nechali přes noc na ruském velitelství."
"threatened","threaten","Vyhrožovali","vyhrožovat","impf"," There they threatened to shoot her, but no sooner did they let her go than she was back in the streets with her camera."," Vyhrožovali jí, že ji zastřelí, ale sotva ji pustili, odešla znovu do ulic a znovu fotografovala."
"shoot","shoot","zastřelí","zastřelit","pf"," There they threatened to shoot her, but no sooner did they let her go than she was back in the streets with her camera."," Vyhrožovali jí, že ji zastřelí, ale sotva ji pustili, odešla znovu do ulic a znovu fotografovala."
"go","go","odešla","odejít","pf"," There they threatened to shoot her, but no sooner did they let her go than she was back in the streets with her camera."," Vyhrožovali jí, že ji zastřelí, ale sotva ji pustili, odešla znovu do ulic a znovu fotografovala."
"shoot","shoot","fotografovala","fotografovat","impf"," There they threatened to shoot her, but no sooner did they let her go than she was back in the streets with her camera."," Vyhrožovali jí, že ji zastřelí, ale sotva ji pustili, odešla znovu do ulic a znovu fotografovala."
"opened","open","otevřela","otevřít","pf"," Her sleep must have been very light at the moment because she opened her eyes and gazed up at him questioningly."," Její spánek musil být v té chvíli velmi křehký, protože otevřela oči a vyjeveně se na něho podívala."
"looking","look","díváš","dívat","impf"," ' What are you looking at? ' she asked."," "" Kam se to díváš, "" ptala se."
"asked","ask","ptala","ptát","impf"," ' What are you looking at? ' she asked."," "" Kam se to díváš, "" ptala se."
"looking","look","Dívám","dívat","impf"," ' I 'm looking at the stars, ' he said."," "" Dívám se na hvězdy, "" řekl."
"said","say","řekl","říci","pf"," ' I 'm looking at the stars, ' he said."," "" Dívám se na hvězdy, "" řekl."
"looking","look","díváš","dívat","impf"," ' Do n't say you 're looking at the stars."," "" Nelži, že se díváš na hvězdy."
"bought","buy","koupili","koupit","pf"," In Prague, when Tomas and Tereza bought a new chair or moved a flower pot, Karenin would look on in displeasure."," Stačilo, že si v Praze koupili novou židli nebo přemístili květináč a Karenin to zaznamenal s nevolí."
"moved","move","přemístili","přemístit","pf"," In Prague, when Tomas and Tereza bought a new chair or moved a flower pot, Karenin would look on in displeasure."," Stačilo, že si v Praze koupili novou židli nebo přemístili květináč a Karenin to zaznamenal s nevolí."
"managed","manage","podařilo","podařit","pf"," Nonetheless, he soon managed to reestablish the old order and old rituals in the Zürich flat."," Přesto se mu podařilo brzy obnovit i v curyšském bytě starý řád a staré ceremonie."
"reestablish","reestablish","obnovit","obnovit","pf"," Nonetheless, he soon managed to reestablish the old order and old rituals in the Zürich flat."," Přesto se mu podařilo brzy obnovit i v curyšském bytě starý řád a staré ceremonie."
"went","go","Odcházel","odcházet","impf"," He went home wearing a sock on one foot and a wide-net stocking rolled down over his ankle on the other."," Odcházel domů a měl na jedné noze ponožku, na druhé nad kotníkem srolovanou bílou dámskou punčochu."
"wearing","wear","měl","mít","impf"," He went home wearing a sock on one foot and a wide-net stocking rolled down over his ankle on the other."," Odcházel domů a měl na jedné noze ponožku, na druhé nad kotníkem srolovanou bílou dámskou punčochu."
"assuage","assuage","zmírnil","zmírnit","pf"," To assuage Tereza 's sufferings, he married her ( they could finally give up the room, which she had not lived in for quite some time ) and gave her a puppy."," Aby zmírnil její trápeni, oženil se s ní ( mohli konečně zrušit podnájem, ve kterém už dávno nebydlela ) a obstaral jí štěně."
