"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"seems","seem","zdají","zdát","impf"," It 's a diabolical task, and the first and only thing I can say about it right now is that my life, my work, my position, everything I 've done, seems intertwined with a suspiciously large number of paradoxes."," První, co bych řekl, jsa postaven před tento trochu ďábelský úkol, a zároveň zřejmě to jediné, co jsem pro tuto chvíli schopen k tomu říct, je, že můj život, má práce, mé postavení a působení se mi zdají být utkány z podezřele velkého množství paradoxů."
"arrived","arrive","Dojeli","dojet","pf"," We arrived at Pankrác Prison in Prague ( a journey of about ninety miles from Pilzen ), they put me in the prison hospital, and I was in isolation - that is, alone in my cell, which was good."," Dojeli jsme na Pankrác, dali mě do vězeňské nemocnice, byl jsem jako obvykle v izolaci, to znamená sám na cele, což bylo dobré."
"put","put","dali","dát","pf"," We arrived at Pankrác Prison in Prague ( a journey of about ninety miles from Pilzen ), they put me in the prison hospital, and I was in isolation - that is, alone in my cell, which was good."," Dojeli jsme na Pankrác, dali mě do vězeňské nemocnice, byl jsem jako obvykle v izolaci, to znamená sám na cele, což bylo dobré."
"started","start","začali","začít","pf"," And there they gave me a thorough examination and started treatment."," Tam mě už začali pořádně vyšetřovat a léčit."
"think","think","Měl","mít","impf"," On top of it, I think I may have had pleurisy and some other related complications; at first there was talk of a kind of bubble in my lungs."," Měl jsem snad ještě zánět ( nebo zápal? ) pohrudnice a nějaké další přidružené komplikace, zprvu mluvili o jakési bublině."
"refused","refuse","Odmítl","odmítnout","pf"," I refused on the grounds that I could not prepare a congress for an institution that had banned our magazine."," Odmítl jsem to s tím, že nebudu chystat sjezd instituce, která nám zakázala časopis."
"prepare","prepare","chystat","chystat","impf"," I refused on the grounds that I could not prepare a congress for an institution that had banned our magazine."," Odmítl jsem to s tím, že nebudu chystat sjezd instituce, která nám zakázala časopis."
"banned","ban","zakázala","zakázat","pf"," I refused on the grounds that I could not prepare a congress for an institution that had banned our magazine."," Odmítl jsem to s tím, že nebudu chystat sjezd instituce, která nám zakázala časopis."
"behave","behave","chovat","chovat","impf"," And if one of the basic themes of my letters from prison is the question “ Why does one try to behave responsibly? ” then the conclusion I came to is only a reflection of my experience with myself, and not an intellectual enlightenment so powerful that it would be enough, in itself, to drive me to certain practical actions."," A je - li například jedním ze základních témat mých dopisů z vězení otázka, proč se člověk vlastně snaží chovat odpovědně, pak to, k čemu dospívám, je jen reflexe mé zkušenosti se sebou samým, nikoli tedy intelektuální osvícení tak mocné, že by mne bylo schopno bez dalšího přimět k určitým praktickým činům."
"thought","think","přemýšlel","přemýšlet","impf"," A slightly different question : have you ever thought seriously about committing suicide?"," Trochu jiná otázka : přemýšlel jste někdy v životě vážněji o sebevraždě?"
"forgotten","forget","zapomněl","zapomenout","pf"," Have I forgotten anything?"," Přemýšlím, na co jsem zapomněl."
"think","think","myslíte","myslet","impf"," What do you think is awaiting you?"," Co myslíte, že vás čeká?"
"awaiting","await","čeká","čekat","impf"," What do you think is awaiting you?"," Co myslíte, že vás čeká?"
"hope","hope","doufáte","doufat","impf"," What do you hope for, and what do you expect?"," V co doufáte a co očekáváte?"
"expect","expect","doufáte","doufat","impf"," What do you hope for, and what do you expect?"," V co doufáte a co očekáváte?"
"expect","expect","očekáváte","očekávat","impf"," What do you hope for, and what do you expect?"," V co doufáte a co očekáváte?"
"continue","continue","pokračovat","pokračovat","impf"," The paradoxes will continue."," Myslím, že paradoxy budou pokračovat."
"fallen","fall","padl","padnout","pf"," Stalin had fallen from grace; Hungary was bleeding in revolution; in Poland, Gomulka had virtually been brought straight out of jail and put on the throne; and no one knew where it was all heading, what still applied and what no longer did, and what one should think of it all."," Stalin padl, v Maďarsku krvácela revoluce, v Polsku usedal na trůn téměř z kriminálu přivezený Gomulka, nebylo jasné, kam se to všechno vlastně řítí, co platí a co neplatí, co si o tom všem myslet;"
"think","think","myslet","myslet","impf"," Stalin had fallen from grace; Hungary was bleeding in revolution; in Poland, Gomulka had virtually been brought straight out of jail and put on the throne; and no one knew where it was all heading, what still applied and what no longer did, and what one should think of it all."," Stalin padl, v Maďarsku krvácela revoluce, v Polsku usedal na trůn téměř z kriminálu přivezený Gomulka, nebylo jasné, kam se to všechno vlastně řítí, co platí a co neplatí, co si o tom všem myslet;"
"appear","appear","vznikala","vznikat","impf"," What was the situation like in theatre in the late 1950s, about the time when the first small theatres began to appear in Prague?"," Měl byste chuť si zavzpomínat, jaká byla v divadlech situace koncem padesátých let, tedy v době, kdy vznikala v Praze první malá divadélka?"
"thinking","think","měli","mít","impf"," They felt they should n't be publishing something that was so far from their way of thinking and, what was more, something they could not possibly defend before the bureaucracy."," měli pocit, že oni nemohou vydávat něco, co je jim tak vzdálené, a ještě to - jak vlastně? - obhajovat před byrokracií;"
"publishing","publish","vydávat","vydávat","impf"," They felt they should n't be publishing something that was so far from their way of thinking and, what was more, something they could not possibly defend before the bureaucracy."," měli pocit, že oni nemohou vydávat něco, co je jim tak vzdálené, a ještě to - jak vlastně? - obhajovat před byrokracií;"
"defend","defend","obhajovat","obhajovat","impf"," They felt they should n't be publishing something that was so far from their way of thinking and, what was more, something they could not possibly defend before the bureaucracy."," měli pocit, že oni nemohou vydávat něco, co je jim tak vzdálené, a ještě to - jak vlastně? - obhajovat před byrokracií;"
"paying","pay","platí","platit","impf"," The leading people in the Union must have felt that they were paying for their own liquidation."," vedoucí lidé ve Svazu měli dojem, že si platí své vlastní likvidátory."
"explain","explain","vysvětlit","vysvětlit","pf"," It 's difficult to explain, but without the laughter we would simply be unable to do the serious things."," Těžko jim asi vysvětlit, že bez toho smíchu bychom ty vážné věci prostě nemohli dělat."
