"trying","try","pokusila","pokusit","pf"," By that time, all three were trying to catch it and help me out by lightening the load."," Na tomto místě se medvíďata pokusila ocas chytit a odlehčit mi tak od nákladu."
"take","take","přinesl","přinést","pf"," On the days that I could get out there, I would meet Squirty at the Lambert clearing at a specific time to give her a small bag of corn which she had to take directly out of my hand, a way to maintain my relationship with her without attracting other bears by leaving the food on the ground."," Během dní, kdy jsem měl možnost dostat se na mýtinu na Lambertu, chodíval jsem za Drobnou v určitou dobu a pokaždé jí přinesl malý sáček kukuřice, kterou mi však musela jíst přímo z ruky, abychom tak udrželi náš přátelský vztah a nelákali přitom další medvědy tím, že pokládáme jídlo na zem."
"take","take","jíst","jíst","impf"," On the days that I could get out there, I would meet Squirty at the Lambert clearing at a specific time to give her a small bag of corn which she had to take directly out of my hand, a way to maintain my relationship with her without attracting other bears by leaving the food on the ground."," Během dní, kdy jsem měl možnost dostat se na mýtinu na Lambertu, chodíval jsem za Drobnou v určitou dobu a pokaždé jí přinesl malý sáček kukuřice, kterou mi však musela jíst přímo z ruky, abychom tak udrželi náš přátelský vztah a nelákali přitom další medvědy tím, že pokládáme jídlo na zem."
"maintain","maintain","udrželi","udržet","pf"," On the days that I could get out there, I would meet Squirty at the Lambert clearing at a specific time to give her a small bag of corn which she had to take directly out of my hand, a way to maintain my relationship with her without attracting other bears by leaving the food on the ground."," Během dní, kdy jsem měl možnost dostat se na mýtinu na Lambertu, chodíval jsem za Drobnou v určitou dobu a pokaždé jí přinesl malý sáček kukuřice, kterou mi však musela jíst přímo z ruky, abychom tak udrželi náš přátelský vztah a nelákali přitom další medvědy tím, že pokládáme jídlo na zem."
"seen","see","neviděl","vidět","impf"," I had n't seen Snowy for about a month, but she knew my schedule, too."," Sněžinku jsem neviděl už téměř měsíc, ale také ona znala můj pracovní program."
"pleased","please","potěšen","potěšit","pf"," So I was pleased but not surprised when she showed up on August 20, 2001;"," A tak jsem byl potěšen, ale nikoli překvapen, když se dvacátého srpna roku 2001 ukázala sama;"
"surprised","surprise","překvapen","překvapit","pf"," So I was pleased but not surprised when she showed up on August 20, 2001;"," A tak jsem byl potěšen, ale nikoli překvapen, když se dvacátého srpna roku 2001 ukázala sama;"
"showed","show","ukázala","ukázat","pf"," So I was pleased but not surprised when she showed up on August 20, 2001;"," A tak jsem byl potěšen, ale nikoli překvapen, když se dvacátého srpna roku 2001 ukázala sama;"
"wait","wait","čekat","čekat","impf"," I had to wait patiently for her to calm down, and even then I had to get LB to follow me to the cage before she was willing to come down and join us."," Nezbylo mi, než trpělivě čekat, až se malá medvědí slečna uklidní, a dokonce i pak jsem musel nejdříve zavolat MH, aby mne následoval do klece, dřív nebyla MD ochotná slézt dolů a přidat se k nám."
"calm","calm","uklidní","uklidnit","pf"," I had to wait patiently for her to calm down, and even then I had to get LB to follow me to the cage before she was willing to come down and join us."," Nezbylo mi, než trpělivě čekat, až se malá medvědí slečna uklidní, a dokonce i pak jsem musel nejdříve zavolat MH, aby mne následoval do klece, dřív nebyla MD ochotná slézt dolů a přidat se k nám."
"follow","follow","následoval","následovat","impf"," I had to wait patiently for her to calm down, and even then I had to get LB to follow me to the cage before she was willing to come down and join us."," Nezbylo mi, než trpělivě čekat, až se malá medvědí slečna uklidní, a dokonce i pak jsem musel nejdříve zavolat MH, aby mne následoval do klece, dřív nebyla MD ochotná slézt dolů a přidat se k nám."
"join","join","přidat","přidat","pf"," I had to wait patiently for her to calm down, and even then I had to get LB to follow me to the cage before she was willing to come down and join us."," Nezbylo mi, než trpělivě čekat, až se malá medvědí slečna uklidní, a dokonce i pak jsem musel nejdříve zavolat MH, aby mne následoval do klece, dřív nebyla MD ochotná slézt dolů a přidat se k nám."
"saw","see","zahlédnout","zahlédnout","pf"," I never saw any of the bears themselves, but I found tracks of different sizes in various places, all within fifty yards of the cage."," Nepodařilo se mi sice žádného zahlédnout, ale na mnoha místech v okruhu zhruba padesáti stop od klece jsem našel stopy rozmanitých velikostí."
"found","find","našel","najít","pf"," I never saw any of the bears themselves, but I found tracks of different sizes in various places, all within fifty yards of the cage."," Nepodařilo se mi sice žádného zahlédnout, ale na mnoha místech v okruhu zhruba padesáti stop od klece jsem našel stopy rozmanitých velikostí."
"guide","guide","řídili","řídit","impf"," The experience was just too novel to them individually, and there could n't be any evolutionary selection for wild bears dealing with mirrors, so they would have no instincts to guide them."," Zpočátku jsem si myslel, že odpověď zní zcela jednoznačně ´ne´. Zážitek byl pro každého z nich příliš nový, a protože neexistuje žádný evoluční výběr pro medvědy, kteří umí používat zrcadla, nemohou medvědi vlastnit žádné pudy, kterými by se v této situaci řídili."
"explore","explore","zkoumají","zkoumat","impf"," So they looked around the mirror the way they would explore any obstacle that separated them from another bear."," Proto obhlíželi zrcadlo stejně, jako zkoumají kteroukoli překážku, která je odděluje od druhého medvěda."
"separated","separate","odděluje","oddělovat","impf"," So they looked around the mirror the way they would explore any obstacle that separated them from another bear."," Proto obhlíželi zrcadlo stejně, jako zkoumají kteroukoli překážku, která je odděluje od druhého medvěda."
"trying","try","snažili","snažit","impf"," Whether or not they were trying to see how another bear got in there, or whether or not they were trying to figure out what was blocking the scent, or what any of the possibilities were, nobody can say for sure."," Zda se snažili pochopit, jak se druhý medvěd dostal dovnitř, či zda se pokoušeli rozluštit, co zarazilo pach, nebo zjišťovali další možnosti, to nemůže nikdo s jistotou tvrdit."
"trying","try","snažili","snažit","impf"," Whether or not they were trying to see how another bear got in there, or whether or not they were trying to figure out what was blocking the scent, or what any of the possibilities were, nobody can say for sure."," Zda se snažili pochopit, jak se druhý medvěd dostal dovnitř, či zda se pokoušeli rozluštit, co zarazilo pach, nebo zjišťovali další možnosti, to nemůže nikdo s jistotou tvrdit."
"see","see","pochopit","pochopit","pf"," Whether or not they were trying to see how another bear got in there, or whether or not they were trying to figure out what was blocking the scent, or what any of the possibilities were, nobody can say for sure."," Zda se snažili pochopit, jak se druhý medvěd dostal dovnitř, či zda se pokoušeli rozluštit, co zarazilo pach, nebo zjišťovali další možnosti, to nemůže nikdo s jistotou tvrdit."
"got","get","pochopit","pochopit","pf"," Whether or not they were trying to see how another bear got in there, or whether or not they were trying to figure out what was blocking the scent, or what any of the possibilities were, nobody can say for sure."," Zda se snažili pochopit, jak se druhý medvěd dostal dovnitř, či zda se pokoušeli rozluštit, co zarazilo pach, nebo zjišťovali další možnosti, to nemůže nikdo s jistotou tvrdit."
"got","get","dostal","dostat","pf"," Whether or not they were trying to see how another bear got in there, or whether or not they were trying to figure out what was blocking the scent, or what any of the possibilities were, nobody can say for sure."," Zda se snažili pochopit, jak se druhý medvěd dostal dovnitř, či zda se pokoušeli rozluštit, co zarazilo pach, nebo zjišťovali další možnosti, to nemůže nikdo s jistotou tvrdit."
"trying","try","pokoušeli","pokoušet","impf"," Whether or not they were trying to see how another bear got in there, or whether or not they were trying to figure out what was blocking the scent, or what any of the possibilities were, nobody can say for sure."," Zda se snažili pochopit, jak se druhý medvěd dostal dovnitř, či zda se pokoušeli rozluštit, co zarazilo pach, nebo zjišťovali další možnosti, to nemůže nikdo s jistotou tvrdit."
"trying","try","pokoušeli","pokoušet","impf"," Whether or not they were trying to see how another bear got in there, or whether or not they were trying to figure out what was blocking the scent, or what any of the possibilities were, nobody can say for sure."," Zda se snažili pochopit, jak se druhý medvěd dostal dovnitř, či zda se pokoušeli rozluštit, co zarazilo pach, nebo zjišťovali další možnosti, to nemůže nikdo s jistotou tvrdit."
