"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"provided","provide","zajistili","zajistit","pf"," In addition to exclusively broadcasting the camerlegno 's address, she and Glick had provided the world with gruesome photos of the cardinals and of the Pope - THAT TONGUE! - as well as a live video feed of the antimatter canister counting down."," Kromě toho, že spolu zajistili exkluzivní přenos camerlengova projevu, pořídili a celému světu dali k dispozici děsivé pohledy na zmrzačené kardinály a na papeže - ten jazyk! - a odeslali živě natočené záběry kanystru odpočítávajícího dobu zbývající do výbuchu antihmoty."
"wanted","want","potřebovali","potřebovat","impf"," The Illuminati wanted new blood, but they could not afford to risk their secrecy by making their whereabouts known. ”"," Ilumináti potřebovali novou krev, ale místo svých schůzek tajili, protože se obávali, že by se tím prozradili. """
"say","say","řekli","říci","pf"," A catch-22, as we would say. ”"," Něco jako Hlava 22, řekli bychom my. """
"heard","hear","slyšel","slyšet","impf"," OF COURSE I have heard of the Illuminati."," Samozřejmě, že jsem o iluminátech slyšel."
"changed","change","změnil","změnit","pf"," “ I am having a difficult time accepting that the Illuminati are still active, and yet the appearance of this brand combined with the fact that the Illuminati have a well-known covenant against Vatican City has changed my mind. ”"," "" Dlouho jsem nechtěl uvěřit tomu, že by mohli být dosud činní, ale tento vypálený cejch spolu s faktem, že ilumináti jsou zapřisáhlí nepřátelé Vatikánu, můj názor změnil. """
"rest","rest","opřeli","opřít","pf"," The men dug in again, and with an almost primal growl of stone on stone, the lid rotated off the top of the tomb and came to rest at an angle - the Pope 's carved head now pushed back into the niche and his feet extended out into the hallway."," Muži se znovu opřeli, a se skřípěním, jak se třel kámen o kámen, se víko otočilo tak, že hlava sochy směřovala do výklenku a nohy do chodby."
"rotated","rotate","otočilo","otočit","pf"," The men dug in again, and with an almost primal growl of stone on stone, the lid rotated off the top of the tomb and came to rest at an angle - the Pope 's carved head now pushed back into the niche and his feet extended out into the hallway."," Muži se znovu opřeli, a se skřípěním, jak se třel kámen o kámen, se víko otočilo tak, že hlava sochy směřovala do výklenku a nohy do chodby."
"aimed","aim","Namířil","namířit","pf"," Then he aimed it into the tomb."," Namířil její paprsek do rakve."
"meeting","meet","sešli","sejít","pf"," Thousands of miles away, two men were meeting."," Tisíce kilometrů odtud se sešli dva muži."
"replied","reply","odpověděla","odpovědět","pf"," “ SI, ” the dark figure replied."," "" Si "" odpověděla tmavá postava."
"asked","ask","žádal","žádat","impf"," Do you have what I asked for? ”"," Máte to, oč jsem vás žádal? """
"repeated","repeat","opakoval","opakovat","impf"," “ The PREFERITI, ” Mortati repeated."," "" Preferiti, "" opakoval Mortati."
"shared","share","Sdílel","sdílet","impf"," “ I shared their pain, ” the camerlegno defended, motioning to his chest."," "" Sdílel jsem s nimi jejich bolest, "" bránil se camerlengo, ukazuje na vlastní hruď."
"defended","defend","bránil","bránit","impf"," “ I shared their pain, ” the camerlegno defended, motioning to his chest."," "" Sdílel jsem s nimi jejich bolest, "" bránil se camerlengo, ukazuje na vlastní hruď."
"die","die","zahynu","zahynout","pf"," “ And I too would die for God, but my work is only just begun."," "" Také já zahynu pro slávu Boží, mé dílo je však teprve v počátcích."
"singing","sing","zpívají","zpívat","impf"," They are singing in St. Peter 's Square! ”"," Na Svatopetrském náměstí zpívají! """
"felt","feel","cítil","cítit","impf"," The camerlegno saw the horror in Mortati 's eyes and again felt confused."," Camerlengovi neuniklo zděšení v Mortatiho očích, a znovu se cítil zmaten."
"looking","look","díval","dívat","impf"," Mortati was looking at him as if the camerlegno himself had killed these men with his bare hands."," Starý kardinál se na něho díval tak, jako kdyby ty muže camerlengo zabil sám, vlastníma rukama."
"killed","kill","zabil","zabít","pf"," Mortati was looking at him as if the camerlegno himself had killed these men with his bare hands."," Starý kardinál se na něho díval tak, jako kdyby ty muže camerlengo zabil sám, vlastníma rukama."
"facing","face","čelil","čelit","impf"," Not only was he facing the most devastating threat in Vatican history, but he was doing it without his mentor and friend ... flying solo."," Camerlengo, který čelil nejstrašnější hrozbě, jakou kdy Vatikán poznal, se ocitl bez svého rádce a přítele ... odkázán jen sám na sebe."
"slowed","slow","zpomalili","zpomalit","pf"," The guards slowed now, as if unsure where exactly in the darkness the most recent Pope was buried."," Vojáci nyní zpomalili, jako kdyby si nebyli jistí, kde v té temnotě leží pohřben nedávno zemřelý papež."
"buried","bury","pohřben","pohřbít","pf"," The guards slowed now, as if unsure where exactly in the darkness the most recent Pope was buried."," Vojáci nyní zpomalili, jako kdyby si nebyli jistí, kde v té temnotě leží pohřben nedávno zemřelý papež."
"continued","continue","pokračoval","pokračovat","impf"," The camerlegno continued assuredly and stopped before a marble tomb that seemed to glisten brighter than the others."," Camerlengo však pokračoval bez zaváhání a zastavil se až před mramorovou hrobkou, která se leskla zářivěji než ostatní."
"glisten","glisten","leskla","lesknout","impf"," The camerlegno continued assuredly and stopped before a marble tomb that seemed to glisten brighter than the others."," Camerlengo však pokračoval bez zaváhání a zastavil se až před mramorovou hrobkou, která se leskla zářivěji než ostatní."
"Lying","lie","ležela","ležet","impf"," Lying atop was a carved figure of the late Pope."," I zde ležela na víku socha zesnulého papeže."
"read","read","přečíst","přečíst","pf"," “ Only what I had time to read on your website."," "" Jenom to, co jsem měl čas si přečíst na vašich webových stránkách."
"means","mean","znamená","znamenat","impf"," The word ILLUMINATI means ‘ the enlightened ones. ’"," Že slovo Illuminati znamená Osvícení."
"nodded","nod","přikývl","přikývnout","pf"," Langdon nodded."," Langdon přikývl."
"heard","hear","slyšel","slyšet","impf"," “ Had you heard the name before? ”"," "" Už jste někdy předtím to jméno slyšel? """
"wondered","wonder","uvažoval","uvažovat","impf"," Langdon wondered what secrets this place could possibly hold to justify cutting out someone 's eye to gain entrance."," Langdon uvažoval, jaká asi tajemství může skrývat, když někomu stálo za to vyříznout jinému oko, jen aby se dostal dovnitř."
"gain","gain","dostal","dostat","pf"," Langdon wondered what secrets this place could possibly hold to justify cutting out someone 's eye to gain entrance."," Langdon uvažoval, jaká asi tajemství může skrývat, když někomu stálo za to vyříznout jinému oko, jen aby se dostal dovnitř."
"moved","move","pohybovala","pohybovat","impf"," Vittoria moved slowly too ... as if the lab felt unknown without her father there."," Také Vittoria se pohybovala pomalu, jako by pro ni laboratoř bez otce byla úplně cizím, neznámým územím."
"rose","rise","vystupovaly","vystupovat","impf"," Langdon 's gaze landed immediately in the center of the room, where a series of short pillars rose from the floor."," Langdonův pohled upoutal rázem střed místnosti, kde z podlahy vystupovaly krátké sloupky."
"spoke","speak","promluvil","promluvit","pf"," Kohler spoke as though emerging from a fog."," Kohler promluvil, jako by se právě vynořil z mlh."
"sounded","sound","zněl","znít","impf"," His voice sounded suddenly precarious."," Jeho hlas zněl náhle nejistě."
"scowled","scowl","zamračil","zamračit","pf"," Kohler scowled."," Kohler se zamračil."
"Let","let","Dovolte","dovolit","pf"," Let me lay you a fire. ”"," Dovolte, abych zapálil v krbu. """
"smiled","smile","usmál","usmát","pf"," The camerlegno smiled tiredly."," Camerlengo se unaveně usmál."
"Thank","thank","Děkuji","děkovat","impf"," “ Thank you."," "" Děkuji."
"Thank","thank","děkuji","děkovat","impf"," Thank you, very much. ”"," Mnohokrát děkuji. """
"left","leave","opouštěl","opouštět","impf"," Rocher exited the Pope 's office where he had left the camerlegno praying by firelight in front of a small statue of the Blessed Mother Mary."," Rocher opouštěl papežovu pracovnu, kde zanechal camerlegna v modlitbách, vkleče ve světle krbu před drobnou soškou Panny Marie."
"left","leave","zanechal","zanechat","pf"," Rocher exited the Pope 's office where he had left the camerlegno praying by firelight in front of a small statue of the Blessed Mother Mary."," Rocher opouštěl papežovu pracovnu, kde zanechal camerlegna v modlitbách, vkleče ve světle krbu před drobnou soškou Panny Marie."
"created","create","stvořil","stvořit","pf"," “ The Bible, of course, states that God created the universe, ” she explained."," "" Bible samozřejmě tvrdí, že svět stvořil Bůh "", vysvětlovala."
"explained","explain","vysvětlovala","vysvětlovat","impf"," “ The Bible, of course, states that God created the universe, ” she explained."," "" Bible samozřejmě tvrdí, že svět stvořil Bůh "", vysvětlovala."
"said","say","pravil","pravit","pf"," “ God said, ‘ Let there be light, ’ and everything we see appeared out of a vast emptiness."," "" Bůh pravil ' Budiž světlo ', a vše, co vidíme, se vynořilo z rozsáhlé prázdnoty."
"see","see","vidíme","vidět","impf"," “ God said, ‘ Let there be light, ’ and everything we see appeared out of a vast emptiness."," "" Bůh pravil ' Budiž světlo ', a vše, co vidíme, se vynořilo z rozsáhlé prázdnoty."
"created","create","vytvořit","vytvořit","pf"," Unfortunately, one of the fundamental laws of physics states that matter cannot be created out of nothing. ”"," Naneštěstí jeden ze základních zákonů fyziky praví, že hmotu nelze vytvořit z ničeho. """
"gathered","gather","shromáždili","shromáždit","pf"," Following tradition, the cardinals gathered here two hours before conclave to catch up with friends and engage in last-minute discussion."," Věrni tradici se zde kardinálové shromáždili už dvě hodiny před zahájením konkláve, aby se pozdravili s přáteli a na poslední chvíli ještě diskutovali o následující volbě."
"arrive","arrive","přijde","přijít","pf"," At 7 P.M., the late Pope 's chamberlain would arrive, give opening prayer, and then leave."," V sedm hodin večer přijde komoří bývalého papeže, pronese zahajovací modlitbu a odejde."
"leave","leave","odejde","odejít","pf"," At 7 P.M., the late Pope 's chamberlain would arrive, give opening prayer, and then leave."," V sedm hodin večer přijde komoří bývalého papeže, pronese zahajovací modlitbu a odejde."
"begin","begin","začne","začít","pf"," It was then that the oldest and most secretive political ritual in the world would begin."," Teprve potom začne nejstarší a nejtajnější politický rituál na světě."
