"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"enjoy","enjoy","vychutnávat","vychutnávat","impf"," And as the photon storms gather in swirling crowds around us, preparing to tear apart the last of the red hot suns, I know you ’ re all going to settle back and enjoy with me what I know we will find all an immensely exciting and terminal experience. ”"," A zatímco kolem nás zuří fotonové bouře v děsivých smrštích a chystají se rozervat zbytky rudě žhnoucích sluncí, vy se jistě pěkně usadíte a budete se mnou vychutnávat to, co určitě bude nám všem připadat jako nesmírně vzrušující, absolutní podívaná. """
"concentrate","concentrate","soustřeďme","soustředit","pf"," Now concentrate! ”"," A teď už se soustřeďme! """
"doing","do","děláme","dělat","impf"," “ Why, ” said Arthur Dent, “ are we doing this? ”"," "" Proč to vlastně děláme? "" zeptal se Arthur."
"suggested","suggest","navrhl","navrhnout","pf"," “ Shut up, ” suggested Zaphod Beeblebrox."," "" Drž hubu, "" navrhl Zafod."
"said","say","neříkala","říkat","impf"," Trillian said nothing."," Trillian neříkala nic."
"say","say","říct","říci","pf"," What, she thought, was there to say?"," Dá se k tomu něco říct? myslela si."
"thought","think","myslela","myslet","impf"," What, she thought, was there to say?"," Dá se k tomu něco říct? myslela si."
"decided","decide","Rozhodl","rozhodnout","pf"," He decided he ’ d better be a little stronger on the subject."," Rozhodl se, že se nedá odvést od tématu."
"bring","bring","přináším","přinášet","impf"," Instead I bring you news ... ”"," Zato vám ale přináším informaci ... """
"bring","bring","Přináším","přinášet","impf"," “ I bring you news, ” he said, “ of a discovery that might interest you. ”"," "" Přináším vám informaci o objevu, který by vás mohl zajímat. """
"serve","serve","obsluhovat","obsluhovat","impf"," “ Aha, ha, ” he said, “ Sir is most evidently alive, otherwise I would not attempt to serve sir. ”"," "" Haha, pán je velmi viditelně naživu, jinak bych se pána nesnažil obsluhovat. """
"decided","decide","rozhodl","rozhodnout","pf"," At this point he decided he would not wait all day after all, he would merely pretend that the last half hour hadn ’ t happened."," Právě v tuto chvíli se však rozhodl, že přece jen celý den čekat nebude, že prostě bude předstírat, že poslední půlhodina nebyla."
"wait","wait","čekat","čekat","impf"," At this point he decided he would not wait all day after all, he would merely pretend that the last half hour hadn ’ t happened."," Právě v tuto chvíli se však rozhodl, že přece jen celý den čekat nebude, že prostě bude předstírat, že poslední půlhodina nebyla."
"pretend","pretend","předstírat","předstírat","impf"," At this point he decided he would not wait all day after all, he would merely pretend that the last half hour hadn ’ t happened."," Právě v tuto chvíli se však rozhodl, že přece jen celý den čekat nebude, že prostě bude předstírat, že poslední půlhodina nebyla."
"rose","rise","Povstal","povstat","pf"," He rose to his feet."," Povstal."
"said","say","řekl","říci","pf"," “ If, ” he said tersely, “ we could for a moment move on to the subject of fiscal policy ... ”"," "" Kdybychom mohli na chvíli přesunout pozornost k otázkám fiskální politiky ..., "" řekl stroze."
"copied","copy","napodobit","napodobit","pf"," The Management Consultant gave him a look that only a lungfish could have copied."," Pracovník v řídícím aparátu na něj vrhl pohled, jaký by dokázala napodobit jen Latimerie podivná."
"talking","talk","mluví","mluvit","impf"," “ Why does that man keep talking in numbers? ” he said."," "" Proč ten člověk pořád mluví v číslech? """
"said","say","mluví","mluvit","impf"," “ Why does that man keep talking in numbers? ” he said."," "" Proč ten člověk pořád mluví v číslech? """
"gazed","gaze","zírali","zírat","impf"," They gazed a little longer, till Zaphod suddenly pulled himself together."," Ještě chvíli zírali, pak se však Zafod vzpamatoval."
"said","say","řekl","říci","pf"," “ We better shift soon, ” he said."," "" Měli bychom se radši odsunout, "" řekl rázně."
"do","do","provést","provést","pf"," “ How do we do it? ”"," "" Jenže jak to provést? """
"do","do","provést","provést","pf"," “ How do we do it? ”"," "" Jenže jak to provést? """
"designed","design","navrhoval","navrhovat","impf"," “ Perhaps whoever designed it had eyes that responded to different wavelengths, ” offered Trillian."," "" Možná ji navrhoval někdo, jehož oči reagovaly na jiné vlnové délky, "" spekulovala Trillian."
"offered","offer","navrhoval","navrhovat","impf"," “ Perhaps whoever designed it had eyes that responded to different wavelengths, ” offered Trillian."," "" Možná ji navrhoval někdo, jehož oči reagovaly na jiné vlnové délky, "" spekulovala Trillian."
"chosen","choose","zvolili","zvolit","pf"," In fact, though they weren ’ t to know it, the decor had been chosen in honour of its owner ’ s sad, lamented, and tax-deductible condition."," Ve skutečnosti - to se však nikdy neměli dozvědět - zvolili návrháři černou, aby vzdali čest truchlivému, politováníhodnému a z daní odečtitelnému stavu majitele lodi."
"slept","sleep","spali","spát","impf"," Cool though the night air was they slept soundly and comfortably in the open and awoke a few hours later with the light dewfall feeling refreshed but hungry."," Přes svěží noční chlad spali zdravě a pohodlně, dokud se po několika hodinách neprobudili lehkou rosou, svěží, ale hladoví."
"awoke","awake","neprobudili","probudit","pf"," Cool though the night air was they slept soundly and comfortably in the open and awoke a few hours later with the light dewfall feeling refreshed but hungry."," Přes svěží noční chlad spali zdravě a pohodlně, dokud se po několika hodinách neprobudili lehkou rosou, svěží, ale hladoví."
"thought","think","uvažoval","uvažovat","impf"," Ford paused and thought to himself."," Ford se odmlčel a v duchu uvažoval."
"appeared","appear","hrál","hrát","impf"," He also appeared to be playing with a rubber duck."," Občas si hrál s gumovou kachničkou."
"playing","play","hrál","hrát","impf"," He also appeared to be playing with a rubber duck."," Občas si hrál s gumovou kachničkou."
"do","do","dělá","dělat","impf"," How do you know he knows you to be kind, or enjoys what he thinks of as your kindness? ”"," Jak víte, že ví, že jste laskavý, nebo že mu dělá dobře to, co považuje za vaši laskavost? """
"thinks","think","považuje","považovat","impf"," How do you know he knows you to be kind, or enjoys what he thinks of as your kindness? ”"," Jak víte, že ví, že jste laskavý, nebo že mu dělá dobře to, co považuje za vaši laskavost? """
"behave","behave","chovat","chovat","impf"," It merely pleases me to behave in a certain way to what appears to be a cat."," Jen mi působí potěšení chovat se určitým způsobem k tomu, co se mi jeví jako kocour."
"Do","do","Děláte","dělat","impf"," Do you behave any differently?"," Děláte snad něco jiného?"
"said","say","vyjádřil","vyjádřit","pf"," “ A green salad, ” said Arthur emphatically."," "" Hlávkový salát, "" vyjádřil se Arthur důrazně."
"tell","tell","říct","říci","pf"," “ Are you going to tell me, ” said Arthur, “ that I shouldn ’ t have green salad? ”"," "" Chcete snad říct, že bych si neměl dávat salát? """
"said","say","říct","říci","pf"," “ Are you going to tell me, ” said Arthur, “ that I shouldn ’ t have green salad? ”"," "" Chcete snad říct, že bych si neměl dávat salát? """
"think","think","myslím","myslet","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
"think","think","myslím","myslet","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
"saying","say","ukazuje","ukazovat","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
"saying","say","ukazuje","ukazovat","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
"think","think","myslím","myslet","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
"think","think","myslím","myslet","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
"saying","say","ukazuje","ukazovat","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
"saying","say","ukazuje","ukazovat","impf"," If it is what I think it is, and if it ’ s saying what I think it ’ s saying, then we ’ ve already gone too far back into the past."," Pokud je to to, co si myslím, že to je, a pokud ukazuje to, co si myslím, že ukazuje, pak jsme se dostali moc daleko zpátky do minulosti."
