"loved","love","miluji","milovat","impf"," I had n't known I loved her."," Nevěděl jsem, že ji miluji."
"do","do","studovala","studovat","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"did","do","studovala","studovat","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"do","do","studovala","studovat","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"thought","think","měl","mít","impf"," He had an embroidered band across his forehead and round his head : like the horses ' bridles, I thought fleetingly."," Kolem hlavy měl vyšívanou čelenku jako kůň."
"smiled","smile","usmál","usmát","pf"," I smiled at her over my shoulder."," Přes rameno jsem se na ni usmál."
"turned","turn","otočil","otočit","pf"," Ambrose turned round to her and started to complain."," Ambrose se k ní otočil a začal reptat."
"started","start","začal","začít","pf"," Ambrose turned round to her and started to complain."," Ambrose se k ní otočil a začal reptat."
"do","do","udělat","udělat","pf"," It is our clear and absolute duty to do whatever we can."," Je přece jednoznačně naše povinnost udělat, co je v našich silách."
"said","say","Řekl","říci","pf"," He said something about expense."," Řekl něco o zbytečných výlohách."
"swallowed","swallow","Polkl","polknout","pf"," He swallowed and put his hand to his face where I 'd hit him."," Polkl a přidržoval si rukou tvář, přes kterou jsem ho uhodil."
"hit","hit","uhodil","uhodit","pf"," He swallowed and put his hand to his face where I 'd hit him."," Polkl a přidržoval si rukou tvář, přes kterou jsem ho uhodil."
"put","put","Dal","dát","pf"," "" I put ... a plaster ... nitric acid ... on the lead ... to the master switch ... """," "" Dal jsem ... přidělal jsem ... kyselinu dusičnou ... na hlavní kabel ... """
"faded","fade","mizel","mizet","impf"," The jockey sipped his low calorie lemonade, and the bright pink flush faded from his cheek bones and came out in fainter mottles on his neck."," Žokej usrkával speciální limonádu s malým obsahem kalorií a ruměnec vzteku mu zvolna mizel z tváří."
"robbed","rob","okrade","okrást","pf"," Oh damn it, I hate being robbed."," Mám vztek, když mě někdo okrade."
"wants","want","Chce","chtít","impf"," "" He only wants me because I wo n't, "" she said."," "" Chce mě jenom proto, že já ho nechci, "" řekla."
"wants","want","nechci","chtít","impf"," "" He only wants me because I wo n't, "" she said."," "" Chce mě jenom proto, že já ho nechci, "" řekla."
"said","say","řekla","říci","pf"," "" He only wants me because I wo n't, "" she said."," "" Chce mě jenom proto, že já ho nechci, "" řekla."
"looked","look","díval","dívat","impf"," Chanter looked at me broodingly."," Chanter se na mě znechuceně díval."
"said","say","řekl","říci","pf"," "" To each his scene, "" I said ironically."," "" Každý jsme nějaký, "" řekl jsem kousavě."
"stay","stay","zůstanete","zůstat","pf"," No, come back now, if you stay at Cambridge we 'll have to pay the hangarage. """," To ne, hned se vraťte, když tam zůstanete, budeme platit strašné poplatky za hangár. """
"pay","pay","platit","platit","impf"," No, come back now, if you stay at Cambridge we 'll have to pay the hangarage. """," To ne, hned se vraťte, když tam zůstanete, budeme platit strašné poplatky za hangár. """
"wanted","want","chci","chtít","impf"," I did n't exactly know what I wanted to say."," Nevěděl jsem, co vlastně chci říct."
"say","say","říct","říci","pf"," I did n't exactly know what I wanted to say."," Nevěděl jsem, co vlastně chci říct."
"waited","wait","Čekala","čekat","impf"," She waited."," Čekala."
"thinks","think","myslí","myslet","impf"," "" Kenny thinks Mr. Goldenberg arranged it. """," "" Kenny si myslí, že ty chlapy na něho poslal pan Goldenberg. """
"saw","see","Viděl","vidět","impf"," I saw her hesitating, summing the information up."," Viděl jsem, že váhá a usilovně přemýšlí o tom, co právě vyslechla."
"hesitating","hesitate","váhá","váhat","impf"," I saw her hesitating, summing the information up."," Viděl jsem, že váhá a usilovně přemýšlí o tom, co právě vyslechla."
"like","like","chtěla","chtít","impf"," "" We could go and live in the south of France, if you like, "" Nancy said."," "" Mohly bychom se odstěhovat do jižní Francie, kdybys chtěla, "" řekla Nancy."
"said","say","řekla","říci","pf"," "" We could go and live in the south of France, if you like, "" Nancy said."," "" Mohly bychom se odstěhovat do jižní Francie, kdybys chtěla, "" řekla Nancy."
"smiled","smile","usmáli","usmát","pf"," They smiled, all three of them."," Všichni tři se usmáli."
"See","see","Uvidíme","uvidět","pf"," "" See you in the morning."," "" Uvidíme se ráno."
"said","say","řekl","říci","pf"," "" Sure thing, "" Matthew said."," "" Samo, "" řekl Matt."
"broken","break","porušil","porušit","pf"," I wondered if any of them knew I had just broken two laws and would undoubtedly be prosecuted again by the Board of Trade."," Bylo by mě zajímalo, jestli někdo z nich ví, že jsem právě porušil dvě pravidla dopravního letectví a že mě bude určitě znovu stíhat příslušná komise ministerstva obchodu."
"learn","learn","naučím","naučit","pf"," I wondered if I would ever, ever, learn to keep myself out of trouble."," Bylo by mě zajímalo, jestli se vůbec kdy naučím vyhýbat zbytečným nepříjemnostem."
"keep","keep","vyhýbat","vyhýbat","impf"," I wondered if I would ever, ever, learn to keep myself out of trouble."," Bylo by mě zajímalo, jestli se vůbec kdy naučím vyhýbat zbytečným nepříjemnostem."
"flew","fly","letěli","letět","impf"," We crossed the coast over King 's Lynn and flew down the river to Ely and Cambridge, just brushing through the misty cloud base at seven hundred feet."," Nad King ' s Lynnem jsme přeletěli pobřeží a letěli jsme podél řeky na Ely a Cambridge, těsně pod dolní hranicí mraků ve výšce sedmi set stop."
"did","do","provedl","provést","pf"," I did the external checks for her while they climbed aboard."," Zatímco nastupovali, provedl jsem za ni zevní kontrolu letadla."
"expect","expect","nečekal","čekat","impf"," Did n't expect any."," Žádnou jsem také nečekal."
"turned","turn","otočilo","otočit","pf"," She turned into the wind at the far end of the field, accelerated quickly, and lifted off into the pale-grey sky."," Na konci dráhy se otočilo proti větru, prudce zrychlilo, vzneslo se do vzduchu a mířilo k šedavému nebi."
"accelerated","accelerate","zrychlilo","zrychlit","pf"," She turned into the wind at the far end of the field, accelerated quickly, and lifted off into the pale-grey sky."," Na konci dráhy se otočilo proti větru, prudce zrychlilo, vzneslo se do vzduchu a mířilo k šedavému nebi."
"like","like","Nechce","chtít","impf"," "" I would n't like to ask him. """," "" Nechce se mi o to říkat. """
"see","see","chápu","chápat","impf"," "" No, I can see that, as he 's so intent on slapping you down. """," "" Jo, to docela chápu, když vás pořád zbytečně sekýruje. """
"Do","do","nedělejte","dělat","impf"," "" Do n't pretend to be surprised."," "" Prosím vás, nedělejte, že to nevíte."
"coming","come","došli","dojít","pf"," By the time I 'd finished the other three passengers were coming across the grass."," Než jsem skončil prohlídku, došli ostatní cestující."
"said","say","řekl","říci","pf"," He said, "" I 'm surprised you take the risk of flying Colin Ross."," "" Divím se, že si troufáte lítat s Colinem Rossem, "" řekl."
"proved","prove","prokázalo","prokázat","pf"," If your firm are proved to be responsible for his death you 'll be out of business. """," "" Kdyby se mu něco stalo a kdyby se prokázalo, že vaše firma je zodpovědná za jeho smrt, tak byste se položili. """
"end","end","skončíš","skončit","pf"," Kenny my lad, I thought remotely, if you do n't watch out you 'll end up like me, still with a licence but with not much else."," Kenny, hochu, říkal jsem si, jestli si nedáš pozor, skončíš jako já, budeš mít licenci, ale jinak nic."
"thought","think","mít","mít","impf"," Kenny my lad, I thought remotely, if you do n't watch out you 'll end up like me, still with a licence but with not much else."," Kenny, hochu, říkal jsem si, jestli si nedáš pozor, skončíš jako já, budeš mít licenci, ale jinak nic."
"Come","come","Pojďte","jít","impf"," "" Come in, come in, my dear chap, "" said the Duke."," "" Pojďte dál, jen pojďte dál, příteli, "" zval mě vévoda."
"come","come","Pojďte","jít","impf"," "" Come in, come in, my dear chap, "" said the Duke."," "" Pojďte dál, jen pojďte dál, příteli, "" zval mě vévoda."
"Come","come","pojďte","jít","impf"," "" Come in, come in, my dear chap, "" said the Duke."," "" Pojďte dál, jen pojďte dál, příteli, "" zval mě vévoda."
"come","come","pojďte","jít","impf"," "" Come in, come in, my dear chap, "" said the Duke."," "" Pojďte dál, jen pojďte dál, příteli, "" zval mě vévoda."
"asked","ask","zeptal","zeptat","pf"," After a suitably appreciative pause, I asked, "" Do you ever sell your paintings? """," Po chvilce uznalého ticha jsem se ho zeptal, jestli svoje obrazy někdy také prodává."
"sell","sell","prodává","prodávat","impf"," After a suitably appreciative pause, I asked, "" Do you ever sell your paintings? """," Po chvilce uznalého ticha jsem se ho zeptal, jestli svoje obrazy někdy také prodává."
