"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"take","take","brát","brát","impf"," But suppose - I am bound to take every possibility into account - that it should prove afterwards that you had no right to sell? ”"," Co kdyby se však později ukázalo - musím brát v úvahu všechny možnosti - že jste nebyl oprávněn soupravu prodávat? """
"sell","sell","prodávat","prodávat","impf"," But suppose - I am bound to take every possibility into account - that it should prove afterwards that you had no right to sell? ”"," Co kdyby se však později ukázalo - musím brát v úvahu všechny možnosti - že jste nebyl oprávněn soupravu prodávat? """
"answer","answer","zodpověděli","zodpovědět","pf"," “ My bankers would answer that. ”"," "" Tu by zodpověděli moji bankéři. """
"wish","wish","Přál","přát","impf"," “ I would wish to know it, ” said the Prussian grimly."," "" Přál bych si je vědět, "" řekl Prus chmurně."
"said","say","řekl","říci","pf"," “ I would wish to know it, ” said the Prussian grimly."," "" Přál bych si je vědět, "" řekl Prus chmurně."
"saved","save","zachránil","zachránit","pf"," It was I also who saved from murder, by the Nihilist Klopman, Count Von und Zu Grafenstein, who was your mother ’ s elder brother."," Já jsem zachránil hraběte Von und Zu Grafensteina, staršího bratra vaší paní matky, když se na něho chystal spáchat atentát nihilista Klopman."
"said","say","řekl","říci","pf"," “ The wages of sin, Watson - the wages of sin! ” said he."," "" Odplata za hříchy, Watsone - odplata za hříchy, "" řekl."
"added","add","dodal","dodat","pf"," God knows, there was sin enough, ” he added, taking up a brown volume from the table."," Ví bůh, že hřešil vrchovatě, "" dodal a vzal ze stolu hnědý svazek."
"taking","take","vzal","vzít","pf"," God knows, there was sin enough, ” he added, taking up a brown volume from the table."," Ví bůh, že hřešil vrchovatě, "" dodal a vzal ze stolu hnědý svazek."
"talked","talk","mluvilo","mluvit","impf"," “ Here is the book the woman talked of."," "" Zde je ta kniha, o níž to děvče mluvilo."
"stand","stand","má","mít","impf"," No self-respecting woman could stand it. ”"," S tímhle se žádná žena, která má jen trochu sebeúcty, nemůže smířit. """
"shut","shut","zavřel","zavřít","pf"," Instantly he gave an exclamation of satisfaction, strapped up the valise, shut the safe, locked it, and hurried out on to the terrace."," Spokojeně si pro sebe zabručel, utáhl řemen na zavazadle, zavřel sejf, zamkl jej a vyběhl na terasu."
"locked","lock","zavřel","zavřít","pf"," Instantly he gave an exclamation of satisfaction, strapped up the valise, shut the safe, locked it, and hurried out on to the terrace."," Spokojeně si pro sebe zabručel, utáhl řemen na zavazadle, zavřel sejf, zamkl jej a vyběhl na terasu."
"shut","shut","zamkl","zamknout","pf"," Instantly he gave an exclamation of satisfaction, strapped up the valise, shut the safe, locked it, and hurried out on to the terrace."," Spokojeně si pro sebe zabručel, utáhl řemen na zavazadle, zavřel sejf, zamkl jej a vyběhl na terasu."
"locked","lock","zamkl","zamknout","pf"," Instantly he gave an exclamation of satisfaction, strapped up the valise, shut the safe, locked it, and hurried out on to the terrace."," Spokojeně si pro sebe zabručel, utáhl řemen na zavazadle, zavřel sejf, zamkl jej a vyběhl na terasu."
"sprang","spring","vyskočil","vyskočit","pf"," A passenger sprang out of it and advanced swiftly towards him, while the chauffeur, a heavily built, elderly man with a gray moustache, settled down like one who resigns himself to a long vigil."," Z vozu vyskočil pasažér a pospíchal k němu, zatímco šofér, statný postarší muž s šedým knírem, se uvelebil pohodlně na sedadle, jako by věděl, že má před sebou delší čekání."
"exaggerate","exaggerate","přehánět","přehánět","impf"," You will not exaggerate if you say that it could hardly be matched in the world. ”"," Nebudete přehánět, když řeknete, že by se sotva našel na světě druhý soubor, který by se tomuto vyrovnal. """
"say","say","řeknete","říci","pf"," You will not exaggerate if you say that it could hardly be matched in the world. ”"," Nebudete přehánět, když řeknete, že by se sotva našel na světě druhý soubor, který by se tomuto vyrovnal. """
"matched","match","vyrovnal","vyrovnat","pf"," You will not exaggerate if you say that it could hardly be matched in the world. ”"," Nebudete přehánět, když řeknete, že by se sotva našel na světě druhý soubor, který by se tomuto vyrovnal. """
"suggest","suggest","navrhnout","navrhnout","pf"," “ I could perhaps suggest that the set should be valued by an expert. ”"," "" Mohl bych třeba navrhnout, abychom dali soupravu odhadnout znalci. """
"valued","value","odhadnout","odhadnout","pf"," “ I could perhaps suggest that the set should be valued by an expert. ”"," "" Mohl bych třeba navrhnout, abychom dali soupravu odhadnout znalci. """
"Suggest","suggest","Navrhněte","navrhnout","pf"," Suggest Christie or Sotheby."," Navrhněte Christieho nebo Sothebyho."
"see","see","nepřijme","přijmout","pf"," “ But if he won ’ t see me? ”"," "" A co když mne nepřijme? """
"see","see","přijme","přijmout","pf"," “ Oh, yes, he will see you."," "" Ale ano, přijme vás."
"find","find","najít","najít","pf"," But I really did plead with her with all the warmth of words that I could find in my nature."," Skutečně jsem ji však zapřísahal nejplamennějšími slovy, jaká jsem při své povaze dokázal najít."
"pictured","picture","Vylíčil","vylíčit","pf"," I pictured to her the awful position of the woman who only wakes to a man ’ s character after she is his wife - a woman who has to submit to be caressed by bloody hands and lecherous lips."," Vylíčil jsem jí hrozné postavení ženy, která prohlédne skutečnou mužovu povahu až po svatbě a pak se musí nechat objímat rukama, na nichž lpí krev, a líbat smilnými rty."
"caressed","caress","objímat","objímat","impf"," I pictured to her the awful position of the woman who only wakes to a man ’ s character after she is his wife - a woman who has to submit to be caressed by bloody hands and lecherous lips."," Vylíčil jsem jí hrozné postavení ženy, která prohlédne skutečnou mužovu povahu až po svatbě a pak se musí nechat objímat rukama, na nichž lpí krev, a líbat smilnými rty."
"spared","spare","Neušetřil","ušetřit","pf"," I spared her nothing - the shame, the fear, the agony, the hopelessness of it all."," Neušetřil jsem ji ničeho - žádné hanby, hrůzy ani agónie, a zdůraznil jsem bezvýchodnost toho všeho."
"Call","call","Nazývejte","nazývat","impf"," Call it what you will."," Nazývejte jej, jak vám libo."
"told","tell","povědělo","povědět","pf"," The moment the woman told us of it I realized what a tremendous weapon was there if we could but lay our hands on it."," Jakmile nám o něm to děvče povědělo, hned jsem si uvědomil, co by to bylo za skvělou zbraň, jen kdyby se nám dostal do rukou."
"realized","realize","uvědomil","uvědomit","pf"," The moment the woman told us of it I realized what a tremendous weapon was there if we could but lay our hands on it."," Jakmile nám o něm to děvče povědělo, hned jsem si uvědomil, co by to bylo za skvělou zbraň, jen kdyby se nám dostal do rukou."
"said","say","Nemluvil","mluvit","impf"," I said nothing at the time to indicate my thoughts, for this woman might have given it away."," Nemluvil jsem o tom tehdy, abych nedal najevo, co mám za lubem, protože to děvče by se bylo mohlo podřeknout."
"given","give","nedal","dát","pf"," I said nothing at the time to indicate my thoughts, for this woman might have given it away."," Nemluvil jsem o tom tehdy, abych nedal najevo, co mám za lubem, protože to děvče by se bylo mohlo podřeknout."
"gave","give","poskytlo","poskytnout","pf"," Then this assault upon me gave me the chance of letting the Baron think that no precautions need be taken against me."," Pak mi to přepadení poskytlo příležitost vyvolat v baronovi domněnku, že se mne už nemusí obávat."
"give","give","poskytnout","poskytnout","pf"," “ Apart from what you have told me, can you give me any further information about the man? ”"," "" Můžete mi o tom muži poskytnout ještě nějaké další informace krom toho, co jste mi o něm už řekl? """
"told","tell","řekl","říci","pf"," “ Apart from what you have told me, can you give me any further information about the man? ”"," "" Můžete mi o tom muži poskytnout ještě nějaké další informace krom toho, co jste mi o něm už řekl? """
"sprang","spring","Vyskočil","vyskočit","pf"," I sprang to my feet."," Vyskočil jsem."
"say","say","Říkáte","říkat","impf"," ‘ You say he was."," ' Říkáte, že byl."
"speak","speak","Mluvíte","mluvit","impf"," You speak as if he were dead."," Mluvíte o něm jako o nebožtíkovi."
"built","build","postavil","postavit","pf"," The place had been built by a South African gold king in the days of the great boom, and the long, low house with the turrets at the corners, though an architectural nightmare, was imposing in its size and solidity."," Jistý jihoamerický zlatý král si to sídlo postavil v dobách velké konjunktury a nevysoká podlouhlá budova s vížkami v rozích, až by architekta musela strašit i ve snu, vzbuzovala úctu svou rozlohou a bytelností."
"handed","hand","předal","předat","pf"," A butler, who would have adorned a bench of bishops, showed me in and handed me over to a plush-clad footman, who ushered me into the Baron ’ s presence."," Lokaj, který by býval vynikal i na lavici mezi biskupy, mne předal komorníkovi v sametové livreji, a ten mne uvedl k baronovi."
"showed","show","uvedl","uvést","pf"," A butler, who would have adorned a bench of bishops, showed me in and handed me over to a plush-clad footman, who ushered me into the Baron ’ s presence."," Lokaj, který by býval vynikal i na lavici mezi biskupy, mne předal komorníkovi v sametové livreji, a ten mne uvedl k baronovi."
"ushered","usher","uvedl","uvést","pf"," A butler, who would have adorned a bench of bishops, showed me in and handed me over to a plush-clad footman, who ushered me into the Baron ’ s presence."," Lokaj, který by býval vynikal i na lavici mezi biskupy, mne předal komorníkovi v sametové livreji, a ten mne uvedl k baronovi."
