"found","find","našlo","najít","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"closed","close","zavřely","zavřít","pf"," Had any bit of conversation reached her from the drawing-room before the door was closed?"," Donesl se jí útržek rozhovoru z obýváku, než se dveře zavřely?"
"sat","sit","Seděli","sedět","impf"," They sat in armchairs and when the waitress came to them they ordered coffee."," Seděli v křeslech, a když k nim servírka přišla, objednali si kávu."
"came","come","přišla","přijít","pf"," They sat in armchairs and when the waitress came to them they ordered coffee."," Seděli v křeslech, a když k nim servírka přišla, objednali si kávu."
"ordered","order","objednali","objednat","pf"," They sat in armchairs and when the waitress came to them they ordered coffee."," Seděli v křeslech, a když k nim servírka přišla, objednali si kávu."
"said","say","řekl","říci","pf"," ‘ And something – biscuits perhaps? ’ Lucy ’ s father said."," "" A ještě něco - třeba sušenky? "" řekl Lucyin otec."
"bring","bring","Přinesu","přinést","pf"," ‘ I ’ ll bring you biscuits, sir. ’"," "" Přinesu vám sušenky, pane. """
"returned","return","vrátila","vrátit","pf"," The waitress returned with a coffee pot and a jug of milk, and a plate of pink-iced biscuits."," Servírka se vrátila s kávovou konvicí, džbánkem mléka a talířkem sušenek s růžovou polevou."
"sat","sit","Sedli","sednout","pf"," They sat near the window where the waitress had been standing."," Sedli si u okna, kde předtím stála servírka."
"want","want","chtít","chtít","impf"," in spite of the trouble his presence brought, her father would want her happiness."," i přes problémy spojené s tím, že je tady, bude její otec chtít, aby byla šťastná."
"want","want","chtít","chtít","impf"," Her father would want everything to be all right again."," Otec bude chtít, aby bylo všechno v pořádku."
"wondered","wonder","Přemýšlela","přemýšlet","impf"," She wondered if Bridget guessed what had come into her thoughts, if she had noticed those moments of confusion."," Přemýšlela, jestli Bridget uhodla, jaké myšlenky jí táhnou hlavou, jestli si všimla, jak byla na okamžik zmatená."
"guessed","guess","uhodla","uhodnout","pf"," She wondered if Bridget guessed what had come into her thoughts, if she had noticed those moments of confusion."," Přemýšlela, jestli Bridget uhodla, jaké myšlenky jí táhnou hlavou, jestli si všimla, jak byla na okamžik zmatená."
"noticed","notice","všimla","všimnout","pf"," She wondered if Bridget guessed what had come into her thoughts, if she had noticed those moments of confusion."," Přemýšlela, jestli Bridget uhodla, jaké myšlenky jí táhnou hlavou, jestli si všimla, jak byla na okamžik zmatená."
"changed","change","změnil","změnit","pf"," She wondered how he ’ d have changed."," Představovala si, jak se Ralph asi změnil."
"find","find","najdou","najít","pf"," One day – today, tomorrow, some day a year away – they ’ ll find the strength to make the journey, and it will never be too late for that. ’"," Jednou - dnes, zítra, jednoho dne někdy za rok - najdou sílu vypravit se sem, a na to nikdy nebude pozdě. """
"want","want","přáli","přát","impf"," ‘ Oh, Lucy, long ago they have forgiven you and now would want your happiness."," "" Ach, Lucy, oni už ti dávno odpustili a teď by si přáli, abys byla šťastná."
"Tramping","tramp","šlapal","šlapat","impf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"led","lead","vedl","vést","impf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"led","lead","vedl","vést","impf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"led","lead","zavedlo","zavést","pf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"led","lead","zavedlo","zavést","pf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"establishing","establish","zavedlo","zavést","pf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"said","say","řekli","říci","pf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"establishing","establish","potvrdit","potvrdit","pf"," Tramping over soil fed by the blood of the men he had led and whose faces now stirred in his memory, it was his wife ’ s response that came – as if in compensation for too little said before – when he wondered why his wandering had led him back to these old battlefields : in his sixty-ninth year he was establishing his survivor ’ s status."," Když šlapal po půdě nasáklé krví mužů, které vedl a jejichž tváře teď ožívaly v jeho paměti, a přemítal, proč ho jeho putování zavedlo zpátky na tato stará bojiště, napadla ho odpověď jeho ženy, skoro jakoby náhradou za to, že si toho předtím řekli příliš málo : ve svých devětašedesáti letech si chtěl potvrdit, že přežil."
"Wait","wait","Počkejte","počkat","pf"," Wait till I ’ ll bring you the tea now. ’"," Počkejte, hned vám přinesu čaj. """
"bring","bring","přinesu","přinést","pf"," Wait till I ’ ll bring you the tea now. ’"," Počkejte, hned vám přinesu čaj. """
"murmured","murmur","zamumlal","zamumlat","pf"," ‘ My dear, ’ he murmured from the doorway of the sick-room when he returned, and knew before he went to her that she would not reply."," "" Miláčku můj, "" zamumlal po návratu ze dveří nemocenského pokoje, a ještě než si k ní namířil, věděl, že neodpoví."
"returned","return","neodpoví","odpovědět","pf"," ‘ My dear, ’ he murmured from the doorway of the sick-room when he returned, and knew before he went to her that she would not reply."," "" Miláčku můj, "" zamumlal po návratu ze dveří nemocenského pokoje, a ještě než si k ní namířil, věděl, že neodpoví."
