"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"say","say","řekne","říci","pf"," For example, in a[ ]normal conversation, one doesn ’ t reflect on what one is going to say next, one just says it."," V normálním rozhovoru si například člověk nerozmýšlí, co řekne, ale prostě to řekne."
"says","say","řekne","říci","pf"," For example, in a[ ]normal conversation, one doesn ’ t reflect on what one is going to say next, one just says it."," V normálním rozhovoru si například člověk nerozmýšlí, co řekne, ale prostě to řekne."
"making","make","udělat","udělat","pf"," ’ But the sense that ‘ I am making this happen ’ carries with it the sense that ‘ I could be doing something else ’."," Avšak pocit, že jsem to já, kdo způsobuje, že se něco děje, nelze oddělit od pocitu, že mohu udělat i něco jiného."
"doing","do","udělat","udělat","pf"," ’ But the sense that ‘ I am making this happen ’ carries with it the sense that ‘ I could be doing something else ’."," Avšak pocit, že jsem to já, kdo způsobuje, že se něco děje, nelze oddělit od pocitu, že mohu udělat i něco jiného."
"want","want","Chci","chtít","impf"," So, for example, I want to go to Paris, and I believe that the best way, all things considered, is to go by plane, so I[ ]form the intention to go by plane."," Chci například do Paříže a jsem přesvědčen, že když se to vezme kolem a kolem, nejlepší bude letět letadlem, a tak pojmu záměr letět letadlem."
"think","think","Myslím","myslet","impf"," I think we need to abandon once and for all the idea that the social sciences are like physics before Newton, and that what we are waiting for is a set of Newtonian laws of mind and society."," Myslím, že je třeba se jednou provždy vzdát myšlenky, že sociální vědy se podobají fyzice před Newtonem a že se v současné době nalézáme ve stavu čekání na newtonovské zákony mysli a společnosti."
"regarded","regard","pohlíží","pohlížet","impf"," So, for example, consciousness and subjectivity are often regarded as unsuitable topics for science."," Na vědomí a subjektivitu se například často pohlíží jako na témata pro vědu nevhodná."
"deal","deal","zabývat","zabývat","impf"," And this reluctance to deal with consciousness and subjectivity is part of a persistent objectifying tendency."," A tato nechuť zabývat se vědomím a subjektivitou se podílí na přetrvávající tendenci k objektivitě."
"think","think","myslí","myslet","impf"," People think science must be about objectively observable phenomena."," Lidé si totiž myslí, že ve vědě musí jít o fenomény, které lze pozorovat objektivně."
"supposes","suppose","nepředpokládá","předpokládat","impf"," Now, in each of these cases, nobody supposes that the[ ]computer simulation is actually the real thing; no one supposes that a computer simulation of a storm will leave us all wet, or a computer simulation of a fire is likely to burn the house down."," V těchto případech ovšem nikdo nepředpokládá, že simulace na počítači je totéž co věc sama, nikdo nepředpokládá, že při počítačové simulaci bouřky zmokneme nebo že by při počítačové simulaci ohně mohl shořet dům."
"supposes","suppose","nepředpokládá","předpokládat","impf"," Now, in each of these cases, nobody supposes that the[ ]computer simulation is actually the real thing; no one supposes that a computer simulation of a storm will leave us all wet, or a computer simulation of a fire is likely to burn the house down."," V těchto případech ovšem nikdo nepředpokládá, že simulace na počítači je totéž co věc sama, nikdo nepředpokládá, že při počítačové simulaci bouřky zmokneme nebo že by při počítačové simulaci ohně mohl shořet dům."
"supposes","suppose","nepředpokládá","předpokládat","impf"," Now, in each of these cases, nobody supposes that the[ ]computer simulation is actually the real thing; no one supposes that a computer simulation of a storm will leave us all wet, or a computer simulation of a fire is likely to burn the house down."," V těchto případech ovšem nikdo nepředpokládá, že simulace na počítači je totéž co věc sama, nikdo nepředpokládá, že při počítačové simulaci bouřky zmokneme nebo že by při počítačové simulaci ohně mohl shořet dům."
"supposes","suppose","nepředpokládá","předpokládat","impf"," Now, in each of these cases, nobody supposes that the[ ]computer simulation is actually the real thing; no one supposes that a computer simulation of a storm will leave us all wet, or a computer simulation of a fire is likely to burn the house down."," V těchto případech ovšem nikdo nepředpokládá, že simulace na počítači je totéž co věc sama, nikdo nepředpokládá, že při počítačové simulaci bouřky zmokneme nebo že by při počítačové simulaci ohně mohl shořet dům."
"try","try","pokusil","pokusit","pf"," I want now to try to draw together both the mental and the physical aspects of action."," Rád bych se teď pokusil propojit mentální a fyzické aspekty jednání."
"explain","explain","objasnit","objasnit","pf"," These principles should explain both the mental and physical aspects of action."," Tyto principy by měly objasnit jak mentální, tak fyzické aspekty jednání."
"says","say","říká","říkat","impf"," As Davidson says they have no ‘ echo ’ in physics."," Jak říká Davidson, tyto pojmy nemají ve fyzice žádnou ' ozvěnu '."
"think","think","Považuji","považovat","impf"," Now[ ]that also I think is an important result, because it has the consequence that the brain is not, or at least is not just, a digital computer."," Považuji to za důležitý závěr, protože jeho důsledkem je konstatování, že mysl není - nebo přinejmenším není jen - digitální počítač."
"saw","see","Viděli","vidět","impf"," We saw earlier that anything can trivially[ ]be described as if it were a digital computer, and brains are no exception."," Viděli jsme, že ve zjednodušené podobě se dá cokoliv popsat tak, jako by to byl digitální počítač;"
"described","describe","popsat","popsat","pf"," We saw earlier that anything can trivially[ ]be described as if it were a digital computer, and brains are no exception."," Viděli jsme, že ve zjednodušené podobě se dá cokoliv popsat tak, jako by to byl digitální počítač;"
