"explain","explain","nevysvětluje","vysvětlovat","impf"," It 's just a word, it does n't explain anything."," Je to jen slovo a nevysvětluje nic."
"hurt","hurt","zraněn","zranit","pf"," "" Move along there, "" shouted Ford, "" and no one will get hurt. """," "" Ustupte tady, prosím, "" zařval Ford, "" a nikdo nebude zraněn! """
"closed","close","zavřel","zavřít","pf"," The crowd surged and closed behind them again, as frantically they pushed and hauled the rattling supermarket trolley through the rubble towards the ramp."," Dav se vzedmul a zavřel se za nimi a oni zběsile tlačili a táhli nákupní vozík po štěrku k rampě."
"pushed","push","tlačili","tlačit","impf"," The crowd surged and closed behind them again, as frantically they pushed and hauled the rattling supermarket trolley through the rubble towards the ramp."," Dav se vzedmul a zavřel se za nimi a oni zběsile tlačili a táhli nákupní vozík po štěrku k rampě."
"hauled","haul","táhli","táhnout","impf"," The crowd surged and closed behind them again, as frantically they pushed and hauled the rattling supermarket trolley through the rubble towards the ramp."," Dav se vzedmul a zavřel se za nimi a oni zběsile tlačili a táhli nákupní vozík po štěrku k rampě."
"taken","take","získal","získat","pf"," Not surprisingly, the Guide 's graphically enticing description of the general state of affairs on this planet has proved to be astonishingly popular amongst hitch-hikers who allow themselves to be guided by it, and so it has simply never been taken out, and it is therefore left to latter-day travellers to find out for themselves that today 's modern Brequinda in the City State of Avalars is now little more than concrete, strip joints and Dragon Burger Bars."," Není tedy celkem divu, že vizuálně přitažlivý popis všeobecného stavu věcí na této planetě v Průvodci získal značnou popularitu mezi stopaři, kteří se jím dávají vést, a tak nikdy nebyl z knihy vyňat, a proto zůstává na moderních cestovatelích, aby sami zjistili, že dnešní Brequinda v Městském státě Avalarů je sotva víc než beton, striptýzové podniky a Dračí hamburgerové bary."
"guided","guide","vést","vést","impf"," Not surprisingly, the Guide 's graphically enticing description of the general state of affairs on this planet has proved to be astonishingly popular amongst hitch-hikers who allow themselves to be guided by it, and so it has simply never been taken out, and it is therefore left to latter-day travellers to find out for themselves that today 's modern Brequinda in the City State of Avalars is now little more than concrete, strip joints and Dragon Burger Bars."," Není tedy celkem divu, že vizuálně přitažlivý popis všeobecného stavu věcí na této planetě v Průvodci získal značnou popularitu mezi stopaři, kteří se jím dávají vést, a tak nikdy nebyl z knihy vyňat, a proto zůstává na moderních cestovatelích, aby sami zjistili, že dnešní Brequinda v Městském státě Avalarů je sotva víc než beton, striptýzové podniky a Dračí hamburgerové bary."
"taken","take","vést","vést","impf"," Not surprisingly, the Guide 's graphically enticing description of the general state of affairs on this planet has proved to be astonishingly popular amongst hitch-hikers who allow themselves to be guided by it, and so it has simply never been taken out, and it is therefore left to latter-day travellers to find out for themselves that today 's modern Brequinda in the City State of Avalars is now little more than concrete, strip joints and Dragon Burger Bars."," Není tedy celkem divu, že vizuálně přitažlivý popis všeobecného stavu věcí na této planetě v Průvodci získal značnou popularitu mezi stopaři, kteří se jím dávají vést, a tak nikdy nebyl z knihy vyňat, a proto zůstává na moderních cestovatelích, aby sami zjistili, že dnešní Brequinda v Městském státě Avalarů je sotva víc než beton, striptýzové podniky a Dračí hamburgerové bary."
"taken","take","vyňat","vyjmout","pf"," Not surprisingly, the Guide 's graphically enticing description of the general state of affairs on this planet has proved to be astonishingly popular amongst hitch-hikers who allow themselves to be guided by it, and so it has simply never been taken out, and it is therefore left to latter-day travellers to find out for themselves that today 's modern Brequinda in the City State of Avalars is now little more than concrete, strip joints and Dragon Burger Bars."," Není tedy celkem divu, že vizuálně přitažlivý popis všeobecného stavu věcí na této planetě v Průvodci získal značnou popularitu mezi stopaři, kteří se jím dávají vést, a tak nikdy nebyl z knihy vyňat, a proto zůstává na moderních cestovatelích, aby sami zjistili, že dnešní Brequinda v Městském státě Avalarů je sotva víc než beton, striptýzové podniky a Dračí hamburgerové bary."
"taken","take","zjistili","zjistit","pf"," Not surprisingly, the Guide 's graphically enticing description of the general state of affairs on this planet has proved to be astonishingly popular amongst hitch-hikers who allow themselves to be guided by it, and so it has simply never been taken out, and it is therefore left to latter-day travellers to find out for themselves that today 's modern Brequinda in the City State of Avalars is now little more than concrete, strip joints and Dragon Burger Bars."," Není tedy celkem divu, že vizuálně přitažlivý popis všeobecného stavu věcí na této planetě v Průvodci získal značnou popularitu mezi stopaři, kteří se jím dávají vést, a tak nikdy nebyl z knihy vyňat, a proto zůstává na moderních cestovatelích, aby sami zjistili, že dnešní Brequinda v Městském státě Avalarů je sotva víc než beton, striptýzové podniky a Dračí hamburgerové bary."
"find","find","zjistili","zjistit","pf"," Not surprisingly, the Guide 's graphically enticing description of the general state of affairs on this planet has proved to be astonishingly popular amongst hitch-hikers who allow themselves to be guided by it, and so it has simply never been taken out, and it is therefore left to latter-day travellers to find out for themselves that today 's modern Brequinda in the City State of Avalars is now little more than concrete, strip joints and Dragon Burger Bars."," Není tedy celkem divu, že vizuálně přitažlivý popis všeobecného stavu věcí na této planetě v Průvodci získal značnou popularitu mezi stopaři, kteří se jím dávají vést, a tak nikdy nebyl z knihy vyňat, a proto zůstává na moderních cestovatelích, aby sami zjistili, že dnešní Brequinda v Městském státě Avalarů je sotva víc než beton, striptýzové podniky a Dračí hamburgerové bary."
"want","want","nechceš","chtít","impf"," It was an act of great generosity on his part not to say, "" You do n't want to, do you? "" which expects it."," Bylo od něj hodně velkorysé, že neformuloval otázku "" Ale nechceš se tam podívat, viď, že ne? "", která takovou odpověď předpokládá."
"expects","expect","předpokládá","předpokládat","impf"," It was an act of great generosity on his part not to say, "" You do n't want to, do you? "" which expects it."," Bylo od něj hodně velkorysé, že neformuloval otázku "" Ale nechceš se tam podívat, viď, že ne? "", která takovou odpověď předpokládá."
"said","say","řekla","říci","pf"," "" Yes, "" she said."," "" Ano, "" řekla."
"want","want","Chci","chtít","impf"," "" I want to know what the message was that I lost, and where it came from."," "" Chci vědět, jaká byla ta zpráva, kterou jsem ztratila, a odkud přišla."
"lost","lose","ztratila","ztratit","pf"," "" I want to know what the message was that I lost, and where it came from."," "" Chci vědět, jaká byla ta zpráva, kterou jsem ztratila, a odkud přišla."
"came","come","přišla","přijít","pf"," "" I want to know what the message was that I lost, and where it came from."," "" Chci vědět, jaká byla ta zpráva, kterou jsem ztratila, a odkud přišla."
"think","think","myslím","myslet","impf"," Because I do n't think, "" she added, standing up and looking round the increasing gloom of the park, "" that it came from here. """," Protože si myslím, "" dodala a přitom se zvedla a rozhlédla se po stále temnějším parku, "" že nepřišla odtud. """
"added","add","dodala","dodat","pf"," Because I do n't think, "" she added, standing up and looking round the increasing gloom of the park, "" that it came from here. """," Protože si myslím, "" dodala a přitom se zvedla a rozhlédla se po stále temnějším parku, "" že nepřišla odtud. """
"came","come","nepřišla","přijít","pf"," Because I do n't think, "" she added, standing up and looking round the increasing gloom of the park, "" that it came from here. """," Protože si myslím, "" dodala a přitom se zvedla a rozhlédla se po stále temnějším parku, "" že nepřišla odtud. """
"see","see","uviděl","uvidět","pf"," There was also, Arthur was momentarily alarmed to see, a pram, but it was very old and uncomplicatedly full of books."," Arthur se nejprve lekl, když tu uviděl stát i kočárek, ale hned zjistil, že je hodně starý a zcela bezproblémově plný knížek."
"make","make","dělala","dělat","impf"," Just to make life difficult."," Jen aby dělala potíže."
"Fell","fall","Upadla","upadnout","pf"," Fell over playing hockey and broke a bone nobody had ever heard of. """," Upadla při hokeji a zlomila si kost, o které nikdo jaktěživ neslyšel. """
"broke","break","zlomila","zlomit","pf"," Fell over playing hockey and broke a bone nobody had ever heard of. """," Upadla při hokeji a zlomila si kost, o které nikdo jaktěživ neslyšel. """
"heard","hear","neslyšel","slyšet","impf"," Fell over playing hockey and broke a bone nobody had ever heard of. """," Upadla při hokeji a zlomila si kost, o které nikdo jaktěživ neslyšel. """
"see","see","Chápu","chápat","impf"," "" I can see how that would be irritating, "" said Arthur doubtfully."," "" Chápu, že to může člověka dopálit, "" řekl Arthur pochybovačně."
