"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"sail","sail","plujeme","plout","impf"," With his mouth shut and his tail straight up and down we sail like brothers."," Když má můj marlin zavřenou hubu a ocas kolmo do vody, plujeme si jako bratři."
"started","start","začalo","začít","pf"," Then his head started to become a little unclear and he thought, is he bringing me in or am I bringing him in?"," Pak se mu to v hlavě začalo trochu plést a napadlo ho : veze domů on mne nebo já jeho?"
"talk","talk","mluvila","mluvit","impf"," And the rich have radios to talk to them in their boats and to bring them the baseball. """," Ostatně boháči mají na svých lodích radu, aby na ně mluvila a hlásila jim výsledky baseballu. """
"think","think","myslet","myslet","impf"," Now is no time to think of baseball, he thought."," Jenže teď není čas myslet na baseball, napadlo ho."
"thought","think","myslet","myslet","impf"," Now is no time to think of baseball, he thought."," Jenže teď není čas myslet na baseball, napadlo ho."
"think","think","myslet","myslet","impf"," Now is the time to think of only one thing."," Teď je čas myslet jenom na jedno."
"feeding","feed","krmili","krmit","impf"," I picked up only a straggler from the albacore that were feeding."," Chytil jsem jenom nějakého zbloudilce od těch albacorů, co se tam krmili."
"shows","show","ukáže","ukázat","pf"," Everything that shows on the surface today travels very fast and to the north-east."," Všechno, co se dnes ukáže na hladině, má nějak naspěch a všechno k severovýchodu."
"lose","lose","ztratím","ztratit","pf"," If I lose the glare of Havana we must be going more to the eastward, he thought."," Jestli ztratím světla Havany z dohledu, bude to znamenat, že míříme ještě dál na východ, pomyslel si."
"going","go","míříme","mířit","impf"," If I lose the glare of Havana we must be going more to the eastward, he thought."," Jestli ztratím světla Havany z dohledu, bude to znamenat, že míříme ještě dál na východ, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," If I lose the glare of Havana we must be going more to the eastward, he thought."," Jestli ztratím světla Havany z dohledu, bude to znamenat, že míříme ještě dál na východ, pomyslel si."
"held","hold","měl","mít","impf"," For if the fish 's course held true I must see it for many more hours."," Jestli se ryba neodchýlila od svého směru, měl bych je vidět ještě celé hodiny."
"see","see","vidět","vidět","impf"," For if the fish 's course held true I must see it for many more hours."," Jestli se ryba neodchýlila od svého směru, měl bych je vidět ještě celé hodiny."
"wonder","wonder","uvažoval","uvažovat","impf"," I wonder how the baseball came out in the grand leagues today, he thought."," Rád bych věděl, jak dnes dopadl baseball v první lize, uvažoval v duchu."
"thought","think","uvažoval","uvažovat","impf"," I wonder how the baseball came out in the grand leagues today, he thought."," Rád bych věděl, jak dnes dopadl baseball v první lize, uvažoval v duchu."
"thought","think","myslíš","myslet","impf"," Then he thought, think of it always."," Pak se vzpamatoval - na to myslíš pořád."
"think","think","myslíš","myslet","impf"," Then he thought, think of it always."," Pak se vzpamatoval - na to myslíš pořád."
"doing","do","děláš","dělat","impf"," Think of what you are doing."," Mysli na to, co děláš!"
"do","do","provést","provést","pf"," You must do nothing stupid."," Nesmíš provést žádnou hloupost."
"said","say","pronesl","pronést","pf"," Then he said aloud,"," Potom pronesl nahlas :"
"let","let","Nechal","nechat","pf"," He let his hand dry in the air then grasped the line with it and eased himself as much as he could and allowed himself to be pulled forward against the wood so that the boat took the strain as much, or more, than he did."," Nechal si ruku uschnout ve vzduchu, pak do ní vzal šňůru, jak jen mohl, uvolnil všechnu svaly a dal se přitáhnout dopředu na dřevěnou obrubeň, takže napětí se přenášelo na člun stejným dílem nebo ještě víc než na něho."
"allowed","allow","Nechal","nechat","pf"," He let his hand dry in the air then grasped the line with it and eased himself as much as he could and allowed himself to be pulled forward against the wood so that the boat took the strain as much, or more, than he did."," Nechal si ruku uschnout ve vzduchu, pak do ní vzal šňůru, jak jen mohl, uvolnil všechnu svaly a dal se přitáhnout dopředu na dřevěnou obrubeň, takže napětí se přenášelo na člun stejným dílem nebo ještě víc než na něho."
"took","take","vzal","vzít","pf"," He let his hand dry in the air then grasped the line with it and eased himself as much as he could and allowed himself to be pulled forward against the wood so that the boat took the strain as much, or more, than he did."," Nechal si ruku uschnout ve vzduchu, pak do ní vzal šňůru, jak jen mohl, uvolnil všechnu svaly a dal se přitáhnout dopředu na dřevěnou obrubeň, takže napětí se přenášelo na člun stejným dílem nebo ještě víc než na něho."
"did","do","vzal","vzít","pf"," He let his hand dry in the air then grasped the line with it and eased himself as much as he could and allowed himself to be pulled forward against the wood so that the boat took the strain as much, or more, than he did."," Nechal si ruku uschnout ve vzduchu, pak do ní vzal šňůru, jak jen mohl, uvolnil všechnu svaly a dal se přitáhnout dopředu na dřevěnou obrubeň, takže napětí se přenášelo na člun stejným dílem nebo ještě víc než na něho."
"eased","ease","uvolnil","uvolnit","pf"," He let his hand dry in the air then grasped the line with it and eased himself as much as he could and allowed himself to be pulled forward against the wood so that the boat took the strain as much, or more, than he did."," Nechal si ruku uschnout ve vzduchu, pak do ní vzal šňůru, jak jen mohl, uvolnil všechnu svaly a dal se přitáhnout dopředu na dřevěnou obrubeň, takže napětí se přenášelo na člun stejným dílem nebo ještě víc než na něho."
"pulled","pull","přitáhnout","přitáhnout","pf"," He let his hand dry in the air then grasped the line with it and eased himself as much as he could and allowed himself to be pulled forward against the wood so that the boat took the strain as much, or more, than he did."," Nechal si ruku uschnout ve vzduchu, pak do ní vzal šňůru, jak jen mohl, uvolnil všechnu svaly a dal se přitáhnout dopředu na dřevěnou obrubeň, takže napětí se přenášelo na člun stejným dílem nebo ještě víc než na něho."
"learning","learn","Učím","učit","impf"," I 'm learning how to do it, he thought."," Učím se, jak na to, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," I 'm learning how to do it, he thought."," Učím se, jak na to, pomyslel si."
"eaten","eat","nejedla","jíst","impf"," Then too, remember he has n't eaten since he took the bait and he is huge and needs much food."," A pak nesmím zapomenout, že ryba nejedla od té doby, co spolkla vnadidlo, a je obrovská a potřebuje spoustu potravy."
"took","take","nejedla","jíst","impf"," Then too, remember he has n't eaten since he took the bait and he is huge and needs much food."," A pak nesmím zapomenout, že ryba nejedla od té doby, co spolkla vnadidlo, a je obrovská a potřebuje spoustu potravy."
"took","take","potřebuje","potřebovat","impf"," Then too, remember he has n't eaten since he took the bait and he is huge and needs much food."," A pak nesmím zapomenout, že ryba nejedla od té doby, co spolkla vnadidlo, a je obrovská a potřebuje spoustu potravy."
"needs","need","potřebuje","potřebovat","impf"," Then too, remember he has n't eaten since he took the bait and he is huge and needs much food."," A pak nesmím zapomenout, že ryba nejedla od té doby, co spolkla vnadidlo, a je obrovská a potřebuje spoustu potravy."
"eaten","eat","snědl","sníst","pf"," I have eaten the whole bonito."," Já jsem snědl celého bonita."
"seen","see","uviděl","uvidět","pf"," Now that he had seen him once, he could picture the fish swimming in the water with his purple pectoral fins set wide as wings and the great erect tail slicing through the dark."," Teď, když UŽ rybu uviděl, dovedl si ji představit, jak pluje ve vodě s purpurovými prsními ploutvemi, roztažený mi jako křídla, a jak svým velkým vztyčeným ocasem krájí temnotu."
"sees","see","vidí","vidět","impf"," I wonder how much he sees at that depth, the old man thought."," Rád bych věděl, jak asi v té hloubce vidí, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," I wonder how much he sees at that depth, the old man thought."," Rád bych věděl, jak asi v té hloubce vidí, pomyslel si."
"see","see","vidí","vidět","impf"," His eye is huge and a horse, with much less eye, can see in the dark."," Má obrovské oči, a kůň, který má oči daleko menší, vidí ve tmě."
"see","see","viděl","vidět","impf"," Once I could see quite well in the dark."," Já jsem taky kdysi viděl ve tmě."
"dropped","drop","pustil","pustit","pf"," The old man dropped the line and put his foot on it and lifted the harpoon as high as he could and drove it down with all his strength, and more strength he had just summoned, into the fish 's side just behind the great chest fin that rose high in the air to the altitude of the man 's chest."," Stařec pustil šňůru, stoupl na ni nohou, zdvihl harpunu, jak jen mohl vysoko, a veškerou silou, kterou v sobě právě zburcoval, ji vrazil rybě do boku těsně za ohromnou hradní ploutev, která trčela do vzduchu do výše jeho hrudníku."
"rose","rise","stoupl","stoupnout","pf"," The old man dropped the line and put his foot on it and lifted the harpoon as high as he could and drove it down with all his strength, and more strength he had just summoned, into the fish 's side just behind the great chest fin that rose high in the air to the altitude of the man 's chest."," Stařec pustil šňůru, stoupl na ni nohou, zdvihl harpunu, jak jen mohl vysoko, a veškerou silou, kterou v sobě právě zburcoval, ji vrazil rybě do boku těsně za ohromnou hradní ploutev, která trčela do vzduchu do výše jeho hrudníku."
"lifted","lift","zdvihl","zdvihnout","pf"," The old man dropped the line and put his foot on it and lifted the harpoon as high as he could and drove it down with all his strength, and more strength he had just summoned, into the fish 's side just behind the great chest fin that rose high in the air to the altitude of the man 's chest."," Stařec pustil šňůru, stoupl na ni nohou, zdvihl harpunu, jak jen mohl vysoko, a veškerou silou, kterou v sobě právě zburcoval, ji vrazil rybě do boku těsně za ohromnou hradní ploutev, která trčela do vzduchu do výše jeho hrudníku."
"rose","rise","zdvihl","zdvihnout","pf"," The old man dropped the line and put his foot on it and lifted the harpoon as high as he could and drove it down with all his strength, and more strength he had just summoned, into the fish 's side just behind the great chest fin that rose high in the air to the altitude of the man 's chest."," Stařec pustil šňůru, stoupl na ni nohou, zdvihl harpunu, jak jen mohl vysoko, a veškerou silou, kterou v sobě právě zburcoval, ji vrazil rybě do boku těsně za ohromnou hradní ploutev, která trčela do vzduchu do výše jeho hrudníku."
